addr,alcohol,ambience,applePay,attire,bikeParking,categories,caters,creditCard,delivery,driveThrough,fri,goodFor,goodForGroups,goodForKids,hasTV,id,mon,noiseLevel,outdoorSeating,parking,phone,price,rating,reservations,sat,sun,takeout,thu,title,tue,waiterService,wed,wifi,yelpPage
"748 Van Ness AveSan Francisco, CA 94102",,,Yes,,Yes,Coffee & Tea,,Yes,,,6:00 am-8:00 pm,,,,,17,6:00 am-8:00 pm,,No,Street,(415) 292-7660,Inexpensive,4.5 star rating,,6:00 am-8:00 pm,6:00 am-7:30 pm,Yes,6:00 am-8:00 pm,Philz Coffee,6:00 am-8:00 pm,,6:00 am-8:00 pm,Free,https://www.yelp.com/ /biz/philz-coffee-san-francisco-4
"545 Haight StSan Francisco, CA 94117",No,Casual,No,Casual,Yes,German,Yes,No,Yes,,11:30 am-11:00 pm,Lunch,No,Yes,No,18,11:30 am-10:00 pm,Average,No,Street,(415) 437-6851,Under $10,4.5 star rating,No,11:30 am-11:00 pm,11:30 am-10:00 pm,Yes,11:30 am-11:00 pm,Rosamunde Sausage Grill,11:30 am-10:00 pm,No,11:30 am-10:00 pm,No,https://www.yelp.com/ /biz/rosamunde-sausage-grill-san-francisco
"3614 18th StSan Francisco, CA 94110",,,No,,Yes,"Videos & Video Game Rental,Coffee & Tea",,Yes,,,7:00 am-9:30 pm,,,,,19,7:00 am-8:30 pm,,Yes,Street,(415) 522-0434,Inexpensive,4.5 star rating,,7:00 am-9:30 pm,7:00 am-8:30 pm,Yes,7:00 am-8:30 pm,Faye’s Video &amp; Espresso Bar,7:00 am-8:30 pm,,7:00 am-8:30 pm,No,https://www.yelp.com/ /biz/fayes-video-and-espresso-bar-san-francisco
"3064 24th StSan Francisco, CA 94110",No,Casual,No,Casual,Yes,"Seafood,Sandwiches,Burgers",Yes,Yes,Yes,No,11:00 am-7:30 pm,Lunch,No,Yes,No,20,11:00 am-7:30 pm,Quiet,No,Street,(415) 550-2388,Under $10,4.5 star rating,No,11:00 am-7:30 pm,11:00 am-5:00 pm,Yes,11:00 am-7:30 pm,Basa Seafood Express,11:00 am-7:30 pm,No,11:00 am-7:30 pm,No,https://www.yelp.com/ /biz/basa-seafood-express-san-francisco
"4117 19th StSan Francisco, CA 94114",,,Yes,,Yes,Coffee & Tea,,Yes,,,6:30 am-7:00 pm,,,,,21,6:30 am-7:00 pm,,Yes,Street,(415) 626-5573,Inexpensive,4.5 star rating,,6:30 am-7:00 pm,7:30 am-7:00 pm,Yes,6:30 am-7:00 pm,Spike’s Coffees &amp; Teas,6:30 am-7:00 pm,,6:30 am-7:00 pm,No,https://www.yelp.com/ /biz/spikes-coffees-and-teas-san-francisco
"1530 Howard StSan Francisco, CA 94103",Full Bar,Casual,No,Casual,Yes,"Delis,Sandwiches,Caterers",,Yes,No,,6:00 am-6:00 pm,Lunch,No,Yes,No,22,6:00 am-6:00 pm,Average,No,Street,(415) 552-0309,Under $10,4.5 star rating,No,8:00 am-5:00 pm,8:00 am-3:00 pm,Yes,6:00 am-6:00 pm,Teds Market,6:00 am-6:00 pm,No,6:00 am-6:00 pm,Free,https://www.yelp.com/ /biz/teds-market-san-francisco-2
"1600 Hayes StSan Francisco, CA 94117",,,No,,Yes,"Grocery,Delis,Beer, Wine & Spirits",,Yes,,,9:00 am-11:00 pm,,,,,23,9:00 am-11:00 pm,,,Street,(415) 885-3483,Under $10,5.0 star rating,,9:00 am-11:00 pm,9:00 am-11:00 pm,Yes,9:00 am-11:00 pm,Parkside Market,9:00 am-11:00 pm,,9:00 am-11:00 pm,,https://www.yelp.com/ /biz/parkside-market-san-francisco
"2898 Folsom StSan Francisco, CA 94110",,,No,,Yes,"Convenience Stores,Sandwiches",,Yes,,,9:00 am-9:00 pm,,,,,24,9:00 am-9:00 pm,,,Street,(415) 648-5400,Under $10,4.5 star rating,,9:00 am-9:00 pm,9:00 am-7:00 pm,Yes,9:00 am-9:00 pm,R Image Market,9:00 am-9:00 pm,,9:00 am-9:00 pm,,https://www.yelp.com/ /biz/r-image-market-san-francisco-2
"1051 Market StSan Francisco, CA 94103",No,Casual,No,Casual,Yes,"Falafel,Vegan",Yes,Yes,No,,10:00 am-8:30 pm,Lunch,No,Yes,No,25,10:00 am-8:30 pm,Average,No,,(415) 964-1003,Under $10,4.5 star rating,No,10:00 am-8:30 pm,10:00 am-8:30 pm,Yes,10:00 am-8:30 pm,The Flying Falafel,10:00 am-8:30 pm,No,10:00 am-8:30 pm,Free,https://www.yelp.com/ /biz/the-flying-falafel-san-francisco-3
"1696 Hayes StSan Francisco, CA 94117",No,Casual,Yes,Casual,Yes,"Coffee & Tea,Cafes,Breakfast & Brunch",No,Yes,No,,6:00 am-4:00 pm,Breakfast,No,Yes,No,26,6:00 am-4:00 pm,Average,Yes,Street,(415) 922-2008,Under $10,4.5 star rating,No,6:00 am-4:00 pm,6:00 am-4:00 pm,Yes,6:00 am-4:00 pm,Central Coffee Tea &amp; Spice,6:00 am-4:00 pm,No,6:00 am-4:00 pm,Free,https://www.yelp.com/ /biz/central-coffee-tea-and-spice-san-francisco
"1298 12th AveSan Francisco, CA 94122",No,Casual,Yes,Casual,Yes,"Sandwiches,Juice Bars & Smoothies,Gluten-Free",Yes,Yes,Yes,,11:00 am-8:30 pm,Lunch,Yes,Yes,Yes,27,11:00 am-8:30 pm,Quiet,No,Street,(415) 566-3155,Under $10,4.5 star rating,No,11:00 am-8:30 pm,11:00 am-5:00 pm,Yes,11:00 am-8:30 pm,Irving Subs,11:00 am-8:30 pm,No,11:00 am-8:30 pm,No,https://www.yelp.com/ /biz/irving-subs-san-francisco-4
"350 11th StSan Francisco, CA 94103",No,Casual,No,Casual,Yes,"Creperies,Food Stands",No,No,No,,6:00 pm-4:00 am,Late Night,Yes,Yes,No,28,Closed,Average,Yes,Street,(415) 503-1294,Under $10,4.5 star rating,No,6:00 pm-4:00 am,6:00 pm-12:00 am,Yes,6:00 pm-3:00 am,Crepes A Go Go,Closed,No,6:00 pm-12:00 am,No,https://www.yelp.com/ /biz/crepes-a-go-go-san-francisco-2
"2301 Mission StSan Francisco, CA 94110",No,Casual,No,Casual,Yes,Peruvian,No,Yes,No,,9:00 am-5:00 pm,Lunch,No,Yes,No,29,9:00 am-5:00 pm,Average,No,Street,(415) 312-7232,Under $10,4.5 star rating,No,9:00 am-5:00 pm,Closed,Yes,9:00 am-5:00 pm,Cholo Soy,9:00 am-5:00 pm,Yes,9:00 am-5:00 pm,No,https://www.yelp.com/ /biz/cholo-soy-san-francisco
"785 8th AveSan Francisco, CA 94118",,,Yes,,Yes,Coffee & Tea,,Yes,,,7:00 am-5:00 pm,,,,,30,7:00 am-5:00 pm,,Yes,Street,(415) 780-1579,Inexpensive,5.0 star rating,,8:00 am-5:00 pm,8:00 am-5:00 pm,Yes,7:00 am-5:00 pm,Rise &amp; Grind,7:00 am-5:00 pm,,7:00 am-5:00 pm,Free,https://www.yelp.com/ /biz/rise-and-grind-san-francisco-2
"1901 San Jose AveSan Francisco, CA 94112",Full Bar,Casual,No,Casual,Yes,"Grocery,Sandwiches",Yes,Yes,No,,7:00 am-9:00 pm,Lunch,No,Yes,No,31,7:00 am-9:00 pm,Average,No,Street,(415) 587-2345,Under $10,4.5 star rating,No,7:00 am-9:00 pm,7:00 am-8:00 pm,Yes,7:00 am-9:00 pm,Roxie Food Center,7:00 am-9:00 pm,No,7:00 am-9:00 pm,No,https://www.yelp.com/ /biz/roxie-food-center-san-francisco
"2779 Mission StSan Francisco, CA 94110",Beer & Wine Only,Divey,No,Casual,Yes,Mexican,No,No,No,,10:00 am-3:30 am,"Lunch, Dinner, Late Night",Yes,Yes,No,32,10:00 am-2:30 am,Loud,No,Street,(415) 824-7877,Under $10,4.0 star rating,No,10:00 am-3:30 am,10:00 am-2:30 am,Yes,10:00 am-2:30 am,El Farolito,10:00 am-2:30 am,No,10:00 am-2:30 am,No,https://www.yelp.com/ /biz/el-farolito-san-francisco-2
"2884 24th StSan Francisco, CA 94110",No,Casual,No,Casual,Yes,Mexican,Yes,Yes,No,,8:00 am-6:00 pm,Lunch,No,Yes,No,33,8:00 am-6:00 pm,Average,Yes,Street,(415) 647-1500,Under $10,4.5 star rating,No,8:00 am-6:00 pm,8:00 am-5:00 pm,Yes,8:00 am-6:00 pm,La Palma Mexicatessen,8:00 am-6:00 pm,No,8:00 am-6:00 pm,No,https://www.yelp.com/ /biz/la-palma-mexicatessen-san-francisco
"300 Bayshore BlvdSan Francisco, CA 94124",Beer & Wine Only,Casual,No,Casual,Yes,Mexican,Yes,Yes,No,,10:00 am-10:00 pm,"Lunch, Dinner",Yes,Yes,Yes,34,10:00 am-10:00 pm,Average,Yes,"Street, Private Lot",(415) 285-1100,Under $10,4.5 star rating,No,11:00 am-5:00 pm,Closed,Yes,10:00 am-10:00 pm,Bayshore Taqueria,10:00 am-10:00 pm,No,10:00 am-10:00 pm,No,https://www.yelp.com/ /biz/bayshore-taqueria-san-francisco
"5017 Geary BlvdSan Francisco, CA 94118",No,Casual,No,Casual,Yes,"Coffee & Tea,Sandwiches,Salad",Yes,Yes,No,,8:00 am-7:00 pm,Lunch,No,Yes,Yes,35,8:00 am-7:00 pm,Average,Yes,Street,(415) 379-4429,Under $10,4.5 star rating,No,8:00 am-4:00 pm,Closed,Yes,8:00 am-7:00 pm,Lou’s Cafe,8:00 am-7:00 pm,No,8:00 am-7:00 pm,Free,https://www.yelp.com/ /biz/lous-cafe-san-francisco
"205 Hugo StSan Francisco, CA 94122",No,Casual,Yes,Casual,Yes,"Sandwiches,Coffee & Tea,Breakfast & Brunch",No,Yes,No,,7:00 am-3:00 pm,Lunch,No,Yes,No,36,7:00 am-3:00 pm,Average,Yes,Street,(415) 592-8015,Under $10,4.5 star rating,No,8:00 am-3:00 pm,8:00 am-3:00 pm,Yes,7:00 am-3:00 pm,Wooly Pig Cafe,7:00 am-3:00 pm,No,7:00 am-3:00 pm,Free,https://www.yelp.com/ /biz/wooly-pig-cafe-san-francisco
"820 Ulloa StSan Francisco, CA 94127",No,Casual,No,Casual,Yes,Sandwiches,Yes,Yes,No,,10:00 am-7:30 pm,Lunch,No,Yes,No,37,10:00 am-7:30 pm,Average,No,Street,(415) 564-1455,Under $10,4.5 star rating,No,10:00 am-6:00 pm,11:00 am-5:00 pm,Yes,10:00 am-7:30 pm,Submarine Center,10:00 am-7:30 pm,No,10:00 am-7:30 pm,No,https://www.yelp.com/ /biz/submarine-center-san-francisco
"3798 Mission StSan Francisco, CA 94110",Beer & Wine Only,,,Casual,Yes,"Convenience Stores,Bagels,Sandwiches",,Yes,No,,8:00 am-12:00 am,Lunch,Yes,Yes,No,38,8:00 am-11:00 pm,,No,Street,(415) 285-2147,Under $10,4.5 star rating,No,8:00 am-12:00 am,8:00 am-11:00 pm,Yes,8:00 am-11:00 pm,New College Hill Market,8:00 am-11:00 pm,,8:00 am-11:00 pm,No,https://www.yelp.com/ /biz/new-college-hill-market-san-francisco
"560 Larkin StSan Francisco, CA 94102",No,Casual,No,Casual,Yes,"Vietnamese,Sandwiches",No,No,No,,7:00 am-5:30 pm,Lunch,No,Yes,No,39,7:00 am-5:30 pm,Average,No,Street,(415) 474-5698,Under $10,4.5 star rating,No,7:00 am-5:30 pm,7:00 am-5:30 pm,Yes,7:00 am-5:30 pm,Saigon Sandwich,7:00 am-5:30 pm,No,7:00 am-5:30 pm,No,https://www.yelp.com/ /biz/saigon-sandwich-san-francisco
"3966 24th StSan Francisco, CA 94114",,,No,,Yes,Coffee & Tea,No,Yes,,,5:30 am-7:00 pm,,,,,40,5:30 am-7:00 pm,,Yes,Street,(415) 642-1192,Inexpensive,4.5 star rating,,5:30 am-7:00 pm,5:30 am-7:00 pm,Yes,5:30 am-7:00 pm,Bernie’s,5:30 am-7:00 pm,,5:30 am-7:00 pm,Free,https://www.yelp.com/ /biz/bernies-san-francisco
"335 Jones StSan Francisco, CA 94102",No,Casual,No,Casual,Yes,"Coffee & Tea,Breakfast & Brunch,Sandwiches",Yes,Yes,No,,6:00 am-5:00 pm,Breakfast,Yes,Yes,No,41,6:00 am-5:00 pm,Average,Yes,,(415) 674-1769,Under $10,4.5 star rating,No,7:00 am-1:00 pm,Closed,Yes,6:00 am-5:00 pm,Un Cafecito,6:00 am-5:00 pm,Yes,6:00 am-5:00 pm,Free,https://www.yelp.com/ /biz/un-cafecito-san-francisco
"1600 Dolores StSan Francisco, CA 94110",Full Bar,Casual,No,,Yes,Sports Bars,,No,,,8:00 am-2:00 am,,Yes,,Yes,42,8:00 am-2:00 am,Average,No,Street,(415) 695-1745,Inexpensive,5.0 star rating,No,10:00 am-2:00 am,10:00 am-2:00 am,,8:00 am-2:00 am,The Bar On Dolores,8:00 am-2:00 am,,8:00 am-2:00 am,,https://www.yelp.com/ /biz/the-bar-on-dolores-san-francisco
"1222 Noriega  StSan Francisco, CA 94122",,,No,,Yes,"Coffee & Tea,Bakeries",No,Yes,No,,7:00 am-5:00 pm,,,,,43,7:00 am-5:00 pm,,No,Street,(415) 742-0038,Inexpensive,4.5 star rating,,8:00 am-5:00 pm,8:00 am-5:00 pm,Yes,7:00 am-5:00 pm,Home,7:00 am-5:00 pm,,7:00 am-5:00 pm,Free,https://www.yelp.com/ /biz/home-san-francisco-16
"1268 Valencia StSan Francisco, CA 94110",No,Casual,Yes,Casual,Yes,"Bakeries,Pizza",Yes,Yes,No,,7:00 am-7:00 pm,"Breakfast, Lunch",No,Yes,No,44,7:00 am-7:00 pm,Average,No,Street,(415) 826-9218,Under $10,4.5 star rating,No,8:00 am-7:00 pm,8:00 am-7:00 pm,Yes,7:00 am-7:00 pm,Arizmendi Bakery,Closed,No,7:00 am-7:00 pm,No,https://www.yelp.com/ /biz/arizmendi-bakery-san-francisco-2
"2275 Market StSan Francisco, CA 94114",No,Casual,No,Casual,Yes,"Vietnamese,Sandwiches",No,Yes,No,,9:00 am-10:00 pm,Lunch,No,Yes,No,45,9:00 am-10:00 pm,Average,Yes,Street,(415) 503-1421,Under $10,4.0 star rating,No,10:00 am-10:00 pm,10:00 am-10:00 pm,Yes,9:00 am-10:00 pm,Dinosaurs,9:00 am-10:00 pm,No,9:00 am-10:00 pm,No,https://www.yelp.com/ /biz/dinosaurs-san-francisco-4
"2948 Folsom StSan Francisco, CA 94110",No,,,Casual,Yes,"Southern,Pop-Up Restaurants",Yes,Yes,,,Closed,,,,Yes,46,Closed,Average,Yes,,(615) 557-6392,Under $10,5.0 star rating,,Closed,11:00 am-4:00 pm,Yes,Closed,Sugarfoot,Closed,No,Closed,Free,https://www.yelp.com/ /biz/sugarfoot-san-francisco
"800 Valencia StSan Francisco, CA 94110",Full Bar,Casual,No,Casual,Yes,"Delis,Sandwiches",No,Yes,Yes,,11:30 am-6:00 pm,Lunch,No,Yes,No,47,11:30 am-5:00 pm,Average,No,Street,(415) 282-5255,Under $10,4.0 star rating,Yes,11:30 am-6:00 pm,11:30 am-6:00 pm,Yes,11:30 am-5:00 pm,Rhea’s Deli &amp; Market,11:30 am-5:00 pm,No,11:30 am-5:00 pm,No,https://www.yelp.com/ /biz/rheas-deli-and-market-san-francisco
"1815 Irving StSan Francisco, CA 94122",Full Bar,Casual,,Casual,Yes,"Delis,Beer, Wine & Spirits",Yes,Yes,No,,9:00 am-2:00 am,Lunch,No,Yes,No,48,9:00 am-2:00 am,Average,Yes,Street,(415) 681-3323,Under $10,4.5 star rating,No,9:00 am-2:00 am,9:00 am-2:00 am,Yes,9:00 am-2:00 am,Handy Deli,9:00 am-2:00 am,No,9:00 am-2:00 am,Free,https://www.yelp.com/ /biz/handy-deli-san-francisco
"882 Bush StSan Francisco, CA 94108",No,Casual,No,Casual,Yes,"Coffee & Tea,Sandwiches,Vietnamese",No,Yes,No,,7:00 am-5:00 pm,"Breakfast, Lunch",No,Yes,No,49,7:00 am-5:00 pm,Quiet,Yes,Street,(415) 567-0915,Under $10,4.5 star rating,No,8:00 am-5:00 pm,8:00 am-5:00 pm,Yes,7:00 am-5:00 pm,Fresh Brew Coffee,7:00 am-5:00 pm,No,Closed,Free,https://www.yelp.com/ /biz/fresh-brew-coffee-san-francisco
"399 Golden Gate AveSan Francisco, CA 94102",,,Yes,,Yes,Coffee & Tea,Yes,Yes,,,6:00 am-7:30 pm,,,,,50,6:00 am-7:30 pm,,No,Street,(415) 621-7000,Inexpensive,4.5 star rating,,6:00 am-6:00 pm,6:00 am-6:00 pm,Yes,6:00 am-7:30 pm,Philz Coffee,6:00 am-7:30 pm,,6:00 am-7:30 pm,Free,https://www.yelp.com/ /biz/philz-coffee-san-francisco-8
"1551 Mission StSan Francisco, CA 94103",No,Casual,Yes,Casual,No,"Coffee & Tea,Sandwiches,Juice Bars & Smoothies",Yes,Yes,No,,7:30 am-3:00 pm,"Breakfast, Lunch",Yes,Yes,Yes,51,7:30 am-5:00 pm,Average,No,Street,(415) 252-0759,Under $10,4.5 star rating,No,Closed,Closed,Yes,7:30 am-5:00 pm,Grandma’s Deli &amp; Cafe,7:30 am-5:00 pm,No,7:30 am-5:00 pm,Free,https://www.yelp.com/ /biz/grandmas-deli-and-cafe-san-francisco
"1192 Guerrero StSan Francisco, CA 94110",Full Bar,Casual,No,Casual,Yes,"Coffee & Tea,Sandwiches,Beer, Wine & Spirits",No,Yes,No,,7:00 am-9:00 pm,"Breakfast, Lunch",No,Yes,Yes,52,7:00 am-9:00 pm,Quiet,Yes,Street,(415) 642-7555,Under $10,4.5 star rating,No,8:00 am-10:00 pm,8:00 am-8:00 pm,Yes,7:00 am-9:00 pm,Jump Start Coffee &amp; Grocery,7:00 am-9:00 pm,Yes,7:00 am-9:00 pm,Free,https://www.yelp.com/ /biz/jump-start-coffee-and-grocery-san-francisco
"3104 24th StSan Francisco, CA 94110",No,Casual,No,Casual,Yes,Pizza,No,No,No,,11:00 am-10:00 pm,"Lunch, Dinner",Yes,Yes,No,53,11:00 am-10:00 pm,Average,No,Street,(415) 824-1840,Under $10,4.5 star rating,No,11:00 am-10:00 pm,11:00 am-10:00 pm,Yes,11:00 am-10:00 pm,The Pizza Shop,11:00 am-10:00 pm,No,11:00 am-10:00 pm,No,https://www.yelp.com/ /biz/the-pizza-shop-san-francisco
"1737 Post StSan Francisco, CA 94115",No,Casual,No,Casual,No,"Ice Cream & Frozen Yogurt,Creperies",No,No,No,,11:30 am-9:00 pm,Dessert,Yes,Yes,No,54,11:30 am-8:00 pm,Average,No,"Garage, Street",(415) 346-8383,Under $10,4.5 star rating,No,11:30 am-9:00 pm,11:30 am-8:00 pm,Yes,11:30 am-8:00 pm,Belly Good Cafe &amp; Crepes,11:30 am-8:00 pm,No,11:30 am-8:00 pm,No,https://www.yelp.com/ /biz/belly-good-cafe-and-crepes-san-francisco
"201 Berry StSan Francisco, CA 94158",No,"Hipster, Casual, Trendy",Yes,Casual,Yes,"Coffee & Tea,Sandwiches",No,Yes,No,,5:30 am-8:00 pm,Breakfast,Yes,Yes,No,55,5:30 am-8:00 pm,Average,Yes,Street,(415) 875-9943,Under $10,4.5 star rating,No,6:30 am-8:00 pm,6:30 am-8:00 pm,Yes,5:30 am-8:00 pm,Philz Coffee,5:30 am-8:00 pm,No,5:30 am-8:00 pm,Free,https://www.yelp.com/ /biz/philz-coffee-san-francisco-3
