_id,ltable_id,rtable_id,ltable_title,ltable_cuisine,ltable_phone,ltable_feature,ltable_zipcode,ltable_street_addr,rtable_title,rtable_cuisine,rtable_phone,rtable_feature,rtable_zipcode,rtable_street_addr,gold,true_gold,ltable_title,rtable_title,ltable_street_addr,rtable_street_addr,Add_match,street_match,phone_match,Zip_match,redudant
28,102,2281,morton's - the steakhouse," american,steakhouse",4159865830," reservations, private dining, seating, waitstaff, television, wheelchair accessible, serves alcohol, full bar",94102,400 post street,mortonâ€°Ã›Â¡ÃŒÃùÃ¥Â»s the steakhouse, steakhouses,4159865830,"reservations, creditcard, bikeparking, goodforgroups, hastv, waiterservice",94102,400 post street lower level,1,1,morton's - the steakhouse,mortonâ€°Ã›Â¡ÃŒÃùÃ¥Â»s the steakhouse,400 post street,400 post street lower level,FALSE,FALSE,TRUE,TRUE,False
70,1021,2274,mister jiuâ€°Ã›Â¡ÃŒÃùÃ¥Â»s," chinese, contemporary,asian",4158579688," reservations, serves alcohol, seating, waitstaff, wheelchair accessible",94108,28 waverly pl,mister jiuâ€°Ã›Â¡ÃŒÃùÃ¥Â»s, chinese,4158579688,"reservations, creditcard, bikeparking, goodforgroups, waiterservice",94108,28 waverly pl,1,1,mister jiuâ€°Ã›Â¡ÃŒÃùÃ¥Â»s,mister jiuâ€°Ã›Â¡ÃŒÃùÃ¥Â»s,28 waverly pl,28 waverly pl,TRUE,TRUE,TRUE,TRUE,False
71,1026,899,taqueria el sol," mexican,latin,spanish",4154410405," takeout, seating",94102,595 geary street,el sol taqueria, mexican,4154410405,"takeout, creditcard, bikeparking, goodforkids",94102,595 geary street,1,1,taqueria el sol,el sol taqueria,595 geary street,595 geary street,TRUE,FALSE,TRUE,TRUE,False
114,1040,1190,manna," asian,korean",4156655969," takeout, seating, waitstaff",94122,845 irving street,manna, korean,4156655969,"takeout, creditcard, bikeparking, goodforkids, waiterservice",94122,845 irving street,1,1,manna,manna,845 irving street,845 irving street,TRUE,TRUE,TRUE,TRUE,False
197,1045,998,august (1) five, indian,4157715900, reservations,94102,524 van ness avenue,august 1 five," indian,cocktail bars,salad",4157715900,"reservations, takeout, creditcard, goodforkids, goodforgroups, waiterservice, caters",94102,524 van ness avenue,1,1,august (1) five,august 1 five,524 van ness avenue,524 van ness avenue,TRUE,FALSE,TRUE,TRUE,False
200,1048,33,la palma mexicatessen," mexican,latin,spanish",4156471500," takeout, seating",94110,2884 24th street,la palma mexicatessen, mexican,4156471500,"takeout, creditcard, bikeparking, goodforkids, outdoorseating, caters",94110,2884 24th street,1,1,la palma mexicatessen,la palma mexicatessen,2884 24th street,2884 24th street,TRUE,TRUE,TRUE,TRUE,False
218,1054,708,golden gate meat company, american,38361, takeout,94111,1 ferry building,golden gate meat company," meat shops,delis",4159837800,"takeout, creditcard, bikeparking, goodforkids, goodforgroups, outdoorseating",94111,1 ferry building,1,1,golden gate meat company,golden gate meat company,1 ferry building,1 ferry building,TRUE,TRUE,FALSE,TRUE,False
219,1057,1013,ginza sushi & sake," japanese,sushi, contemporary,asian",4157420552," delivery, takeout, seating, waitstaff, television, highchairs available, serves alcohol, wine and beer, accepts american express, accepts mastercard, accepts visa, accepts discover, reservations",94117,1793 haight street,ginza sushi &amp; sake," sushi bars,japanese",4157420552,"reservations, delivery, takeout, creditcard, bikeparking, goodforkids, goodforgroups, hastv, waiterservice",94117,1793 haight street,1,1,ginza sushi & sake,ginza sushi &amp; sake,1793 haight street,1793 haight street,TRUE,FALSE,TRUE,TRUE,False
220,1058,1348,bar agricole,na,4153559400," outdoor seating, seating, waitstaff, reservations, serves alcohol, full bar",94103,355 11th street ste 100,bar agricole," bars,american (new)",4153559400,"reservations, creditcard, bikeparking, goodforgroups, outdoorseating, waiterservice",94103,355 11th street,1,1,bar agricole,bar agricole,355 11th street ste 100,355 11th street,FALSE,TRUE,TRUE,TRUE,False
221,106,1354,wayfare tavern," american, bar",4157729060," takeout, reservations, private dining, seating, waitstaff, wheelchair accessible, serves alcohol, full bar",94111,558 sacramento street,wayfare tavern, american (traditional),4157729060,"reservations, takeout, creditcard, goodforgroups, outdoorseating, waiterservice",94111,558 sacramento street,1,1,wayfare tavern,wayfare tavern,558 sacramento street,558 sacramento street,TRUE,TRUE,TRUE,TRUE,False
222,1062,325,taqueria los coyotes," mexican,latin,spanish",4158613708," seating, wheelchair accessible",94103,3036 16th street,taqueria los coyotes, mexican,4158613708,"reservations, takeout, creditcard, bikeparking, goodforkids, goodforgroups, hastv, caters",94103,3036 16th street,1,1,taqueria los coyotes,taqueria los coyotes,3036 16th street,3036 16th street,TRUE,TRUE,TRUE,TRUE,False
223,1063,90,cafe international," cafe,vegetarian friendly",4155527390," seating, takeout",94117,508 haight street,cafe international," coffee & tea,sandwiches,desserts",4155527390,"takeout, bikeparking, goodforkids, goodforgroups, outdoorseating",94117,508 haight street,1,1,cafe international,cafe international,508 haight street,508 haight street,TRUE,TRUE,TRUE,TRUE,False
225,1067,775,red jade," chinese,asian",4156213020," delivery, takeout, seating, waitstaff, wheelchair accessible",94114,245 church street,red jade, chinese,4156213020,"reservations, delivery, takeout, creditcard, bikeparking, goodforkids, goodforgroups, waiterservice, caters",94114,245 church street,1,1,red jade,red jade,245 church street,245 church street,TRUE,TRUE,TRUE,TRUE,False
226,1068,295,cafe la vie, cafe,264702," seating, wheelchair accessible",94102,514 octavia street,cafe la vie," coffee & tea,bagels",4156216877,"takeout, creditcard, bikeparking, outdoorseating",94102,514 octavia street,1,1,cafe la vie,cafe la vie,514 octavia street,514 octavia street,TRUE,TRUE,FALSE,TRUE,False
229,1073,298,atlas cafe," american,cafe,pizza",4156481047," takeout, outdoor seating, seating, wheelchair accessible",94132,3049 20th avenue,atlas cafe," sandwiches,breakfast & brunch,cafes",4156481047,"takeout, creditcard, bikeparking, goodforkids, goodforgroups, outdoorseating",94110,3049 20th street,1,1,atlas cafe,atlas cafe,3049 20th avenue,3049 20th street,FALSE,TRUE,TRUE,FALSE,False
232,1078,1125,betty lou's seafood and grill,na,4157570569," takeout, reservations, seating, waitstaff, television, highchairs available, wheelchair accessible, serves alcohol, wine and beer, accepts american express, accepts mastercard, accepts visa, free wifi, accepts discover",94133,318 columbus avenue corner of columbus & grant,betty louâ€°Ã›Â¡ÃŒÃùÃ¥Â»s seafood &amp; grill, seafood,4157570569,"reservations, takeout, creditcard, goodforkids, goodforgroups, hastv, waiterservice",94133,318 columbus avenue,1,1,betty lou's seafood and grill,betty louâ€°Ã›Â¡ÃŒÃùÃ¥Â»s seafood &amp; grill,318 columbus avenue corner of columbus & grant,318 columbus avenue,FALSE,FALSE,TRUE,TRUE,False
278,1087,889,kiki japanese restaurant," sushi,asian,japanese",4156615522, waitstaff,94122,1269 9th avenue,kiki japanese restaurant," japanese,sushi bars",4156615522,"takeout, creditcard, bikeparking, goodforkids, goodforgroups, waiterservice, caters",94122,1269 9th avenue,1,1,kiki japanese restaurant,kiki japanese restaurant,1269 9th avenue,1269 9th avenue,TRUE,TRUE,TRUE,TRUE,False
281,109,1476,north beach restaurant, italian,4153921700," reservations, private dining, seating, waitstaff, valet parking, wheelchair accessible, serves alcohol, full bar",94133,1512 stockton street,north beach restaurant, italian,4158892947,"reservations, takeout, creditcard, bikeparking, goodforgroups, outdoorseating, waiterservice",94133,1512 stockton street,1,1,north beach restaurant,north beach restaurant,1512 stockton street,1512 stockton street,TRUE,TRUE,FALSE,TRUE,False
299,1114,339,the sentinel, fast food,4152849960, takeout,94105,37 new montgomery street at stevenson alley,the sentinel, sandwiches,4152849960,"takeout, creditcard, bikeparking, caters",94105,37 new montgomery street,1,1,the sentinel,the sentinel,37 new montgomery street at stevenson alley,37 new montgomery street,FALSE,TRUE,TRUE,TRUE,False
305,1121,610,toma," mexican,latin,fast food,spanish",464335," seating, takeout",94123,3318 steiner street,toma, mexican,4159218662,"delivery, takeout, creditcard, bikeparking, goodforkids, outdoorseating, caters",94123,3318 steiner street,1,1,toma,toma,3318 steiner street,3318 steiner street,TRUE,TRUE,FALSE,TRUE,False
307,1124,1054,the spice jar," asian,korean",4158293668,na,94110,"2500 bryant street,cross street is 23rd street",the spice jar," asian fusion,seafood,vegan",4158293668,"takeout, creditcard, bikeparking, goodforgroups, outdoorseating, waiterservice",94110,2500 bryant street,1,1,the spice jar,the spice jar,"2500 bryant street,cross street is 23rd street",2500 bryant street,FALSE,TRUE,TRUE,TRUE,False
309,1125,221,lime tree," asian,malaysian",4156651415," takeout, seating, waitstaff",94122,450 irving street,lime tree southeast asian kitchen," singaporean,malaysian,indonesian",4156651415,"takeout, creditcard, bikeparking, goodforkids, goodforgroups, waiterservice",94122,450 irving street,1,1,lime tree,lime tree southeast asian kitchen,450 irving street,450 irving street,TRUE,FALSE,TRUE,TRUE,False
312,1128,1186,manzoni, italian,4153342251," reservations, seating, waitstaff, wheelchair accessible",94131,2788 diamond street glen park,manzoni, italian,4153342251,"reservations, takeout, creditcard, bikeparking, goodforkids, goodforgroups, waiterservice",94131,2788 diamond street,1,1,manzoni,manzoni,2788 diamond street glen park,2788 diamond street,FALSE,TRUE,TRUE,TRUE,False
314,1129,244,tempest bar," bar,pub",4154951863, seating,94103,431 natoma street,tempest," american (traditional),dive bars",4154951863,"takeout, creditcard, bikeparking, goodforgroups, hastv",94103,431 natoma street,1,1,tempest bar,tempest,431 natoma street,431 natoma street,TRUE,FALSE,TRUE,TRUE,False
316,113,2258,campton place restaurant," indian,gluten free options",4159555555," reservations, seating, waitstaff, valet parking, wheelchair accessible, serves alcohol, full bar",94108,340 stockton street,campton place restaurant," american (new),indian,bars",4157815555,"reservations, creditcard, goodforgroups, waiterservice",94108,340 stockton street,1,1,campton place restaurant,campton place restaurant,340 stockton street,340 stockton street,TRUE,TRUE,FALSE,TRUE,False
317,1130,964,de afghanan kabob house," middle eastern, afghani,halal",4159291124," seating, waitstaff, wheelchair accessible",94109,1035 geary street,de afghanan kabob house," afghan,middle eastern",4159291124,"takeout, creditcard, bikeparking, goodforkids, goodforgroups, waiterservice",94109,1035 geary street,1,1,de afghanan kabob house,de afghanan kabob house,1035 geary street,1035 geary street,TRUE,TRUE,TRUE,TRUE,False
319,1134,316,thai time restaurant," asian,thai",4158313663," seating, waitstaff",94118,315 8th avenue,thai time restaurant, thai,4158313663,"delivery, takeout, creditcard, bikeparking, goodforkids, waiterservice",94118,315 8th avenue,1,1,thai time restaurant,thai time restaurant,315 8th avenue,315 8th avenue,TRUE,TRUE,TRUE,TRUE,False
322,1139,773,kingdom of dumpling," chinese,asian",4155666143, waitstaff,94116,1713 taraval street,kingdom of dumpling, dim sum,4155666143,"takeout, creditcard, bikeparking, goodforkids, waiterservice",94116,1713 taraval street,1,1,kingdom of dumpling,kingdom of dumpling,1713 taraval street,1713 taraval street,TRUE,TRUE,TRUE,TRUE,False
324,1141,1553,the perennial," american,vegetarian friendly",4155007788," reservations, seating, waitstaff, wheelchair accessible",94103,59 9th street,the perennial, american (new),4155007788,"reservations, takeout, creditcard, bikeparking, goodforgroups, waiterservice",94103,59 9th street,1,1,the perennial,the perennial,59 9th street,59 9th street,TRUE,TRUE,TRUE,TRUE,False
325,1142,1216,hog and rocks," american, bar,seafood,pub",4155508627," reservations, seating, waitstaff, wheelchair accessible, serves alcohol",94110,3413 19th street,hog &amp; rocks," gastropubs,breakfast & brunch,cocktail bars",4155508627,"reservations, takeout, creditcard, bikeparking, goodforgroups, outdoorseating, hastv, waiterservice",94110,3431 19th street,1,1,hog and rocks,hog &amp; rocks,3413 19th street,3431 19th street,FALSE,FALSE,TRUE,TRUE,False
326,1143,1650,bar 888," american, bar,pub",4156166565," seating, wheelchair accessible, full bar, waitstaff, serves alcohol",94103,888 howard street,bar 888," lounges,cocktail bars,wine bars",4156166565,"reservations, creditcard, bikeparking, goodforgroups, hastv",94103,888 howard street,1,1,bar 888,bar 888,888 howard street,888 howard street,TRUE,TRUE,TRUE,TRUE,False
329,1145,2240,kiss restaurant," japanese,sushi,asian",4154742866," reservations, seating, waitstaff",94115,1700 laguna street,kiss seafood," japanese,sushi bars,seafood",4154742866,"reservations, creditcard, bikeparking, waiterservice",94115,1700 laguna street,1,1,kiss restaurant,kiss seafood,1700 laguna street,1700 laguna street,TRUE,FALSE,TRUE,TRUE,False
330,1147,315,kasa indian eatery," street food,indian,gluten free options,vegetarian friendly,vegan options",4156216940," delivery, wheelchair accessible, takeout, outdoor seating, parking available, highchairs available, serves alcohol, wine and beer, accepts american express, accepts mastercard, accepts visa, free wifi, accepts discover, seating",94114,4001 18th street,kasa indian eatery, indian,4156216940,"delivery, takeout, creditcard, bikeparking, goodforkids, goodforgroups, outdoorseating, caters",94114,4001 18th street,1,1,kasa indian eatery,kasa indian eatery,4001 18th street,4001 18th street,TRUE,TRUE,TRUE,TRUE,False
331,1149,985,fat angel," american, bar,pub",4155253013," seating, waitstaff",94115,1740 o'farrell street,fat angel," wine bars,gastropubs",4155253013,"takeout, creditcard, bikeparking, outdoorseating, waiterservice",94115,1740 o&#39;farrell street,1,1,fat angel,fat angel,1740 o'farrell street,1740 o&#39;farrell street,FALSE,TRUE,TRUE,TRUE,False
341,1150,401,el toro taqueria," mexican,latin,fast food,spanish,south american, central american,vegetarian friendly",4154313351," takeout, seating, wheelchair accessible, serves alcohol",94110,598 valencia street,el toro taqueria, mexican,4154313351,"delivery, takeout, creditcard, bikeparking, goodforkids, goodforgroups, caters",94110,598 valencia street,1,1,el toro taqueria,el toro taqueria,598 valencia street,598 valencia street,TRUE,TRUE,TRUE,TRUE,False
342,1151,255,hollow, cafe,4152424119, seating,94122,1435 irving street,hollow," coffee & tea,gift shops",4152424119,"takeout, creditcard, bikeparking, outdoorseating",94122,1435 irving street,1,1,hollow,hollow,1435 irving street,1435 irving street,TRUE,TRUE,TRUE,TRUE,False
353,1152,1446,matterhorn restaurant," french,german, swiss,european",4158856116," reservations, seating, waitstaff, serves alcohol",94109,2323 van ness avenue ste frnt,matterhorn restaurant," fondue,german",4158856116,"reservations, creditcard, goodforkids, goodforgroups, waiterservice",94109,2323 van ness avenue,1,1,matterhorn restaurant,matterhorn restaurant,2323 van ness avenue ste frnt,2323 van ness avenue,FALSE,TRUE,TRUE,TRUE,False
385,1159,116,box kitchen," bar,pub",4155807170, wheelchair accessible,94103,431 natoma street,box kitchen," food stands,burgers",4155807170,"takeout, creditcard, bikeparking, goodforgroups",94103,431 natoma street,1,1,box kitchen,box kitchen,431 natoma street,431 natoma street,TRUE,TRUE,TRUE,TRUE,False
392,1163,309,golden gate market deli,na,184685, takeout,94123,2767 lombard street between baker street & lyon street marina cow hollow,golden gate market deli &amp; liquor," delis,beer, wine & spirits",4153466052,"takeout, creditcard, bikeparking, goodforkids",94123,2767 lombard street,1,1,golden gate market deli,golden gate market deli &amp; liquor,2767 lombard street between baker street & lyon street marina cow hollow,2767 lombard street,FALSE,FALSE,FALSE,TRUE,False
395,1167,830,park gyros," mediterranean,turkish,greek,middle eastern,lebanese,vegetarian friendly",4157310400," takeout, seating, wheelchair accessible",94122,1201 9th avenue,park gyros," turkish,mediterranean,salad",4157310400,"delivery, takeout, creditcard, applepay, bikeparking, goodforkids, goodforgroups, outdoorseating, waiterservice, caters",94122,1201 9th avenue,1,1,park gyros,park gyros,1201 9th avenue,1201 9th avenue,TRUE,TRUE,TRUE,TRUE,False
396,117,1235,frances, american,4156213870," reservations, seating, waitstaff, wheelchair accessible, serves alcohol",94114,3870 17th street 17th and pond street  near market and castro,frances, american (new),4156213870,"reservations, creditcard, bikeparking, waiterservice",94114,3870 17th street,1,1,frances,frances,3870 17th street 17th and pond street  near market and castro,3870 17th street,FALSE,TRUE,TRUE,TRUE,False
400,1174,1142,reverie cafe," cafe,american",4152420200," outdoor seating, seating",94117,848 cole street,cafe reverie," coffee & tea,sandwiches,breakfast & brunch",4152420200,"takeout, bikeparking, goodforkids, goodforgroups, outdoorseating",94117,848 cole street,1,1,reverie cafe,cafe reverie,848 cole street,848 cole street,TRUE,FALSE,TRUE,TRUE,False
408,1188,556,zen yai thai," asian,thai",4154411640," takeout, seating",4690,771 ellis street,zen yai thai restaurant, thai,4158850725,"reservations, delivery, takeout, creditcard, bikeparking, goodforkids, goodforgroups, hastv, waiterservice, caters",94109,771 ellis street,1,1,zen yai thai,zen yai thai restaurant,771 ellis street,771 ellis street,TRUE,FALSE,FALSE,FALSE,False
409,1189,1063,jasmine garden," asian,vietnamese",4158612682," takeout, seating, waitstaff, wheelchair accessible",94114,708 14th street,jasmine garden, vietnamese,4158612682,"reservations, takeout, creditcard, bikeparking, goodforkids, goodforgroups, hastv, waiterservice, caters",94114,708 14th street,1,1,jasmine garden,jasmine garden,708 14th street,708 14th street,TRUE,TRUE,TRUE,TRUE,False
452,1194,809,shakedown,na,417899,na,94109,835 geary street,shakedown, ice cream & frozen yogurt,4153747523,"takeout, creditcard, bikeparking",94109,835 geary street,1,1,shakedown,shakedown,835 geary street,835 geary street,TRUE,TRUE,FALSE,TRUE,False
453,1195,821,cafe franco,na,4157717277,na,94123,"fort mason,bldg 240",cafe franco," salad,sandwiches,cafes",4157712268,"takeout, creditcard, bikeparking, goodforkids, goodforgroups, hastv",94123,240 fort mason,1,1,cafe franco,cafe franco,"fort mason,bldg 240",240 fort mason,FALSE,TRUE,FALSE,TRUE,False
455,1199,1086,maven, american,4158297982," reservations, seating, waitstaff",94117,598 haight street,maven," american (new),gastropubs,cocktail bars",4158297982,"takeout, creditcard, bikeparking, goodforgroups, waiterservice",94117,598 haight street,1,1,maven,maven,598 haight street,598 haight street,TRUE,TRUE,TRUE,,
457,120,1370,cotogna," italian,gluten free options",4157758508," reservations, seating, waitstaff, wheelchair accessible, serves alcohol, full bar",94133,490 pacific avenue,cotogna, italian,4157758508,"reservations, takeout, creditcard, bikeparking, goodforgroups, waiterservice",94133,490 pacific avenue,1,1,cotogna,cotogna,490 pacific avenue,490 pacific avenue,TRUE,TRUE,TRUE,,
459,1200,1036,enjoy vegetarian," chinese,asian,vegetarian friendly,vegan options",4156820826," takeout, seating, waitstaff",3889,754 kirkham street,enjoy vegetarian restaurant," vegetarian,chinese",4156820826,"reservations, takeout, creditcard, bikeparking, goodforkids, goodforgroups, waiterservice",94122,754 kirkham street,1,1,enjoy vegetarian,enjoy vegetarian restaurant,754 kirkham street,754 kirkham street,TRUE,FALSE,TRUE,,
461,1206,1397,florio," italian,steakhouse",4157754300," reservations, seating, waitstaff, serves alcohol",94115,1915 fillmore street,florio bar &amp; cafe," italian,mediterranean,bars",4157754300,"reservations, takeout, creditcard, applepay, bikeparking, goodforgroups, outdoorseating, waiterservice",94115,1915 fillmore street,1,1,florio,florio bar &amp; cafe,1915 fillmore street,1915 fillmore street,TRUE,FALSE,TRUE,,
462,121,1238,la ciccia," italian,mediterranean,seafood",4155508114," reservations, seating, waitstaff, serves alcohol",94131,291 30th street,la ciccia," seafood,sardinian",4155508114,"reservations, creditcard, waiterservice",94131,291 30th street,1,1,la ciccia,la ciccia,291 30th street,291 30th street,TRUE,TRUE,TRUE,,
463,1211,1169,linea caffe,na,258675,na,94110,3417 18th street,linea caffe, coffee & tea,4155903011,"takeout, creditcard, bikeparking, outdoorseating",94110,3417 18th street,1,1,linea caffe,linea caffe,3417 18th street,3417 18th street,TRUE,TRUE,FALSE,,
464,1212,77,truly mediterranean," lebanese,fast food,mediterranean,turkish,greek,middle eastern,halal",4152527482," takeout, seating",94103,3109 16th street,truly mediterranean, mediterranean,4152527482,"takeout, creditcard, bikeparking, goodforkids, outdoorseating",94103,3109 16th street,1,1,truly mediterranean,truly mediterranean,3109 16th street,3109 16th street,TRUE,TRUE,TRUE,,
465,1220,1010,rove kitchen," american, bar,pub",46518," seating, waitstaff, takeout",94109,678 post street,rove kitchen," burgers,american (traditional)",4155677466,"takeout, creditcard, hastv, waiterservice",94109,678 post street,1,1,rove kitchen,rove kitchen,678 post street,678 post street,TRUE,TRUE,FALSE,,
466,1225,474,olivos restaurant," mexican,latin,spanish, salvadoran,south american, central american",4159313019," seating, takeout",94109,1017 larkin street,olivoâ€°Ã›Â¡ÃŒÃùÃ¥Â»s," mexican,latin american",4159313019,"takeout, bikeparking, goodforkids, goodforgroups, hastv, waiterservice",94109,1017 larkin street,1,1,olivos restaurant,olivoâ€°Ã›Â¡ÃŒÃùÃ¥Â»s,1017 larkin street,1017 larkin street,TRUE,FALSE,TRUE,,
467,1226,835,gordo taqueria," mexican,fast food",4153874484, takeout,94121,2252 clement street,gordo taqueria," fast food,mexican",4153874484,"takeout, creditcard, bikeparking, goodforkids",94121,2252 clement street,1,1,gordo taqueria,gordo taqueria,2252 clement street,2252 clement street,TRUE,TRUE,TRUE,,
470,123,1333,cafe claude, french,4153923505," takeout, outdoor seating, seating, waitstaff, serves alcohol, full bar, wine and beer, accepts american express, accepts mastercard, accepts visa, digital payments, free wifi, accepts discover, reservations",94108,"7 claude ln,ste 8",cafe claude," french,venues & event spaces",4153923505,"reservations, takeout, creditcard, goodforgroups, outdoorseating, waiterservice",94108,7 claude ln,1,1,cafe claude,cafe claude,"7 claude ln,ste 8",7 claude ln,FALSE,TRUE,TRUE,,
471,1232,153,chai bar by david rio,na,4158650677," takeout, outdoor seating, seating, parking available, street parking, wheelchair accessible, serves alcohol, wine and beer, accepts american express, accepts mastercard, accepts visa, free wifi, accepts discover",94103,1019 market street ca,chai bar by david rio," tea rooms,cafes",4158650677,"takeout, creditcard, applepay, bikeparking, goodforkids, goodforgroups, outdoorseating, caters",94103,1019 market street,1,1,chai bar by david rio,chai bar by david rio,1019 market street ca,1019 market street,FALSE,TRUE,TRUE,,
472,1236,36,wooley pig cafe,na,4155928015,na,94122,205 hugo street,wooly pig cafe," sandwiches,coffee & tea,breakfast & brunch",4155928015,"takeout, creditcard, applepay, bikeparking, goodforkids, outdoorseating",94122,205 hugo street,1,1,wooley pig cafe,wooly pig cafe,205 hugo street,205 hugo street,TRUE,FALSE,TRUE,,
474,1241,483,shalimar," indian,pakistani,middle eastern",4157764642," takeout, seating",94109,1409 polk street,shalimar resturant," indian,pakistani",4157764642,"takeout, bikeparking, goodforkids, goodforgroups, outdoorseating, caters",94109,1409 polk street,1,1,shalimar,shalimar resturant,1409 polk street,1409 polk street,TRUE,FALSE,TRUE,,
475,1242,857,taqueria san jose," mexican,latin,spanish",4152820203," takeout, seating",94110,2830 mission street,taqueria san jose, mexican,4152820203,"takeout, creditcard, bikeparking, goodforkids, goodforgroups, hastv, caters",94110,2830 mission street,1,1,taqueria san jose,taqueria san jose,2830 mission street,2830 mission street,TRUE,TRUE,TRUE,,
477,1246,1042,two sisters bar and books," bar,pub,american",231939, seating,94102,579 hayes street,two sisters bar and books," bars,american (new)",4158633655,"creditcard, bikeparking, outdoorseating, caters",94102,579 hayes street,1,1,two sisters bar and books,two sisters bar and books,579 hayes street,579 hayes street,TRUE,TRUE,FALSE,,
493,1248,1047,long bridge pizza," italian,pizza",4158298999," seating, wheelchair accessible",94107,2347 3rd street,long bridge pizza, pizza,4158298999,"takeout, creditcard, bikeparking, goodforkids, caters",94107,2347 3rd street,1,1,long bridge pizza,long bridge pizza,2347 3rd street,2347 3rd street,TRUE,TRUE,TRUE,,
494,1249,323,pho 2000, vietnamese,4154741188,na,94109,637 larkin street,pho 2000," vietnamese,noodles",4154741188,"reservations, takeout, bikeparking, goodforkids, goodforgroups, hastv, waiterservice, caters",94109,637 larkin street,1,1,pho 2000,pho 2000,637 larkin street,637 larkin street,TRUE,TRUE,TRUE,,
