_id,ltable_id,rtable_id,ltable_title,ltable_cuisine,ltable_phone,ltable_feature,ltable_zipcode,ltable_street_addr,rtable_title,rtable_cuisine,rtable_phone,rtable_feature,rtable_zipcode,rtable_street_addr,gold
49,1020,2249,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,hinata," sushi bars,japanese",4158298291,"reservations, creditcard, waiterservice",94109,810 van ness avenue,0
50,1020,2252,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,harris‰Û¡ÌÝå» restaurant, steakhouses,4156731888,"reservations, creditcard, goodforgroups, waiterservice",94109,2100 van ness avenue,0
51,1020,2279,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,"larry fan, md | 77 plastic surgery"," cosmetic surgeons,medical spas,skin care",4156557546,"creditcard, bikeparking",94102,77 van ness avenue,0
52,1020,2424,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,guitar center lessons, musical instruments & teachers,4154090350,creditcard,94109,1645 van ness avenue,0
53,1020,2427,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,blinks+brows - san francisco," eyelash service,eyebrow services,permanent makeup",4158451898,"creditcard, bikeparking",94109,1901 van ness avenue,0
54,1020,2464,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,"jesse maschmeyer violins, llc"," musical instruments & teachers,musical instrument services",4158715013,"creditcard, bikeparking",94102,512 van ness avenue,0
55,1020,2684,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,trip tel, mobile phones,4154743330,,94109,1525 van ness avenue,0
56,1020,2724,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,corridor cafe," coffee & tea,sandwiches,breakfast & brunch",4154004979,"takeout, creditcard, applepay, bikeparking, goodforkids, outdoorseating, caters",94102,100 van ness avenue,0
57,1020,2939,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,dainese d-store," motorcycle gear,ski & snowboard shops",4156265478,"creditcard, applepay, bikeparking",94103,131 s van ness avenue,0
58,1020,2942,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,music exchange, musical instruments & teachers,4155520445,creditcard,94102,700 van ness avenue,0
59,1020,2961,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,san jalisco, mexican,4156488383,"takeout, creditcard, bikeparking, goodforkids, goodforgroups, hastv, waiterservice, caters",94110,901 s van ness avenue,0
60,1020,386,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,phone booth, dive bars,4156484683,"goodforgroups, hastv",94110,1398 s van ness avenue,0
61,1020,492,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,the little spot cafe," coffee & tea,bagels,sandwiches",4155501800,"takeout, creditcard, bikeparking, goodforkids, outdoorseating, waiterservice",94110,1199 s van ness avenue,0
62,1020,574,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,stoner‰Û¡ÌÝå»s, delis,4159137753,"takeout, creditcard, bikeparking, goodforkids, goodforgroups",94102,752 van ness avenue,0
63,1020,585,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,whiz burgers drive-in, burgers,4158245888,"takeout, creditcard, bikeparking, goodforkids, goodforgroups, outdoorseating",94110,700 s van ness avenue,0
64,1020,637,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,my corner cafe, american (traditional),4155502382,"takeout, creditcard, bikeparking, goodforkids, goodforgroups",94110,1500 s van ness avenue,0
65,1020,754,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,kenny‰Û¡ÌÝå»s restaurant," diners,salad,breakfast & brunch",4156218902,"takeout, goodforkids, goodforgroups, hastv, waiterservice",94110,518 s van ness avenue,0
66,1020,887,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,counter offer," american (traditional),pubs",4158241800,"takeout, creditcard, bikeparking, goodforgroups, outdoorseating, hastv",94110,800 s van ness avenue,0
67,1020,966,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,urban putt," mini golf,american (new),bars",4153411080,"reservations, creditcard, bikeparking, goodforkids, goodforgroups, hastv, waiterservice",94110,1096 s van ness avenue,0
68,1020,989,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,walzwerk, german,4155517181,"reservations, takeout, creditcard, bikeparking, goodforgroups, waiterservice",94103,381 s van ness avenue,0
69,1020,998,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,august 1 five," indian,cocktail bars,salad",4157715900,"reservations, takeout, creditcard, goodforkids, goodforgroups, waiterservice, caters",94102,524 van ness avenue,0
70,1021,2274,mister jiu‰Û¡ÌÝå»s," chinese, contemporary,asian",4158579688," reservations, serves alcohol, seating, waitstaff, wheelchair accessible",94108,28 waverly pl,mister jiu‰Û¡ÌÝå»s, chinese,4158579688,"reservations, creditcard, bikeparking, goodforgroups, waiterservice",94108,28 waverly pl,0
71,1026,899,taqueria el sol," mexican,latin,spanish",4154410405," takeout, seating",94102,595 geary street,el sol taqueria, mexican,4154410405,"takeout, creditcard, bikeparking, goodforkids",94102,595 geary street,0
72,1027,1736,herbivore," american,international,vegetarian friendly,vegan options",4158265657," takeout, seating, waitstaff, reservations",94110,983 valencia street,motze," american (new),asian fusion,japanese",4154841206,"reservations, creditcard, applepay, bikeparking, goodforgroups, waiterservice",94110,983 valencia street,0
73,1028,1029,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,limÌÎ_n rotisserie," latin american,peruvian,tapas/small plates",4158212134,"reservations, takeout, creditcard, bikeparking, goodforgroups, hastv, waiterservice, caters",94110,1001 s van ness avenue,0
74,1028,1049,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,san jalisco, mexican,4156488383,"takeout, creditcard, bikeparking, goodforkids, goodforgroups, hastv, waiterservice, caters",94110,901 s van ness avenue,0
75,1028,1095,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,corridor cafe," coffee & tea,sandwiches,breakfast & brunch",4154004979,"takeout, creditcard, applepay, bikeparking, goodforkids, outdoorseating, caters",94102,100 van ness avenue,0
76,1028,1198,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,helmand palace," afghan,salad,soup",4153450072,"reservations, delivery, takeout, creditcard, bikeparking, goodforkids, goodforgroups, waiterservice, caters",94109,2424 van ness avenue,0
77,1028,1208,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,ho‰Û¡ÌÝå»s bootleg tavern," american (new),sports bars",4158727773,"reservations, takeout, creditcard, bikeparking, goodforgroups, hastv, waiterservice",94109,2360 van ness avenue,0
78,1028,1261,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,house of prime rib," american (traditional),steakhouses",4158854605,"reservations, creditcard, goodforkids, goodforgroups, waiterservice",94109,1906 van ness avenue,0
79,1028,1309,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,ruth‰Û¡ÌÝå»s chris steak house," steakhouses,wine bars",4156730557,"reservations, takeout, creditcard, goodforgroups, waiterservice",94109,1601 van ness avenue,0
80,1028,1365,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,dainese d-store," motorcycle gear,ski & snowboard shops",4156265478,"creditcard, applepay, bikeparking",94103,131 s van ness avenue,0
81,1028,1368,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,music exchange, musical instruments & teachers,4155520445,creditcard,94102,700 van ness avenue,0
82,1028,1442,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,davies symphony hall," performing arts,music venues,venues & event spaces",4156216600,"creditcard, bikeparking, goodforkids, goodforgroups",94102,201 van ness avenue,0
83,1028,1446,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,matterhorn restaurant," fondue,german",4158856116,"reservations, creditcard, goodforkids, goodforgroups, waiterservice",94109,2323 van ness avenue,0
84,1028,1456,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,san francisco symphony," performing arts,music venues",4158646000,"creditcard, bikeparking, goodforkids, goodforgroups",94102,201 van ness avenue,0
85,1028,17,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,philz coffee, coffee & tea,4152927660,"takeout, creditcard, applepay, bikeparking",94102,748 van ness avenue,0
86,1028,1717,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,"alyson mititieri, le"," medical spas,hair removal,skin care",4153799015,"creditcard, bikeparking",94102,77 van ness avenue,0
87,1028,1723,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,beaux gateaux wedding cakes," bakeries,desserts",4157543043,"delivery, creditcard, bikeparking",94109,2100 van ness avenue,0
88,1028,1756,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,"edward p miranda, md facs"," cosmetic surgeons,medical spas",4153799015,"creditcard, bikeparking",94102,77 van ness avenue,0
89,1028,1779,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,pacific plastic surgery group," cosmetic surgeons,skin care",4153799015,"creditcard, bikeparking",94102,77 van ness avenue,0
90,1028,178,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,bender‰Û¡ÌÝå»s bar and grill," dive bars,american (traditional)",4158241800,"reservations, bikeparking, goodforgroups, outdoorseating, hastv",94110,806 s van ness avenue,0
91,1028,1796,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,cafÌÎå© at the opera," cafes,american (traditional),sandwiches",4158618150,"reservations, creditcard, goodforgroups, waiterservice, caters",94102,301 van ness avenue,0
92,1028,202,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,flying pig bistro pub," sandwiches,pubs,sports bars",4159341234,"takeout, creditcard, bikeparking, goodforkids, goodforgroups, outdoorseating, hastv, caters",94103,433 s van ness avenue,0
93,1028,2249,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,hinata," sushi bars,japanese",4158298291,"reservations, creditcard, waiterservice",94109,810 van ness avenue,0
94,1028,2252,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,harris‰Û¡ÌÝå» restaurant, steakhouses,4156731888,"reservations, creditcard, goodforgroups, waiterservice",94109,2100 van ness avenue,0
95,1028,2279,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,"larry fan, md | 77 plastic surgery"," cosmetic surgeons,medical spas,skin care",4156557546,"creditcard, bikeparking",94102,77 van ness avenue,0
96,1028,2424,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,guitar center lessons, musical instruments & teachers,4154090350,creditcard,94109,1645 van ness avenue,0
97,1028,2427,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,blinks+brows - san francisco," eyelash service,eyebrow services,permanent makeup",4158451898,"creditcard, bikeparking",94109,1901 van ness avenue,0
98,1028,2464,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,"jesse maschmeyer violins, llc"," musical instruments & teachers,musical instrument services",4158715013,"creditcard, bikeparking",94102,512 van ness avenue,0
99,1028,2684,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,trip tel, mobile phones,4154743330,,94109,1525 van ness avenue,0
100,1028,2724,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,corridor cafe," coffee & tea,sandwiches,breakfast & brunch",4154004979,"takeout, creditcard, applepay, bikeparking, goodforkids, outdoorseating, caters",94102,100 van ness avenue,0
101,1028,2939,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,dainese d-store," motorcycle gear,ski & snowboard shops",4156265478,"creditcard, applepay, bikeparking",94103,131 s van ness avenue,0
102,1028,2942,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,music exchange, musical instruments & teachers,4155520445,creditcard,94102,700 van ness avenue,0
103,1028,2961,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,san jalisco, mexican,4156488383,"takeout, creditcard, bikeparking, goodforkids, goodforgroups, hastv, waiterservice, caters",94110,901 s van ness avenue,0
104,1028,386,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,phone booth, dive bars,4156484683,"goodforgroups, hastv",94110,1398 s van ness avenue,0
105,1028,492,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,the little spot cafe," coffee & tea,bagels,sandwiches",4155501800,"takeout, creditcard, bikeparking, goodforkids, outdoorseating, waiterservice",94110,1199 s van ness avenue,0
106,1028,574,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,stoner‰Û¡ÌÝå»s, delis,4159137753,"takeout, creditcard, bikeparking, goodforkids, goodforgroups",94102,752 van ness avenue,0
107,1028,585,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,whiz burgers drive-in, burgers,4158245888,"takeout, creditcard, bikeparking, goodforkids, goodforgroups, outdoorseating",94110,700 s van ness avenue,0
108,1028,637,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,my corner cafe, american (traditional),4155502382,"takeout, creditcard, bikeparking, goodforkids, goodforgroups",94110,1500 s van ness avenue,0
109,1028,754,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,kenny‰Û¡ÌÝå»s restaurant," diners,salad,breakfast & brunch",4156218902,"takeout, goodforkids, goodforgroups, hastv, waiterservice",94110,518 s van ness avenue,0
110,1028,887,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,counter offer," american (traditional),pubs",4158241800,"takeout, creditcard, bikeparking, goodforgroups, outdoorseating, hastv",94110,800 s van ness avenue,0
111,1028,966,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,urban putt," mini golf,american (new),bars",4153411080,"reservations, creditcard, bikeparking, goodforkids, goodforgroups, hastv, waiterservice",94110,1096 s van ness avenue,0
112,1028,989,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness avenue,walzwerk, german,4155517181,"reservations, takeout, creditcard, bikeparking, goodforgroups, waiterservice",94103,381 s van ness avenue,0
