id,title,popularity,rating,price,cuisine,phone,food_rating,service_rating,value_rating,atmosphere_rating,price_range,feature,mon,tue,wed,thu,fri,sat,sun,address,description
10,Taylor Street Coffee Shop,"#11 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,,"American, Contemporary,Cafe",+1 415-567-4031,4.5 of 5 bubbles,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,,"Takeout, Seating, Waitstaff",7:00 am - 2:00 pm,7:00 am - 2:00 pm,7:00 am - 2:00 pm,7:00 am - 2:00 pm,7:00 am - 2:00 pm,7:00 am - 2:00 pm,7:00 am - 2:00 pm,"375 Taylor St,San Francisco, CA 94102-2004","Address:375 Taylor St,San Francisco, CA 94102-2004Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San FranciscoPhone Number:+1 415-567-4031trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
11,Hollywood Cafe,"#12 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$ - $$$,"American,Cafe",+1 415-563-3779,4.5 of 5 bubbles,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,,"Takeout, Outdoor Seating, Seating, Waitstaff, Highchairs Available, Wheelchair Accessible",7:00 am - 1:45 pm,7:00 am - 1:45 pm,7:00 am - 1:45 pm,7:00 am - 1:45 pm,7:00 am - 1:45 pm,7:00 am - 1:45 pm,7:00 am - 1:45 pm,"530 North Point St,San Francisco, CA 94133-1312","Address:530 North Point St,San Francisco, CA 94133-1312Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Fisherman’s WharfNeighborhood: Fisherman’s WharfPhone Number:+1 415-563-3779trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
12,Sotto Mare Oysteria & Seafood,"#13 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$ - $$$,"Italian,Seafood,Soups",,4.5 of 5 bubbles,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,$20 -$25,"Takeout, Reservations, Outdoor Seating, Seating, Waitstaff, Serves Alcohol",11:30 am - 9:30 pm,11:30 am - 9:30 pm,11:30 am - 9:30 pm,11:30 am - 9:30 pm,11:30 am - 9:30 pm,11:30 am - 9:30 pm,,"552 Green St,San Francisco, CA 94133","Address:552 Green St,San Francisco, CA 94133Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;North Beach / Telegraph HillNeighborhood: North Beach / Telegraph HilltrkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
13,Pearl's Deluxe Burgers,"#14 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$ - $$$,"American,Fast Food",+1 415-409-6120,4.5 of 5 bubbles,4.5 of 5 bubbles,4.5 of 5 bubbles,3.5 of 5 bubbles,$5 -$15,"Takeout, Seating, Wheelchair Accessible",11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 11:00 pm,11:00 am - 11:00 pm,12:00 pm - 9:00 pm,"708 Post St,San Francisco, CA 94109","Address:708 Post St,San Francisco, CA 94109Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San FranciscoPhone Number:+1 415-409-6120trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
14,The Codmother Fish & Chips,"#15 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$,"Seafood,Fast Food,British",+1 415-606-9349,4.5 of 5 bubbles,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,,"Takeout, Outdoor Seating, Seating, Wheelchair Accessible",12:00 am - 7:30 pm,,12:00 am - 7:30 pm,12:00 am - 7:30 pm,12:00 am - 7:30 pm,12:00 am - 7:30 pm,12:00 am - 7:30 pm,"496 Beach St,between Jones and Taylor,San Francisco, CA 94133-1102","Address:496 Beach St,between Jones and Taylor,San Francisco, CA 94133-1102Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Fisherman’s WharfNeighborhood: Fisherman’s WharfPhone Number:+1 415-606-9349trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
15,Pacific Catch,"#16 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$ - $$$,"Seafood,Asian,Soups,Gluten Free Options",+1 415-440-1950,4.5 of 5 bubbles,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,$15,"Takeout, Outdoor Seating, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol",11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,"2027 Chestnut St,Cross Street Fillmore,San Francisco, CA 94123","Address:2027 Chestnut St,Cross Street Fillmore,San Francisco, CA 94123Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Marina DistrictNeighborhood: Marina DistrictPhone Number:+1 415-440-1950trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
16,Home Plate,"#17 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$ - $$$,"American,Cafe",+1 415-922-4663,4.5 of 5 bubbles,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,$12,"Takeout, Seating, Waitstaff, Wheelchair Accessible, Highchairs Available",7:00 am - 3:00 pm,7:00 am - 3:00 pm,7:00 am - 3:00 pm,7:00 am - 3:00 pm,7:00 am - 3:00 pm,7:00 am - 3:00 pm,7:00 am - 3:00 pm,"2274 Lombard St,San Francisco, CA 94123-2704","Address:2274 Lombard St,San Francisco, CA 94123-2704Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Marina DistrictNeighborhood: Marina DistrictPhone Number:+1 415-922-4663trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
17,Hog Island Oyster Company,"#18 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$ - $$$,"American,Seafood,Soups",+1 415-391-7117,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,4.5 of 5 bubbles,$30,"Outdoor Seating, Seating, Waitstaff, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar",11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,"The Ferry Building Marketplace,One Ferry Building, #11,San Francisco, CA 94111","Address:The Ferry Building Marketplace,One Ferry Building, #11,San Francisco, CA 94111Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San FranciscoPhone Number:+1 415-391-7117trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
18,Nopa,"#19 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$ - $$$,"American,Gluten Free Options",+1 415-864-8643,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,4.5 of 5 bubbles,$30 -$30,"Reservations, Waitstaff, Wheelchair Accessible, Serves Alcohol, Full Bar, Seating",5:00 pm - 1:00 am,5:00 pm - 1:00 am,5:00 pm - 1:00 am,5:00 pm - 1:00 am,5:00 pm - 1:00 am,11:00 am - 1:00 am,11:00 am - 1:00 am,"560 Divisidero St.,San Francisco, CA 94108","Address:560 Divisidero St.,San Francisco, CA 94108(Hayes)Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San FranciscoPhone Number:+1 415-864-8643trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
19,Il Casaro Pizzeria and Mozzarella Bar,"#20 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$ - $$$,"Italian,Pizza",+1 415-677-9455,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,4 of 5 bubbles,,"Takeout, Seating, Waitstaff, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol",11:00 am - 11:00 pm,11:00 am - 11:00 pm,11:00 am - 11:00 pm,11:00 am - 11:00 pm,12:00 pm - 12:00 am,12:00 pm - 12:00 am,11:00 am - 11:00 pm,"348 Columbus Ave,San Francisco, CA 94133-3915","Address:348 Columbus Ave,San Francisco, CA 94133-3915Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;North Beach / Telegraph HillNeighborhood: North Beach / Telegraph HillPhone Number:+1 415-677-9455trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
20,Tony's Pizza Napoletana,"#21 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$ - $$$,"Italian,Pizza,Gluten Free Options",+1 415-835-9888,4.5 of 5 bubbles,4 of 5 bubbles,4 of 5 bubbles,4 of 5 bubbles,$20 -$25,"Delivery, Takeout, Outdoor Seating, Seating, Waitstaff, Television, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Discover",12:00 pm - 10:00 pm,,12:00 pm - 11:00 pm,12:00 pm - 11:00 pm,12:00 pm - 11:00 pm,12:00 pm - 11:00 pm,12:00 pm - 11:00 pm,"1570 Stockton St,San Francisco, CA 94133-3306","Address:1570 Stockton St,San Francisco, CA 94133-3306Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;North Beach / Telegraph HillNeighborhood: North Beach / Telegraph HillPhone Number:+1 415-835-9888trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
21,Brenda's French Soul Food,"#22 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$ - $$$,"American,Cajun & Creole",+1 415-345-8100,4.5 of 5 bubbles,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,$10 -$15,"Takeout, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol",8:00 am - 3:00 pm,8:00 am - 3:00 pm,8:00 am - 10:00 pm,8:00 am - 10:00 pm,8:00 am - 10:00 pm,8:00 am - 10:00 pm,8:00 am - 8:00 pm,"652 Polk St,San Francisco, CA 94102-3328","Address:652 Polk St,San Francisco, CA 94102-3328Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San FranciscoPhone Number:+1 415-345-8100trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
22,Boulevard,"#23 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$$$,"American,International",+1 415-543-6084,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,4.5 of 5 bubbles,$41 -$80,"Reservations, Private Dining, Seating, Waitstaff, Valet Parking, Wheelchair Accessible, Serves Alcohol, Full Bar",5:30 pm - 10:00 pm,5:30 pm - 10:00 pm,5:30 pm - 10:00 pm,5:30 pm - 10:00 pm,11:30 am - 2:15 pm,5:30 pm - 10:30 pm,5:30 pm - 10:00 pm,"1 Mission St,San Francisco, CA 94105-1209","Address:1 Mission St,San Francisco, CA 94105-1209(Steuart St.)Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;SoMaNeighborhood: SoMaPhone Number:+1 415-543-6084trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
23,La Taqueria,"#24 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$,"Mexican,Latin,Fast Food, Central American,South American",+1 415-285-7117,4.5 of 5 bubbles,4 of 5 bubbles,4.5 of 5 bubbles,3.5 of 5 bubbles,$20,"Takeout, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol",11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 8:00 pm,"2889 Mission St,San Francisco, CA 94110-3907","Address:2889 Mission St,San Francisco, CA 94110-3907Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Mission DistrictNeighborhood: Mission DistrictPhone Number:+1 415-285-7117trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
24,Fino Bar & Ristorante,"#25 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$ - $$$,Italian,+1 415-928-2080,4.5 of 5 bubbles,4.5 of 5 bubbles,4.5 of 5 bubbles,4.5 of 5 bubbles,$25 -$100,"Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol, Full Bar",5:30 pm - 10:00 pm,5:30 pm - 10:00 pm,5:30 pm - 10:00 pm,5:30 pm - 10:00 pm,5:30 pm - 10:00 pm,5:30 pm - 10:00 pm,5:30 pm - 9:30 pm,"624 Post St,San Francisco, CA 94109-8222","Address:624 Post St,San Francisco, CA 94109-8222Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San FranciscoPhone Number:+1 415-928-2080trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
25,House of Prime Rib,"#26 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$$$,"American,Steakhouse",+1 415-885-4605,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,4 of 5 bubbles,$31 -$40,"Reservations, Private Dining, Seating, Waitstaff, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar",5:30 pm - 10:00 pm,5:30 pm - 10:00 pm,5:30 pm - 10:00 pm,5:30 pm - 10:00 pm,5:00 pm - 10:00 pm,4:00 pm - 10:00 pm,4:00 pm - 10:00 pm,"1906 Van Ness Ave,San Francisco, CA 94109-3008","Address:1906 Van Ness Ave,San Francisco, CA 94109-3008(Washington St.)Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Nob HillNeighborhood: Nob HillPhone Number:+1 415-885-4605trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
26,E Tutto Qua,"#27 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$ - $$$,"Seafood,Italian,Pizza",+1 415-989-1002,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,4 of 5 bubbles,$15 -$30,"Takeout, Seating, Waitstaff, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Discover, Reservations",5:00 pm - 11:00 pm,5:00 pm - 11:00 pm,5:00 pm - 11:00 pm,5:00 pm - 11:00 pm,5:00 pm - 12:00 am,5:00 pm - 12:00 am,5:00 pm - 11:00 pm,"270 Columbus Ave,San Francisco, CA 94133-4518","Address:270 Columbus Ave,San Francisco, CA 94133-4518Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;North Beach / Telegraph HillNeighborhood: North Beach / Telegraph HillPhone Number:+1 415-989-1002trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
27,Zazie,"#28 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$ - $$$,"American,European,French",+1 415-564-5332,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,4.5 of 5 bubbles,$21 -$30,"Reservations, Outdoor Seating, Seating, Waitstaff, Highchairs Available, Serves Alcohol, Wheelchair Accessible",5:00 pm - 9:30 pm,5:00 pm - 9:30 pm,5:00 pm - 9:30 pm,5:00 pm - 9:30 pm,8:00 am - 2:00 pm,5:00 pm - 10:00 pm,5:00 pm - 9:30 pm,"941 Cole St,San Francisco, CA 94117","Address:941 Cole St,San Francisco, CA 94117(between Carl and Parnassus)Public Transportation:The MUNI N-Judah train stops on Cole Street half a block from ZazieLocation:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San FranciscoPhone Number:+1 415-564-5332trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
28,Tadich Grill,"#29 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$ - $$$,"American,Seafood,Soups",+1 415-391-1849,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,4.5 of 5 bubbles,$40,"Serves Alcohol, Full Bar, Private Dining, Seating, Waitstaff, Wheelchair Accessible, Wine and Beer, Accepts Mastercard, Accepts Visa",11:00 am - 9:30 pm,11:00 am - 9:30 pm,11:00 am - 9:30 pm,11:00 am - 9:30 pm,11:00 am - 9:30 pm,11:30 am - 9:30 pm,,"240 California St,San Francisco, CA 94111-4361","Address:240 California St,San Francisco, CA 94111-4361Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Financial DistrictNeighborhood: Financial DistrictPhone Number:+1 415-391-1849trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
29,Waterbar,"#30 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$$$,"Seafood,Gluten Free Options",+1 415-284-9922,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,4.5 of 5 bubbles,$15 -$50,"Parking Available, Highchairs Available, Free Wifi, Reservations, Outdoor Seating, Private Dining, Seating, Waitstaff, Street Parking, Valet Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Discover",11:30 am - 9:30 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 9:30 pm,"399 The Embarcadero,San Francisco, CA 94105","Address:399 The Embarcadero,San Francisco, CA 94105(Harrison)Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;SoMaNeighborhood: SoMaPhone Number:+1 415-284-9922trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
