id,title,yelpPage,categories,price,rating,mon,tue,wed,thu,fri,sat,sun,addr,phone,reservations,delivery,takeout,creditCard,applePay,goodFor,parking,bikeParking,goodForKids,goodForGroups,attire,ambience,noiseLevel,alcohol,outdoorSeating,wifi,hasTV,waiterService,caters,driveThrough
1240,Liholiho Yacht Club,http://www.yelp.com/ /biz/liholiho-yacht-club-san-francisco-2,"American (New),Seafood",$31-60,4.5 star rating,5:00 pm-10:30 pm,5:00 pm-10:30 pm,5:00 pm-10:30 pm,5:00 pm-10:30 pm,5:00 pm-11:00 pm,5:00 pm-11:00 pm,Closed,"871 Sutter StSan Francisco, CA 94109",(415) 440-5446,Yes,No,No,Yes,No,Dinner,"Garage, Street",No,No,Yes,Casual,Casual,Average,Full Bar,No,No,No,Yes,No,
1241,Lolinda,http://www.yelp.com/ /biz/lolinda-san-francisco,"Steakhouses,Argentine,Tapas/Small Plates",$31-60,4.0 star rating,5:30 pm-11:00 pm,5:30 pm-11:00 pm,5:30 pm-11:00 pm,5:30 pm-11:00 pm,5:30 pm-12:00 am,5:30 pm-12:00 am,5:30 pm-11:00 pm,"2518 Mission StSan Francisco, CA 94110",(415) 550-6970,Yes,No,No,Yes,No,Dinner,"Valet, Street",Yes,No,Yes,Casual,Trendy,Loud,Full Bar,No,No,No,Yes,No,
1242,Nopa,http://www.yelp.com/ /biz/nopa-san-francisco,"American (New),Modern European",$31-60,4.0 star rating,5:00 pm-12:00 am,5:00 pm-12:00 am,5:00 pm-12:00 am,5:00 pm-12:00 am,5:00 pm-1:00 am,11:00 am-1:00 am,11:00 am-12:00 am,"560 Divisadero StSan Francisco, CA 94117",(415) 864-8643,Yes,No,No,Yes,No,Dinner,Street,Yes,No,Yes,Casual,Trendy,Loud,Full Bar,No,No,No,Yes,No,
1243,Firefly Restaurant,http://www.yelp.com/ /biz/firefly-restaurant-san-francisco-4,"American (New),Gluten-Free",$31-60,4.0 star rating,5:30 pm-9:30 pm,5:30 pm-9:30 pm,5:30 pm-9:30 pm,5:30 pm-9:30 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-9:00 pm,"4288 24th StSan Francisco, CA 94114",(415) 821-7652,Yes,No,No,Yes,No,Dinner,Street,Yes,No,Yes,Casual,Romantic,Average,Beer & Wine Only,No,Free,No,Yes,No,
1244,Bar Crudo,http://www.yelp.com/ /biz/bar-crudo-san-francisco,"Seafood,Live/Raw Food",$31-60,4.0 star rating,Closed,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-11:00 pm,5:00 pm-11:00 pm,5:00 pm-10:00 pm,"655 Divisadero StSan Francisco, CA 94117",(415) 409-0679,Yes,No,No,Yes,No,Dinner,Street,Yes,No,No,Casual,Trendy,Average,Beer & Wine Only,No,No,No,Yes,No,
1245,State Bird Provisions,http://www.yelp.com/ /biz/state-bird-provisions-san-francisco,"Tapas/Small Plates,American (New)",$31-60,4.0 star rating,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-11:00 pm,5:30 pm-11:00 pm,5:30 pm-10:00 pm,"1529 Fillmore StSan Francisco, CA 94115",(415) 795-1272,Yes,No,No,Yes,No,Dinner,Street,Yes,No,Yes,Casual,Trendy,Average,Beer & Wine Only,No,No,No,Yes,No,
1246,Espetus Brazilian Steak House,http://www.yelp.com/ /biz/espetus-brazilian-steak-house-san-francisco,"Steakhouses,Brazilian",$31-60,4.0 star rating,11:30 am-2:30 pm5:00 pm-10:00 pm,11:30 am-2:30 pm5:00 pm-10:00 pm,11:30 am-2:30 pm5:00 pm-10:00 pm,11:30 am-2:30 pm5:00 pm-10:00 pm,11:30 am-2:30 pm5:00 pm-11:00 pm,12:00 pm-3:00 pm5:00 pm-11:00 pm,12:00 pm-9:00 pm,"1686 Market StSan Francisco, CA 94102",(415) 552-8792,Yes,No,No,Yes,No,Dinner,Street,No,No,Yes,Casual,Classy,Average,Full Bar,No,Free,No,Yes,Yes,
1247,Tsubasa Sushi,http://www.yelp.com/ /biz/tsubasa-sushi-san-francisco,"Sushi Bars,Japanese",$31-60,4.5 star rating,Closed,11:30 am-2:15 pm5:30 pm-9:45 pm,11:30 am-2:15 pm5:30 pm-9:45 pm,11:30 am-2:15 pm5:30 pm-9:45 pm,11:30 am-2:15 pm5:30 pm-10:45 pm,12:00 pm-2:30 pm5:30 pm-10:45 pm,5:30 pm-9:45 pm,"429 Gough StSan Francisco, CA 94102",(415) 551-9688,Yes,No,No,Yes,No,Dinner,"Garage, Street",No,No,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,No,Yes,No,
1248,Marianne’s,http://www.yelp.com/ /biz/mariannes-san-francisco,Lounges,Pricey,5.0 star rating,Closed,5:30 pm-12:00 am,5:30 pm-12:00 am,5:30 pm-1:30 am,5:30 pm-1:30 am,5:30 pm-1:30 am,Closed,"360 Jessie StSan Francisco, CA 94103",(415) 321-6000,Yes,,,Yes,No,,,No,,Yes,,"Intimate, Romantic, Classy",Quiet,Full Bar,No,,No,,,
1249,Chapeau!,http://www.yelp.com/ /biz/chapeau-san-francisco,"French,Wine Bars",$31-60,4.5 star rating,Closed,Closed,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:30 pm,5:00 pm-10:30 pm,5:00 pm-10:00 pm,"126 Clement StSan Francisco, CA 94118",(415) 750-9787,Yes,No,No,Yes,No,Dinner,Street,Yes,No,Yes,Dressy,Classy,Average,Full Bar,No,No,No,Yes,No,
1250,The Richmond,http://www.yelp.com/ /biz/the-richmond-san-francisco,"Wine Bars,American (New)",$31-60,4.5 star rating,Closed,6:00 pm-9:00 pm,6:00 pm-9:00 pm,6:00 pm-9:00 pm,6:00 pm-9:00 pm,6:00 pm-9:00 pm,Closed,"615 Balboa StSan Francisco, CA 94118",(415) 379-8988,Yes,No,No,Yes,No,Dinner,Street,No,No,Yes,Casual,Intimate,Quiet,Beer & Wine Only,No,No,No,Yes,No,
1251,Koo,http://www.yelp.com/ /biz/koo-san-francisco,"Japanese,Sushi Bars",$31-60,4.0 star rating,Closed,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:30 pm,5:30 pm-10:30 pm,5:00 pm-9:30 pm,"408 Irving StSan Francisco, CA 94122",(415) 731-7077,Yes,No,Yes,Yes,Yes,Dinner,Street,Yes,No,Yes,Casual,Intimate,Average,Beer & Wine Only,No,No,No,Yes,No,
1252,Pläj Scandinavian Restaurant &amp; Bar,http://www.yelp.com/ /biz/pl%C3%A4j-scandinavian-restaurant-and-bar-san-francisco,"Scandinavian,Bars",$31-60,4.0 star rating,5:00 pm-9:00 pm,5:00 pm-9:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-11:00 pm,5:00 pm-11:00 pm,5:00 pm-9:00 pm,"333 Fulton StSan Francisco, CA 94102",(415) 294-8925,Yes,No,No,Yes,No,Dinner,"Valet, Street",No,No,Yes,Dressy,Classy,Average,Full Bar,No,No,No,Yes,No,
1253,Delfina,http://www.yelp.com/ /biz/delfina-san-francisco,"Italian,Pizza",$31-60,4.0 star rating,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-11:00 pm,5:30 pm-11:00 pm,5:00 pm-10:00 pm,"3621 18th StSan Francisco, CA 94110",(415) 552-4055,Yes,No,Yes,Yes,No,Dinner,Street,Yes,No,Yes,Casual,Trendy,Average,Beer & Wine Only,No,No,No,Yes,Yes,
1254,Heirloom Cafe,http://www.yelp.com/ /biz/heirloom-cafe-san-francisco,"Cafes,French,Italian",$31-60,4.0 star rating,5:45 pm-9:30 pm,5:45 pm-9:30 pm,5:45 pm-9:30 pm,5:45 pm-9:30 pm,5:45 pm-10:00 pm,5:45 pm-10:00 pm,Closed,"2500 Folsom StSan Francisco, CA 94110",(415) 821-2500,Yes,No,No,Yes,No,Dinner,Street,Yes,No,Yes,Casual,,Average,Beer & Wine Only,No,No,No,Yes,No,
1255,Foreign Cinema,http://www.yelp.com/ /biz/foreign-cinema-san-francisco,"American (New),Mediterranean",$31-60,4.0 star rating,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-11:00 pm,5:30 pm-11:00 pm,11:00 am-2:30 pm5:30 pm-11:00 pm,11:00 am-2:30 pm5:30 pm-10:00 pm,"2534 Mission StSan Francisco, CA 94110",(415) 648-7600,Yes,No,No,Yes,No,Dinner,"Valet, Street",Yes,No,Yes,Casual,Romantic,Average,Full Bar,Yes,No,No,Yes,No,
1256,Seven Hills,http://www.yelp.com/ /biz/seven-hills-san-francisco,"Italian,Seafood,Desserts",$31-60,4.5 star rating,Closed,Closed,5:30 pm-9:30 pm,5:30 pm-9:30 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-9:30 pm,"1550 Hyde StSan Francisco, CA 94109",(415) 775-1550,Yes,No,No,Yes,No,Dinner,Street,Yes,No,No,Casual,Intimate,Average,Beer & Wine Only,No,No,No,Yes,No,
1257,The Morris,http://www.yelp.com/ /biz/the-morris-san-francisco,American (New),$31-60,4.5 star rating,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:30 pm,5:00 pm-10:30 pm,Closed,"2501 Mariposa StSan Francisco, CA 94110",(415) 612-8480,Yes,No,No,Yes,,,,Yes,No,Yes,Casual,"Classy, Upscale",Average,Full Bar,No,,No,Yes,,
1258,Bacco,http://www.yelp.com/ /biz/bacco-san-francisco,Italian,$31-60,4.0 star rating,Closed,5:30 pm-9:30 pm,5:30 pm-9:30 pm,5:30 pm-9:30 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:00 pm-9:00 pm,"737 Diamond StSan Francisco, CA 94114",(415) 282-4969,Yes,No,Yes,Yes,No,Dinner,Street,Yes,No,Yes,Casual,Romantic,Average,Beer & Wine Only,Yes,Free,No,Yes,Yes,
1259,Avedano’s Holly Park Market,http://www.yelp.com/ /biz/avedanos-holly-park-market-san-francisco-2,"Meat Shops,Butcher,Sandwiches",$31-60,4.5 star rating,11:00 am-8:00 pm,11:00 am-8:00 pm,11:00 am-8:00 pm,11:00 am-8:00 pm,11:00 am-8:00 pm,9:00 am-8:00 pm,11:00 am-6:00 pm,"235 Cortland AveSan Francisco, CA 94110",(415) 285-6328,No,No,Yes,Yes,,Lunch,Street,Yes,No,No,Casual,,Quiet,No,No,No,No,No,Yes,
1260,Blue Plate,http://www.yelp.com/ /biz/blue-plate-san-francisco,"American (Traditional),Desserts,Tapas/Small Plates",$31-60,4.0 star rating,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:30 pm,5:30 pm-10:30 pm,5:30 pm-9:30 pm,"3218 Mission StSan Francisco, CA 94110",(415) 282-6777,Yes,No,No,Yes,No,Dinner,Street,Yes,No,Yes,Casual,,Average,Beer & Wine Only,Yes,No,No,Yes,Yes,
1261,House of Prime Rib,http://www.yelp.com/ /biz/house-of-prime-rib-san-francisco,"American (Traditional),Steakhouses",$31-60,4.0 star rating,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:00 pm-10:00 pm,4:00 pm-10:00 pm,4:00 pm-10:00 pm,"1906 Van Ness AveSan Francisco, CA 94109",(415) 885-4605,Yes,No,No,Yes,No,Dinner,Valet,No,Yes,Yes,Casual,Classy,Average,Full Bar,No,No,No,Yes,No,
1262,Absinthe Brasserie &amp; Bar,http://www.yelp.com/ /biz/absinthe-brasserie-and-bar-san-francisco-2,"French,Breakfast & Brunch,Bars",$31-60,4.0 star rating,11:30 am-11:00 pm,11:30 am-11:00 pm,11:30 am-11:00 pm,11:30 am-12:00 am,11:30 am-12:00 am,11:00 am-12:00 am,11:00 am-10:00 pm,"398 Hayes StSan Francisco, CA 94102",(415) 551-1590,Yes,No,Yes,Yes,No,Dinner,"Valet, Garage, Street",Yes,No,Yes,Casual,Classy,Average,Full Bar,Yes,Free,No,Yes,No,
1263,Stones Throw,http://www.yelp.com/ /biz/stones-throw-san-francisco-2,American (New),$31-60,4.5 star rating,Closed,5:00 pm-10:30 pm,5:00 pm-10:30 pm,5:00 pm-10:30 pm,5:00 pm-11:00 pm,5:00 pm-11:00 pm,11:00 am-2:00 pm5:00 pm-10:00 pm,"1896 Hyde StSan Francisco, CA 94109",(415) 796-2901,Yes,No,No,Yes,No,Dinner,Street,Yes,No,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,No,Yes,No,
1264,Poesia,http://www.yelp.com/ /biz/poesia-san-francisco,"Italian,Bars",$31-60,4.0 star rating,5:30 pm-10:30 pm,5:30 pm-10:30 pm,5:30 pm-10:30 pm,5:30 pm-10:30 pm,5:30 pm-11:00 pm,5:30 pm-11:00 pm,5:00 pm-10:00 pm,"4072 18th StSan Francisco, CA 94114",(415) 252-9325,Yes,Yes,Yes,Yes,No,Dinner,Street,Yes,No,Yes,Casual,Romantic,Average,Full Bar,Yes,No,No,Yes,Yes,
1265,Rich Table,http://www.yelp.com/ /biz/rich-table-san-francisco,American (New),$31-60,4.0 star rating,5:00 pm-10:30 pm,5:00 pm-10:30 pm,5:00 pm-10:30 pm,5:00 pm-10:30 pm,5:00 pm-10:30 pm,5:00 pm-10:30 pm,5:00 pm-10:30 pm,"199 Gough StSan Francisco, CA 94102",(415) 355-9085,Yes,No,No,Yes,No,Dinner,Street,Yes,No,No,Casual,Trendy,Average,Full Bar,No,Free,No,Yes,No,
1266,Frascati,http://www.yelp.com/ /biz/frascati-san-francisco,"Italian,Mediterranean",$31-60,4.5 star rating,5:30 pm-9:30 pm,5:30 pm-9:30 pm,5:30 pm-9:30 pm,5:30 pm-9:30 pm,5:30 pm-9:30 pm,5:30 pm-9:30 pm,5:30 pm-9:00 pm,"1901 Hyde StSan Francisco, CA 94109",(415) 928-1406,Yes,No,Yes,Yes,No,Dinner,Street,Yes,No,No,Casual,Romantic,Average,Beer & Wine Only,No,No,No,Yes,No,
1267,Kokkari Estiatorio,http://www.yelp.com/ /biz/kokkari-estiatorio-san-francisco,"Greek,Mediterranean",$31-60,4.5 star rating,11:30 am-2:30 pm5:30 pm-10:00 pm,11:30 am-2:30 pm5:30 pm-10:00 pm,11:30 am-2:30 pm5:30 pm-10:00 pm,11:30 am-2:30 pm5:30 pm-10:00 pm,11:30 am-2:30 pm5:30 pm-11:00 pm,5:00 pm-11:00 pm,5:00 pm-10:00 pm,"200 Jackson StSan Francisco, CA 94111",(415) 981-0983,Yes,No,No,Yes,No,Dinner,Street,Yes,No,Yes,Dressy,Classy,Average,Full Bar,No,No,No,Yes,No,
1268,Tekka Japanese Restaurant,http://www.yelp.com/ /biz/tekka-japanese-restaurant-san-francisco,"Japanese,Sushi Bars",$31-60,4.0 star rating,6:30 pm-9:00 pm,6:30 pm-9:00 pm,6:30 pm-9:00 pm,6:30 pm-9:00 pm,6:30 am-9:00 pm,Closed,Closed,"537 Balboa StSan Francisco, CA 94118",,No,No,No,No,No,Dinner,Street,No,No,No,Casual,Casual,Quiet,Beer & Wine Only,No,No,Yes,Yes,No,
1269,Contigo,http://www.yelp.com/ /biz/contigo-san-francisco-2,"Spanish,Tapas Bars",$31-60,4.0 star rating,Closed,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-9:30 pm,"1320 Castro StSan Francisco, CA 94114",(415) 285-0250,Yes,No,Yes,Yes,No,Dinner,Street,Yes,No,Yes,Casual,Trendy,Average,Beer & Wine Only,Yes,No,No,Yes,No,
1270,Ichido,http://www.yelp.com/ /biz/ichido-san-francisco-6,"Seafood,Japanese,Asian Fusion",$31-60,5.0 star rating,Closed,Closed,Closed,Closed,7:00 pm-9:30 pm,7:00 pm-9:30 pm,Closed,"687 Minna StSan Francisco, CA 94107",,Yes,No,No,Yes,No,Dinner,Street,Yes,No,Yes,Casual,Trendy,Average,No,No,Free,No,No,Yes,
1271,3rd Cousin,http://www.yelp.com/ /biz/3rd-cousin-san-francisco-2,American (New),$31-60,4.5 star rating,Closed,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,Closed,"919 Cortland AveSan Francisco, CA 94110",(415) 814-3709,Yes,No,No,Yes,,Dinner,Street,Yes,No,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,No,Yes,Yes,
1272,Mathilde French Bistro,http://www.yelp.com/ /biz/mathilde-french-bistro-san-francisco,"French,Desserts,Salad",$31-60,4.5 star rating,Closed,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:30 pm,5:30 pm-10:30 pm,Closed,"315 5th StSan Francisco, CA 94107",(415) 546-6128,Yes,No,Yes,Yes,,"Dinner, Dessert",,Yes,No,Yes,Casual,Classy,Average,Beer & Wine Only,Yes,No,No,Yes,,
1273,The House,http://www.yelp.com/ /biz/the-house-san-francisco,Asian Fusion,$31-60,4.5 star rating,11:30 am-3:00 pm5:30 pm-10:00 pm,11:30 am-3:00 pm5:30 pm-10:00 pm,11:30 am-3:00 pm5:30 pm-10:00 pm,11:30 am-3:00 pm5:30 pm-10:00 pm,11:30 am-3:00 pm5:30 pm-11:00 pm,11:30 am-2:30 pm5:00 pm-11:00 pm,5:30 pm-10:00 pm,"1230 Grant AveSan Francisco, CA 94133",(415) 986-8612,Yes,No,Yes,Yes,No,Dinner,Street,Yes,No,No,Casual,,Average,Beer & Wine Only,No,No,No,Yes,No,
1274,Locanda,http://www.yelp.com/ /biz/locanda-san-francisco,"Italian,Bars",$31-60,4.0 star rating,Closed,Closed,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-11:00 pm,10:30 am-2:00 pm5:30 pm-11:00 pm,10:30 am-2:00 pm5:30 pm-10:00 pm,"557 Valencia StSan Francisco, CA 94110",(415) 863-6800,Yes,No,Yes,Yes,No,Dinner,"Valet, Street",Yes,No,Yes,Casual,Trendy,Average,Full Bar,No,No,No,Yes,No,
1275,Monsieur Benjamin,http://www.yelp.com/ /biz/monsieur-benjamin-san-francisco,"French,Wine Bars,Desserts",$31-60,4.0 star rating,5:00 pm-12:00 am,5:00 pm-12:00 am,5:00 pm-12:00 am,5:00 pm-12:00 am,5:00 pm-12:00 am,11:00 am-2:30 pm5:00 pm-12:00 am,11:00 am-2:30 pm5:00 pm-12:00 am,"451 Gough StSan Francisco, CA 94102",(415) 403-2233,Yes,No,No,Yes,No,Dinner,Street,Yes,No,Yes,Casual,Classy,Average,Full Bar,Yes,No,No,Yes,No,
1276,AsiaSF,http://www.yelp.com/ /biz/asiasf-san-francisco,"Asian Fusion,Dance Clubs",$31-60,4.0 star rating,Closed,Closed,5:00 pm-10:00 pm,7:00 pm-10:00 pm,7:00 pm-2:00 am,5:00 pm-2:00 am,7:00 pm-10:00 pm,"201 9th StSan Francisco, CA 94103",(415) 255-2742,Yes,No,Yes,Yes,No,Dinner,Street,No,No,Yes,Dressy,Trendy,Loud,Full Bar,No,Free,No,Yes,No,
1277,AL’s Place,http://www.yelp.com/ /biz/als-place-san-francisco,"Seafood,Vegetarian,American (New)",$31-60,4.0 star rating,Closed,Closed,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,"1499 Valencia stSan Francisco, CA 94110",(415) 416-6136,Yes,No,No,Yes,No,Dinner,Street,No,No,No,Casual,Trendy,Average,Beer & Wine Only,No,No,No,Yes,No,
1278,Bellota,http://www.yelp.com/ /biz/bellota-san-francisco,"Spanish,Seafood,Tapas Bars",$31-60,4.0 star rating,11:30 am-10:00 pm,11:30 am-10:00 pm,11:30 am-10:00 pm,11:30 am-11:00 pm,11:30 am-11:00 pm,4:00 pm-11:00 pm,Closed,"888 Brannan StSan Francisco, CA 94103",(415) 430-6580,Yes,No,No,Yes,No,Dinner,Street,Yes,No,Yes,Casual,"Trendy, Classy",Average,Full Bar,No,No,No,Yes,No,
1279,Bourbon &amp; Branch,http://www.yelp.com/ /biz/bourbon-and-branch-san-francisco,"Cocktail Bars,Venues & Event Spaces,Speakeasies",Pricey,4.0 star rating,6:00 pm-2:00 am,6:00 pm-2:00 am,6:00 pm-2:00 am,6:00 pm-2:00 am,6:00 pm-2:00 am,6:00 pm-2:00 am,6:00 pm-2:00 am,"501 Jones StSan Francisco, CA 94102",(415) 346-1735,Yes,,,Yes,No,,Street,No,,Yes,,Intimate,Average,Full Bar,No,,No,,,
1280,Trestle,http://www.yelp.com/ /biz/trestle-san-francisco,American (New),$31-60,4.5 star rating,5:30 pm-10:30 pm,5:30 pm-10:30 pm,5:30 pm-10:30 pm,5:30 pm-10:30 pm,5:30 pm-11:00 pm,5:30 pm-11:00 pm,5:30 pm-10:00 pm,"531 Jackson StSan Francisco, CA 94133",(415) 772-0922,Yes,No,No,Yes,No,Dinner,Street,No,No,No,Casual,Trendy,Average,Beer & Wine Only,No,No,No,Yes,No,
1281,Octavia,http://www.yelp.com/ /biz/octavia-san-francisco,American (New),$31-60,4.0 star rating,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:30 pm,5:00 pm-10:30 pm,5:00 pm-10:00 pm,"1701 Octavia StSan Francisco, CA 94109",(415) 408-7507,Yes,No,No,Yes,No,Dinner,Street,Yes,No,No,Casual,,Average,Beer & Wine Only,No,No,No,Yes,No,
1282,Bouche,http://www.yelp.com/ /biz/bouche-san-francisco,French,$31-60,4.0 star rating,Closed,5:30 pm-1:00 am,5:30 pm-1:00 am,5:30 pm-1:00 am,5:30 pm-1:00 am,5:30 pm-1:00 am,5:30 pm-11:00 pm,"603 Bush StSan Francisco, CA 94108",(415) 956-0396,Yes,No,No,Yes,No,Dinner,Street,No,No,No,Casual,Intimate,Average,Beer & Wine Only,No,No,No,Yes,No,
