id,title,yelpPage,categories,price,rating,mon,tue,wed,thu,fri,sat,sun,addr,phone,reservations,delivery,takeout,creditCard,applePay,goodFor,parking,bikeParking,goodForKids,goodForGroups,attire,ambience,noiseLevel,alcohol,outdoorSeating,wifi,hasTV,waiterService,caters,driveThrough
934,Zazie,https://www.yelp.com/ /biz/zazie-san-francisco,"Breakfast & Brunch,French",$11-30,4.0 star rating,8:00 am-2:00 pm5:00 pm-9:30 pm,8:00 am-2:00 pm5:00 pm-9:30 pm,8:00 am-2:00 pm5:00 pm-9:30 pm,8:00 am-2:00 pm5:00 pm-9:30 pm,8:00 am-2:00 pm5:00 pm-10:00 pm,9:00 am-3:00 pm5:00 pm-10:00 pm,9:00 am-3:00 pm5:00 pm-9:30 pm,"941 Cole StSan Francisco, CA 94117",(415) 564-5332,No,No,Yes,Yes,No,Brunch,Street,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,No,No,Yes,No,
935,L’emigrante Wine Bar &amp; Bistro,https://www.yelp.com/ /biz/l-emigrante-wine-bar-and-bistro-san-francisco,"Wine Bars,Sandwiches,Tapas/Small Plates",$11-30,4.5 star rating,5:00 pm-11:00 pm,5:00 pm-11:00 pm,5:00 pm-11:00 pm,5:00 pm-11:00 pm,4:00 pm-12:00 am,4:00 pm-12:00 am,4:00 pm-11:00 pm,"2199 Mission StSan Francisco, CA 94110",(415) 863-4777,No,No,No,Yes,No,"Dinner, Dessert",Street,Yes,No,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,No,No,Yes,Yes,
936,Mateo’s Taqueria,https://www.yelp.com/ /biz/mateos-taqueria-san-francisco,"Mexican,Breakfast & Brunch,Vegetarian",$11-30,4.5 star rating,11:00 am-9:30 pm,11:00 am-9:30 pm,11:00 am-9:30 pm,11:00 am-9:30 pm,11:00 am-10:00 pm,11:00 am-10:00 pm,11:00 am-9:30 pm,"2471 Mission StSan Francisco, CA 94110",(415) 648-6000,No,Yes,Yes,Yes,No,Dinner,Street,Yes,Yes,Yes,Casual,,Average,Beer & Wine Only,No,No,No,No,Yes,
937,Firepie,https://www.yelp.com/ /biz/firepie-san-francisco,"Pizza,Food Delivery Services",$11-30,4.5 star rating,11:30 am-2:00 pm5:00 pm-11:00 pm,11:30 am-2:00 pm5:00 pm-11:00 pm,11:30 am-2:00 pm5:00 pm-11:00 pm,11:30 am-2:00 pm5:00 pm-11:00 pm,11:30 am-2:00 pm5:00 pm-12:00 am,5:00 pm-12:00 am,5:00 pm-11:00 pm,"3498 Cesar Chavez StSan Francisco, CA 94110",(415) 213-2300,No,Yes,Yes,Yes,Yes,"Dinner, Late Night",Street,Yes,Yes,No,Casual,Casual,Average,No,No,No,No,No,Yes,
938,FOB Kitchen,https://www.yelp.com/ /biz/fob-kitchen-san-francisco-4,Filipino,$11-30,4.5 star rating,Closed,Closed,6:00 pm-10:00 pm,6:00 pm-10:00 pm,6:00 pm-10:00 pm,11:00 am-3:00 pm6:00 pm-10:00 pm,11:00 am-3:00 pm,"2351 Mission StSan Francisco, CA 94110",(415) 644-8149,No,No,Yes,Yes,Yes,Brunch,Garage,No,No,Yes,Casual,"Hipster, Casual",Average,Full Bar,Yes,No,Yes,Yes,No,
939,20 Spot,https://www.yelp.com/ /biz/20-spot-san-francisco,"American (New),Wine Bars",$11-30,4.5 star rating,5:00 pm-1:00 am,5:00 pm-1:00 am,5:00 pm-1:00 am,5:00 pm-1:00 am,5:00 pm-1:00 am,5:00 pm-1:00 am,Closed,"3565 20th StSan Francisco, CA 94110",(415) 624-3140,No,No,No,Yes,Yes,Dinner,Street,Yes,No,Yes,Casual,Intimate,Average,Beer & Wine Only,No,No,No,Yes,No,
940,Sushi Zone,https://www.yelp.com/ /biz/sushi-zone-san-francisco,"Sushi Bars,Japanese",$11-30,4.0 star rating,Closed,Closed,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,Closed,"1815 Market StSan Francisco, CA 94103",(415) 621-1114,No,No,No,No,No,Dinner,Street,Yes,No,No,Casual,Casual,Average,Beer & Wine Only,No,No,No,Yes,No,
941,Sushi Time,https://www.yelp.com/ /biz/sushi-time-san-francisco-2,"Japanese,Sushi Bars",$11-30,4.0 star rating,5:00 pm-9:45 pm,5:00 pm-9:45 pm,5:00 pm-9:45 pm,5:00 pm-9:45 pm,5:00 pm-10:15 pm,5:00 pm-10:15 pm,Closed,"2275 Market StSan Francisco, CA 94114",(415) 552-2280,No,No,Yes,Yes,No,Dinner,Street,Yes,No,No,Casual,Casual,Average,Beer & Wine Only,No,No,No,Yes,No,
942,Deli Board,https://www.yelp.com/ /biz/deli-board-san-francisco,"Delis,Sandwiches",$11-30,4.5 star rating,11:00 am-3:00 pm,11:00 am-3:00 pm,11:00 am-3:00 pm,11:00 am-3:00 pm,11:00 am-3:00 pm,11:00 am-4:00 pm,11:00 am-3:00 pm,"1058 Folsom StSan Francisco, CA 94103",(415) 552-7687,No,No,Yes,Yes,Yes,Lunch,Street,Yes,Yes,Yes,Casual,Casual,Average,No,Yes,No,No,No,Yes,
943,Loló,https://www.yelp.com/ /biz/lol%C3%B3-san-francisco-4,"Tapas/Small Plates,Tapas Bars",$11-30,4.0 star rating,5:30 pm-11:00 pm,5:30 pm-11:00 pm,5:30 pm-11:00 pm,5:30 pm-11:00 pm,5:30 pm-1:00 am,11:30 am-4:00 pm5:30 pm-1:00 am,11:00 am-4:00 pm,"974 Valencia StSan Francisco, CA 94110",(415) 643-5656,Yes,No,No,Yes,No,Dinner,Street,Yes,No,Yes,Casual,Hipster,Average,Full Bar,No,No,No,Yes,Yes,
944,Mission Groceteria,https://www.yelp.com/ /biz/mission-groceteria-san-francisco,"Grocery,Delis,Convenience Stores",$11-30,5.0 star rating,8:00 am-11:00 pm,8:00 am-11:00 pm,8:00 am-11:00 pm,8:00 am-11:00 pm,8:00 am-11:00 pm,8:00 am-11:00 pm,8:00 am-11:00 pm,"2950 23rd StSan Francisco, CA 94110",(415) 648-0275,No,No,Yes,Yes,,,Street,Yes,Yes,No,Casual,Casual,Quiet,Beer & Wine Only,No,No,No,No,No,
945,City Beer Store,https://www.yelp.com/ /biz/city-beer-store-san-francisco,"Beer, Wine & Spirits,Beer Bar",Moderate,4.5 star rating,12:00 pm-10:00 pm,12:00 pm-10:00 pm,12:00 pm-10:00 pm,12:00 pm-10:00 pm,12:00 pm-10:00 pm,12:00 pm-10:00 pm,12:00 pm-10:00 pm,"1168 Folsom StSan Francisco, CA 94103",(415) 503-1033,No,,No,Yes,Yes,,Street,Yes,,Yes,,Casual,Average,Beer & Wine Only,No,,No,,No,
946,T-We Tea,https://www.yelp.com/ /biz/t-we-tea-san-francisco,"Tea Rooms,Coffee & Tea",Moderate,5.0 star rating,11:00 am-5:00 pm,11:00 am-5:00 pm,Closed,,,,,"50 Post St Level 1San Francisco, CA 94104",(415) 500-2097,,,Yes,Yes,,,Garage,Yes,,,,,,,No,Free,,,,
947,Marcella’s Lasagneria,https://www.yelp.com/ /biz/marcellas-lasagneria-san-francisco-3,Italian,$11-30,4.5 star rating,11:30 am-6:00 pm,11:30 am-6:00 pm,11:30 am-6:00 pm,11:30 am-6:00 pm,11:30 am-6:00 pm,Closed,Closed,"1099 Tennessee StSan Francisco, CA 94107",(415) 920-2225,No,No,Yes,Yes,Yes,Lunch,Street,Yes,Yes,No,Casual,Casual,Average,Beer & Wine Only,Yes,No,No,Yes,Yes,
948,Montesacro Pinseria-Enoteca,https://www.yelp.com/ /biz/montesacro-pinseria-enoteca-san-francisco-5,Pizza,$11-30,4.5 star rating,11:30 am-2:30 pm4:00 pm-10:00 pm,11:30 am-2:30 pm4:00 pm-10:00 pm,11:30 am-2:30 pm4:00 pm-10:00 pm,11:30 am-2:30 pm4:00 pm-10:00 pm,11:30 am-2:30 pm4:00 pm-11:00 pm,11:30 am-2:30 pm4:00 pm-11:00 pm,Closed,"510 Stevenson StSan Francisco, CA 94103",(415) 795-3040,Yes,No,Yes,Yes,No,Dinner,Street,No,No,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,No,Yes,Yes,
949,Mozzeria,https://www.yelp.com/ /biz/mozzeria-san-francisco,"Pizza,Italian",$11-30,4.0 star rating,Closed,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-11:00 pm,5:00 pm-11:00 pm,5:00 pm-10:00 pm,"3228 16th StSan Francisco, CA 94103",(415) 489-0963,Yes,No,Yes,Yes,,Dinner,Street,Yes,Yes,Yes,Casual,Casual,Quiet,Beer & Wine Only,No,No,No,Yes,Yes,
950,Poc-Chuc,https://www.yelp.com/ /biz/poc-chuc-san-francisco,"Latin American,Mexican",$11-30,4.0 star rating,5:00 pm-10:00 pm,10:30 am-10:00 pm,10:30 am-10:00 pm,10:30 am-10:00 pm,10:30 am-10:00 pm,10:30 am-10:00 pm,Closed,"2886 16th StSan Francisco, CA 94103",(415) 558-1583,Yes,No,Yes,Yes,No,Dinner,Street,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,Yes,Yes,Yes,
951,Myriad Gastropub,https://www.yelp.com/ /biz/myriad-gastropub-san-francisco,"Gastropubs,Venues & Event Spaces",$11-30,4.5 star rating,11:30 am-10:00 pm,11:30 am-10:00 pm,11:30 am-10:00 pm,11:30 am-10:00 pm,11:30 am-11:00 pm,10:00 am-11:00 pm,10:00 am-10:00 pm,"2491 Mission StSan Francisco, CA 94110",(415) 525-4335,Yes,Yes,Yes,Yes,No,"Brunch, Dinner","Garage, Street, Private Lot",Yes,No,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,No,Yes,Yes,Yes,
952,InoVino,https://www.yelp.com/ /biz/inovino-san-francisco,"Italian,Wine Bars",$11-30,4.5 star rating,4:00 pm-11:00 pm,4:00 pm-11:00 pm,4:00 pm-11:00 pm,4:00 pm-11:00 pm,4:00 pm-11:00 pm,3:00 pm-11:00 pm,Closed,"108B Carl StSan Francisco, CA 94117",(415) 681-3770,Yes,No,Yes,Yes,,"Dinner, Dessert",Street,Yes,No,Yes,Casual,Intimate,Average,Beer & Wine Only,Yes,No,No,Yes,No,
953,Little Star Pizza,https://www.yelp.com/ /biz/little-star-pizza-san-francisco-2,Pizza,$11-30,4.0 star rating,5:00 pm-10:00 pm,5:00 pm-10:00 pm,12:00 pm-10:00 pm,12:00 pm-10:00 pm,12:00 pm-11:00 pm,12:00 pm-11:00 pm,12:00 pm-10:00 pm,"400 Valencia StSan Francisco, CA 94103",(415) 551-7827,No,,Yes,Yes,No,Dinner,Street,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,No,Yes,Yes,
954,Mission Cheese,https://www.yelp.com/ /biz/mission-cheese-san-francisco,"Cheese Shops,Wine Bars,Sandwiches",$11-30,4.0 star rating,Closed,11:00 am-9:00 pm,11:00 am-9:00 pm,11:00 am-9:00 pm,11:00 am-10:00 pm,11:00 am-10:00 pm,11:00 am-9:00 pm,"736 Valencia StSan Francisco, CA 94110",(415) 553-8667,No,No,Yes,Yes,Yes,Lunch,Street,Yes,No,No,Casual,Hipster,Average,Beer & Wine Only,Yes,No,No,No,No,
955,Blackbird,https://www.yelp.com/ /biz/blackbird-san-francisco,"Lounges,Wine Bars,Pool Halls",Moderate,4.0 star rating,3:00 pm-2:00 am,3:00 pm-2:00 am,3:00 pm-2:00 am,3:00 pm-2:00 am,3:00 pm-2:00 am,2:00 pm-2:00 am,2:00 pm-2:00 am,"2124 Market StSan Francisco, CA 94114",(415) 503-0630,Yes,,,Yes,No,,Street,Yes,,Yes,,Hipster,Average,Full Bar,No,,No,,,
956,Parada 22,https://www.yelp.com/ /biz/parada-22-san-francisco,"Latin American,Puerto Rican",$11-30,4.0 star rating,11:00 am-10:00 pm,11:00 am-10:00 pm,11:00 am-10:00 pm,11:00 am-10:00 pm,11:00 am-10:00 pm,11:00 am-10:00 pm,11:00 am-10:00 pm,"1805 Haight StSan Francisco, CA 94117",(415) 750-1111,No,Yes,Yes,Yes,No,"Lunch, Dinner",Street,Yes,Yes,No,Casual,Casual,Average,Beer & Wine Only,No,No,No,Yes,Yes,
957,Pizzeria Delfina - San Francisco,https://www.yelp.com/ /biz/pizzeria-delfina-san-francisco-san-francisco,"Pizza,Italian",$11-30,4.0 star rating,11:30 am-10:00 pm,5:00 pm-10:00 pm,11:30 am-10:00 pm,11:30 am-10:00 pm,11:30 am-11:00 pm,12:00 pm-11:00 pm,12:00 pm-10:00 pm,"3621 18th StSan Francisco, CA 94110",(415) 437-6800,No,No,Yes,Yes,No,"Lunch, Dinner",Street,Yes,Yes,No,Casual,Casual,Average,Beer & Wine Only,Yes,No,No,Yes,No,
958,Yemen Kitchen,https://www.yelp.com/ /biz/yemen-kitchen-san-francisco,Middle Eastern,$11-30,4.5 star rating,10:00 am-10:00 pm,10:00 am-10:00 pm,10:00 am-10:00 pm,10:00 am-10:00 pm,10:00 am-10:00 pm,10:00 am-10:00 pm,10:00 am-10:00 pm,"219 Jones StSan Francisco, CA 94102",(415) 214-3575,No,No,Yes,Yes,Yes,"Lunch, Dinner",Street,Yes,Yes,No,Casual,Casual,Quiet,No,No,No,No,Yes,Yes,
959,Kitchen Istanbul,https://www.yelp.com/ /biz/kitchen-istanbul-san-francisco,"Greek,Turkish,Mediterranean",$11-30,4.5 star rating,5:00 pm-9:30 pm,5:00 pm-9:30 pm,5:00 pm-9:30 pm,5:00 pm-9:30 pm,5:00 pm-10:00 pm,11:30 am-2:30 pm5:00 pm-10:00 pm,11:30 am-2:30 pm5:00 pm-9:00 pm,"349 Clement StSan Francisco, CA 94118",(415) 915-9847,Yes,No,Yes,Yes,No,Dinner,Street,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,No,No,Yes,Yes,
960,Suppenküche,https://www.yelp.com/ /biz/suppenk%C3%BCche-san-francisco-2,German,$11-30,4.0 star rating,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,10:00 am-2:30 pm5:00 pm-10:00 pm,"525 Laguna StSan Francisco, CA 94102",(415) 252-9289,Yes,No,Yes,Yes,No,Dinner,Street,Yes,No,Yes,Casual,Casual,Very Loud,Beer & Wine Only,No,No,No,Yes,No,
961,The Office,https://www.yelp.com/ /biz/the-office-san-francisco-3,"Venues & Event Spaces,Lounges",Moderate,4.5 star rating,6:00 am-2:00 am,6:00 am-2:00 am,6:00 am-2:00 am,6:00 am-2:00 am,6:00 am-2:00 am,6:00 am-2:00 am,6:00 am-2:00 am,"194 Church StSan Francisco, CA 94114",(415) 754-0194,Yes,,,Yes,,,Street,Yes,,Yes,,"Trendy, Intimate, Classy",Average,Full Bar,No,,Yes,,,
