id,title,yelpPage,categories,price,rating,mon,tue,wed,thu,fri,sat,sun,addr,phone,reservations,delivery,takeout,creditCard,applePay,goodFor,parking,bikeParking,goodForKids,goodForGroups,attire,ambience,noiseLevel,alcohol,outdoorSeating,wifi,hasTV,waiterService,caters
2240,Kiss Seafood,https://www.yelp.com/ /biz/kiss-seafood-san-francisco,"Japanese,Sushi Bars,Seafood",Above $61,4.0 star rating,Closed,Closed,5:30 pm-9:30 pm,5:30 pm-9:30 pm,5:30 pm-9:30 pm,5:30 pm-9:30 pm,Closed,"1700 Laguna StSan Francisco, CA 94115",(415) 474-2866,Yes,No,No,Yes,No,Dinner,Street,Yes,No,No,Casual,Intimate,Quiet,Beer & Wine Only,No,No,No,Yes,No
2241,Gary Danko,https://www.yelp.com/ /biz/gary-danko-san-francisco,"American (New),French",Above $61,4.5 star rating,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,"800 N Point StSan Francisco, CA 94109",(415) 749-2060,Yes,No,No,Yes,No,Dinner,Valet,No,No,Yes,Dressy,"Classy, Upscale",Average,Full Bar,No,No,No,Yes,No
2242,La Folie,https://www.yelp.com/ /biz/la-folie-san-francisco,French,Above $61,4.5 star rating,Closed,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,Closed,"2316 Polk StSan Francisco, CA 94109",(415) 776-5577,Yes,No,No,Yes,No,Dinner,Valet,No,No,No,Dressy,"Romantic, Classy, Upscale",Quiet,Full Bar,No,No,No,Yes,No
2243,EatWith,https://www.yelp.com/ /biz/eatwith-san-francisco-3,Supper Clubs,Above $61,5.0 star rating,5:30 pm-11:30 pm,5:30 pm-11:30 pm,5:30 pm-11:30 pm,5:30 pm-11:30 pm,5:30 pm-11:30 pm,5:30 pm-11:30 pm,5:30 pm-11:30 pm,"San Francisco, CA 94103",,Yes,No,No,Yes,,,,Yes,No,Yes,Dressy,,Average,Beer & Wine Only,No,Free,No,Yes,No
2244,Benu,https://www.yelp.com/ /biz/benu-san-francisco-4,"American (New),Asian Fusion,Wine Bars",Above $61,4.5 star rating,Closed,9:30 pm-5:30 pm,9:30 pm-5:30 pm,9:30 pm-5:30 pm,9:30 pm-5:30 pm,Closed,Closed,"22 Hawthorne StSan Francisco, CA 94105",(415) 685-4860,Yes,No,No,Yes,No,Dinner,Valet,No,No,Yes,Dressy,Upscale,Quiet,Beer & Wine Only,No,No,No,Yes,No
2245,Keiko à Nob Hill,https://www.yelp.com/ /biz/keiko-%C3%A0-nob-hill-san-francisco-2,"French,American (New)",Above $61,4.5 star rating,Closed,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,"1250 Jones StSan Francisco, CA 94109",(415) 829-7141,Yes,No,No,Yes,No,Dinner,Street,No,No,No,Dressy,Intimate,Quiet,Beer & Wine Only,No,No,No,Yes,No
2246,Spruce,https://www.yelp.com/ /biz/spruce-san-francisco,American (Traditional),Above $61,4.0 star rating,11:30 am-2:00 pm5:00 pm-10:00 pm,11:30 am-2:00 pm5:00 pm-10:00 pm,11:30 am-2:00 pm5:00 pm-10:00 pm,11:30 am-2:00 pm5:00 pm-10:00 pm,11:30 am-2:00 pm5:00 pm-11:00 pm,5:00 pm-11:00 pm,10:00 am-2:00 pm5:00 pm-9:00 pm,"3640 Sacramento StSan Francisco, CA 94118",(415) 931-5100,Yes,No,Yes,Yes,No,Dinner,"Valet, Street",No,No,Yes,Dressy,"Classy, Upscale",Average,Full Bar,No,Free,No,Yes,Yes
2247,Jardiniere,https://www.yelp.com/ /biz/jardiniere-san-francisco-5,"French,American (New),Champagne Bars",Above $61,4.0 star rating,5:00 pm-9:00 pm,5:00 pm-9:00 pm,5:00 pm-9:00 pm,5:00 pm-9:00 pm,5:00 pm-10:30 pm,5:00 pm-10:30 pm,5:00 pm-9:00 pm,"300 Grove StSan Francisco, CA 94102",(415) 861-5555,Yes,No,No,Yes,No,Dinner,"Valet, Garage, Street",No,No,Yes,Dressy,"Romantic, Upscale",Average,Full Bar,No,Free,No,Yes,Yes
2248,Atelier Crenn,https://www.yelp.com/ /biz/atelier-crenn-san-francisco,French,Above $61,4.5 star rating,Closed,5:30 pm-8:30 pm,5:30 pm-8:30 pm,5:30 pm-8:30 pm,5:00 pm-9:00 pm,5:00 pm-9:00 pm,Closed,"3127 Fillmore StSan Francisco, CA 94123",(415) 440-0460,Yes,No,No,Yes,No,Dinner,Street,No,No,No,Dressy,Upscale,Quiet,Beer & Wine Only,No,No,No,Yes,No
2249,Hinata,https://www.yelp.com/ /biz/hinata-san-francisco,"Sushi Bars,Japanese",Above $61,4.5 star rating,Closed,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,"810 Van Ness AveSan Francisco, CA 94109",(415) 829-8291,Yes,No,No,Yes,,Dinner,Street,No,No,No,Casual,"Trendy, Intimate, Classy",Average,Beer & Wine Only,No,Free,No,Yes,No
2250,Mosu,https://www.yelp.com/ /biz/mosu-san-francisco,"American (New),Asian Fusion",Above $61,4.5 star rating,Closed,5:30 pm-9:00 pm,5:30 pm-9:00 pm,5:30 pm-9:00 pm,5:30 pm-9:00 pm,5:30 pm-9:00 pm,Closed,"1552 Fillmore StSan Francisco, CA 94115",(415) 735-7303,Yes,No,No,Yes,No,Dinner,Street,No,No,No,Dressy,Upscale,Quiet,Beer & Wine Only,No,No,No,Yes,No
2251,OzaOza,https://www.yelp.com/ /biz/ozaoza-san-francisco,Japanese,Above $61,5.0 star rating,Closed,5:00 pm-10:30 pm,5:00 pm-10:30 pm,5:00 pm-10:30 pm,5:00 pm-10:30 pm,5:00 pm-10:30 pm,Closed,"1700 Post StSan Francisco, CA 94115",(415) 674-4400,Yes,No,No,Yes,,Dinner,Street,No,Yes,No,Casual,,Quiet,Beer & Wine Only,No,,No,Yes,No
2252,Harris’ Restaurant,https://www.yelp.com/ /biz/harris-restaurant-san-francisco,Steakhouses,Above $61,4.0 star rating,5:30 pm-9:30 pm,5:30 pm-9:30 pm,5:30 pm-9:30 pm,5:30 pm-9:30 pm,5:30 pm-10:00 pm,5:00 pm-10:00 pm,5:00 am-9:30 pm,"2100 Van Ness AveSan Francisco, CA 94109",(415) 673-1888,Yes,No,No,Yes,No,Dinner,"Valet, Street",No,No,Yes,Dressy,Classy,Average,Full Bar,No,No,No,Yes,No
2253,Hashiri,https://www.yelp.com/ /biz/hashiri-san-francisco,"Japanese,Sushi Bars",Above $61,4.5 star rating,Closed,5:00 pm-8:30 pm,5:00 pm-8:30 pm,5:00 pm-8:30 pm,5:00 pm-8:30 pm,5:00 pm-8:30 pm,Closed,"4 Mint PlzSan Francisco, CA 94103",(415) 908-1919,Yes,No,No,Yes,Yes,Dinner,Street,No,No,Yes,Dressy,,Quiet,Full Bar,No,Free,No,Yes,No
2254,Sons &amp; Daughters,https://www.yelp.com/ /biz/sons-and-daughters-san-francisco,American (New),Above $61,4.0 star rating,Closed,Closed,5:00 pm-9:30 pm,5:00 pm-9:30 pm,5:00 pm-9:30 pm,5:00 pm-9:30 pm,5:00 pm-9:30 pm,"708 Bush StSan Francisco, CA 94108",(415) 391-8311,Yes,No,No,Yes,,Dinner,Street,No,No,No,Casual,Intimate,Average,Beer & Wine Only,No,No,No,Yes,No
2255,Saison,https://www.yelp.com/ /biz/saison-san-francisco-2,American (New),Above $61,4.5 star rating,Closed,5:30 pm-9:30 pm,5:30 pm-9:30 pm,5:30 pm-9:30 pm,5:30 pm-9:30 pm,5:30 pm-9:30 pm,Closed,"178 Townsend StSan Francisco, CA 94107",(415) 828-7990,Yes,No,No,Yes,Yes,Dinner,"Valet, Garage, Street",Yes,No,No,Casual,Upscale,Average,Full Bar,No,No,No,Yes,No
2256,The Progress,https://www.yelp.com/ /biz/the-progress-san-francisco-2,"American (New),Bars",Above $61,4.0 star rating,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-11:00 pm,5:30 pm-11:00 pm,5:30 pm-10:00 pm,"1525 Fillmore StSan Francisco, CA 94115",(415) 673-1294,Yes,No,No,Yes,,Dinner,Street,Yes,No,Yes,Casual,Casual,Average,Full Bar,No,No,No,Yes,No
2257,Maruya,https://www.yelp.com/ /biz/maruya-san-francisco,"Japanese,Sushi Bars",Above $61,4.0 star rating,Closed,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,Closed,"2931 16th StSan Francisco, CA 94103",(415) 503-0702,Yes,No,No,Yes,No,Dinner,Street,No,No,No,Casual,Classy,Average,Beer & Wine Only,No,No,No,Yes,No
2258,Campton Place Restaurant,https://www.yelp.com/ /biz/campton-place-restaurant-san-francisco,"American (New),Indian,Bars",Above $61,4.0 star rating,7:00 am-10:30 am11:30 am-2:00 pm6:00 pm-8:30 pm,7:00 am-10:30 am11:30 am-2:00 pm6:00 pm-8:30 pm,7:00 am-10:30 am11:30 am-2:00 pm6:00 pm-8:30 pm,7:00 am-10:30 am11:30 am-2:00 pm6:00 pm-8:30 pm,7:00 am-10:30 am11:30 am-2:00 pm6:00 pm-9:30 pm,7:00 am-10:30 am12:00 pm-2:00 pm6:00 pm-9:30 pm,7:00 am-11:00 am11:30 am-2:00 pm6:00 pm-8:30 pm,"340 Stockton StSan Francisco, CA 94108",(415) 781-5555,Yes,No,No,Yes,No,Dinner,"Valet, Garage, Street",No,No,Yes,Dressy,Classy,Quiet,Full Bar,No,No,No,Yes,No
2259,Quince,https://www.yelp.com/ /biz/quince-san-francisco,"French,Italian",Above $61,4.0 star rating,5:30 pm-9:00 pm,5:30 pm-9:00 pm,5:30 pm-9:00 pm,5:30 pm-9:00 pm,5:00 pm-9:00 pm,5:00 pm-9:00 pm,Closed,"470 Pacific AveSan Francisco, CA 94133",(415) 775-8500,Yes,No,No,Yes,No,Dinner,"Valet, Street",No,No,Yes,Dressy,"Classy, Upscale",Quiet,Full Bar,No,No,No,Yes,No
2260,The Big 4,https://www.yelp.com/ /biz/the-big-4-san-francisco,"Lounges,American (New),Breakfast & Brunch",Above $61,4.0 star rating,6:30 am-12:00 am,6:30 am-12:00 am,6:30 am-12:00 am,6:30 am-1:00 pm,6:30 am-1:00 pm,6:30 am-1:00 pm,6:30 am-12:00 am,"1075 California StSan Francisco, CA 94108",(415) 771-1140,Yes,No,No,Yes,,Dinner,"Valet, Street",Yes,No,Yes,Dressy,Classy,Average,Full Bar,No,Free,No,Yes,No
2261,Roka Akor,https://www.yelp.com/ /biz/roka-akor-san-francisco-4,"Steakhouses,Japanese,Cocktail Bars",Above $61,4.0 star rating,11:30 am-2:30 pm5:30 pm-10:00 pm,11:30 am-2:30 pm5:30 pm-10:00 pm,11:30 am-2:30 pm5:30 pm-10:00 pm,11:30 am-2:30 pm5:30 pm-10:00 pm,11:30 am-2:30 pm5:30 pm-11:00 pm,5:30 pm-11:00 pm,5:30 pm-10:00 pm,"801 Montgomery StSan Francisco, CA 94133",(415) 362-8887,No,No,Yes,Yes,No,Dinner,"Garage, Street",Yes,No,Yes,Dressy,Upscale,Average,Full Bar,No,Free,Yes,Yes,Yes
2262,Osso Steakhouse,https://www.yelp.com/ /biz/osso-steakhouse-san-francisco,"Steakhouses,Seafood",Above $61,4.0 star rating,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,"1177 California StSan Francisco, CA 94108",(415) 771-6776,Yes,No,Yes,Yes,Yes,Dinner,"Valet, Garage, Street",No,No,Yes,Dressy,Classy,Average,Full Bar,No,No,No,Yes,No
2263,H.Q. Milton,https://www.yelp.com/ /biz/h-q-milton-san-francisco,"Jewelry,Watches",Ultra High-End,5.0 star rating,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,Closed,Closed,"2318 Mission StSan Francisco, CA 94110",(415) 848-7464,,,,Yes,,,Street,Yes,,,,,,,,,,,
2264,Boulevard,https://www.yelp.com/ /biz/boulevard-san-francisco,"French,American (New)",Above $61,4.0 star rating,11:30 am-2:00 pm5:30 pm-10:00 pm,11:30 am-2:00 pm5:30 pm-10:00 pm,11:30 am-2:00 pm5:30 pm-10:00 pm,11:30 am-2:00 pm5:30 pm-10:00 pm,11:30 am-2:00 pm5:30 pm-10:30 pm,5:30 pm-10:30 pm,5:30 pm-10:00 pm,"1 Mission StSan Francisco, CA 94105",(415) 543-6084,Yes,No,No,Yes,No,Dinner,Valet,No,No,Yes,Dressy,Classy,Average,Full Bar,No,No,No,Yes,No
2265,Farallon,https://www.yelp.com/ /biz/farallon-san-francisco,Seafood,Above $61,4.0 star rating,4:30 pm-9:30 pm,4:30 pm-9:30 pm,4:30 pm-9:30 pm,4:30 pm-9:30 pm,4:30 pm-10:00 pm,4:30 pm-10:00 pm,4:30 pm-9:00 pm,"450 Post StSan Francisco, CA 94102",(415) 956-6969,Yes,No,No,Yes,No,Dinner,Valet,Yes,No,Yes,Dressy,Upscale,Average,Full Bar,No,Free,No,Yes,No
2266,Brücius Tattoo,https://www.yelp.com/ /biz/s-c-i-e-n-c-e-i-n-k-san-francisco,Tattoo,Ultra High-End,5.0 star rating,Closed,2:00 pm-7:00 pm,2:00 pm-7:00 pm,2:00 pm-7:00 pm,2:00 pm-7:00 pm,2:00 pm-7:00 pm,Closed,"377 Guerrero StSan Francisco, CA 94103",(415) 498-0784,,,,Yes,Yes,,Street,Yes,,,,,,,,,,,
2267,Sasaki,https://www.yelp.com/ /biz/sasaki-san-francisco-2,"Sushi Bars,Japanese",Above $61,4.5 star rating,Closed,5:30 pm-11:00 pm,5:30 pm-11:00 pm,5:30 pm-11:00 pm,5:30 pm-11:00 pm,5:30 pm-11:00 pm,Closed,"2400 Harrison StSan Francisco, CA 94110",(415) 829-8997,Yes,No,No,Yes,No,Dinner,,No,No,No,Dressy,Upscale,Quiet,Beer & Wine Only,No,No,No,Yes,No
2268,Nightbird,https://www.yelp.com/ /biz/nightbird-san-francisco,American (New),Above $61,4.0 star rating,Closed,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,Closed,"330 Gough StSan Francisco, CA 94102",(415) 829-7565,Yes,No,No,Yes,No,Dinner,,No,No,Yes,Casual,Intimate,Quiet,Full Bar,No,,No,Yes,
2269,The Phoenix Supper Club,https://www.yelp.com/ /biz/the-phoenix-supper-club-san-francisco,"American (New),Venues & Event Spaces",Above $61,4.5 star rating,,,,,,,,"San Francisco, CA 94103",(415) 282-8200,Yes,No,No,Yes,,Dinner,,Yes,No,Yes,Dressy,Trendy,Average,Beer & Wine Only,No,No,No,Yes,No
2270,Michael Mina,https://www.yelp.com/ /biz/michael-mina-san-francisco-2,American (New),Above $61,4.0 star rating,11:30 am-9:00 pm,11:30 am-9:00 pm,11:30 am-9:00 pm,11:30 am-9:00 pm,11:30 am-10:00 pm,5:00 pm-10:00 pm,5:00 pm-9:00 pm,"252 California StSan Francisco, CA 94111",(415) 397-9222,Yes,No,No,Yes,No,Dinner,Valet,No,No,Yes,Dressy,"Classy, Upscale",Average,Full Bar,No,No,No,Yes,No
2271,Petit Crenn,https://www.yelp.com/ /biz/petit-crenn-san-francisco,French,Above $61,3.5 star rating,Closed,11:00 am-2:00 pm5:00 pm-10:00 pm,11:00 am-2:00 pm5:00 pm-10:00 pm,11:00 am-2:00 pm5:00 pm-10:00 pm,11:00 am-2:00 pm5:00 pm-10:00 pm,11:00 am-2:00 pm5:00 pm-10:00 pm,11:00 am-2:00 pm6:00 pm-8:30 pm,"609 Hayes StSan Francisco, CA 94102",(415) 864-1744,Yes,No,No,Yes,No,Dinner,Street,Yes,No,No,Casual,Classy,Average,Beer & Wine Only,Yes,No,No,Yes,No
2272,Alexander’s Steakhouse,https://www.yelp.com/ /biz/alexanders-steakhouse-san-francisco,Steakhouses,Above $61,4.0 star rating,5:30 pm-9:00 pm,5:30 pm-9:00 pm,5:30 pm-9:00 pm,5:30 pm-9:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-9:00 pm,"448 Brannan StSan Francisco, CA 94107",(415) 495-1111,Yes,No,No,Yes,No,Dinner,"Valet, Street",Yes,No,Yes,Dressy,Upscale,Average,Full Bar,No,No,No,Yes,No
2273,Parallel 37,https://www.yelp.com/ /biz/parallel-37-san-francisco,American (New),Above $61,4.0 star rating,6:30 am-11:00 am,6:30 am-11:00 am5:30 pm-9:15 pm,6:30 am-11:00 am5:30 pm-9:15 pm,6:30 am-11:00 am5:30 pm-9:15 pm,6:30 am-11:00 am5:30 pm-9:15 pm,6:30 am-11:30 am5:30 pm-9:15 pm,6:30 am-11:30 am5:30 pm-9:15 pm,"600 Stockton StreetSan Francisco, CA 94108",(415) 773-6168,Yes,No,No,Yes,No,Dinner,"Valet, Street",Yes,No,Yes,Dressy,Classy,Average,Full Bar,No,Free,Yes,Yes,No
2274,Mister Jiu’s,https://www.yelp.com/ /biz/mister-jius-san-francisco,Chinese,Above $61,4.0 star rating,Closed,5:30 pm-10:30 pm,5:30 pm-10:30 pm,5:30 pm-10:30 pm,5:30 pm-10:30 pm,5:30 pm-10:30 pm,Closed,"28 Waverly PlSan Francisco, CA 94108",(415) 857-9688,Yes,No,No,Yes,No,Dinner,Street,Yes,No,Yes,Casual,Trendy,Average,Full Bar,No,No,No,Yes,No
2275,Coi,https://www.yelp.com/ /biz/coi-san-francisco,"American (New),Seafood",Above $61,4.0 star rating,5:30 pm-9:30 pm,Closed,Closed,5:30 pm-9:30 pm,5:30 pm-9:30 pm,5:30 pm-9:30 pm,5:30 pm-9:30 pm,"373 BroadwaySan Francisco, CA 94133",(415) 393-9000,Yes,No,No,Yes,No,Dinner,Valet,No,No,No,Dressy,Upscale,Quiet,Beer & Wine Only,No,No,No,Yes,No
2276,Skull &amp; Sword,https://www.yelp.com/ /biz/skull-and-sword-san-francisco,Tattoo,Ultra High-End,4.5 star rating,,,,,,,,"3415 Cesar ChavezSan Francisco, CA 94110",(415) 552-4297,,,,No,No,,Street,Yes,,,,,,,,,,,
2277,Professional Makeup Artistry,https://www.yelp.com/ /biz/professional-makeup-artistry-san-francisco-2,Makeup Artists,Ultra High-End,5.0 star rating,Closed,11:00 am-4:00 pm,11:00 am-4:00 pm,11:00 am-4:00 pm,Closed,Closed,Closed,"400 Brannan StSan Francisco, CA 94107",(925) 240-3360,,,,Yes,,,"Street, Private Lot",,,,,,,,,,,,
2278,Beluga,https://www.yelp.com/ /biz/beluga-san-francisco,"Russian,Dance Clubs",Above $61,4.5 star rating,,,,,,,,"5323 Geary BlvdSan Francisco, CA 94121",(415) 379-3903,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,,,Average,Full Bar,No,,Yes,Yes,Yes
2279,"Larry Fan, MD | 77 Plastic Surgery",https://www.yelp.com/ /biz/larry-fan-md-77-plastic-surgery-san-francisco-3,"Cosmetic Surgeons,Medical Spas,Skin Care",Ultra High-End,4.5 star rating,8:30 am-5:30 pm,8:30 am-5:30 pm,8:30 am-5:30 pm,8:30 am-5:30 pm,8:30 am-5:30 pm,Closed,Closed,"77 Van Ness AveSan Francisco, CA 94102",(415) 655-7546,,,,Yes,No,,"Street, Private Lot",Yes,,,,,,,,,,,
2280,SubCulture Dining,https://www.yelp.com/ /biz/subculture-dining-san-francisco,American (New),Above $61,4.5 star rating,,,,,,,,"San Francisco, CA 94111",(415) 816-8787,Yes,No,No,Yes,,Dinner,Street,,No,Yes,Casual,,Average,,No,,,Yes,
2281,Morton’s The Steakhouse,https://www.yelp.com/ /biz/mortons-the-steakhouse-san-francisco,Steakhouses,Above $61,3.5 star rating,4:00 pm-11:00 pm,4:00 pm-11:00 pm,4:00 pm-11:00 pm,4:00 pm-11:00 pm,2:00 pm-11:00 pm,2:00 pm-11:00 pm,4:00 pm-10:00 pm,"400 Post St Lower LevelSan Francisco, CA 94102",(415) 986-5830,Yes,No,No,Yes,,Dinner,Valet,Yes,No,Yes,Dressy,Classy,Average,Full Bar,No,No,Yes,Yes,No
2282,Jehr Schiavo Haute Coiffure,https://www.yelp.com/ /biz/jehr-schiavo-haute-coiffure-san-francisco,Hair Stylists,Ultra High-End,5.0 star rating,9:00 am-7:00 pm,9:00 am-7:00 pm,9:00 am-7:00 pm,9:00 am-7:00 pm,9:00 am-7:00 pm,9:00 am-7:00 pm,9:00 am-7:00 pm,"San Francisco, CA 94115",(877) 724-4286,,,,Yes,,,"Valet, Garage, Street, Private Lot",Yes,Yes,,,,,,,,,,
2283,Self Edge,https://www.yelp.com/ /biz/self-edge-san-francisco,Men's Clothing,Ultra High-End,4.5 star rating,12:00 pm-7:00 pm,12:00 pm-7:00 pm,12:00 pm-7:00 pm,12:00 pm-7:00 pm,12:00 pm-7:00 pm,12:00 pm-7:00 pm,12:00 pm-5:00 pm,"714 Valencia StSan Francisco, CA 94110",(415) 558-0658,,,,Yes,Yes,,Street,Yes,,,,,,,,,,,
2284,"Kenneth Bermudez, MD",https://www.yelp.com/ /biz/kenneth-bermudez-md-san-francisco-2,"Cosmetic Surgeons,Medical Spas",Ultra High-End,5.0 star rating,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,Closed,Closed,"525 Spruce StSan Francisco, CA 94118",(415) 668-2122,,,,Yes,,,Private Lot,Yes,,,,,,,,,,,
2285,The Bimini Twist,https://www.yelp.com/ /biz/the-bimini-twist-san-francisco,"Personal Chefs,American (New)",Above $61,5.0 star rating,5:00 pm-11:00 pm,5:00 pm-11:00 pm,5:00 pm-11:00 pm,5:00 pm-11:00 pm,7:00 pm-11:00 pm,7:00 pm-11:00 pm,7:00 pm-11:00 pm,"188 King St PH7San Francisco, CA 94107",(415) 495-1900,Yes,No,No,Yes,No,Dinner,Street,Yes,No,Yes,Casual,Casual,Average,No,No,Free,No,Yes,Yes
