id,title,yelpPage,categories,price,rating,mon,tue,wed,thu,fri,sat,sun,addr,phone,takeout,creditCard,applePay,parking,bikeParking,outdoorSeating,wifi,caters,reservations,delivery,goodFor,goodForKids,goodForGroups,attire,ambience,noiseLevel,alcohol,hasTV,waiterService,driveThrough
28,Crepes A Go Go,https://www.yelp.com/ /biz/crepes-a-go-go-san-francisco-2,"Creperies,Food Stands",Under $10,4.5 star rating,Closed,Closed,6:00 pm-12:00 am,6:00 pm-3:00 am,6:00 pm-4:00 am,6:00 pm-4:00 am,6:00 pm-12:00 am,"350 11th StSan Francisco, CA 94103",(415) 503-1294,Yes,No,No,Street,Yes,Yes,No,No,No,No,Late Night,Yes,Yes,Casual,Casual,Average,No,No,No,
29,Cholo Soy,https://www.yelp.com/ /biz/cholo-soy-san-francisco,Peruvian,Under $10,4.5 star rating,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,Closed,"2301 Mission StSan Francisco, CA 94110",(415) 312-7232,Yes,Yes,No,Street,Yes,No,No,No,No,No,Lunch,Yes,No,Casual,Casual,Average,No,No,Yes,
30,Rise &amp; Grind,https://www.yelp.com/ /biz/rise-and-grind-san-francisco-2,Coffee & Tea,Inexpensive,5.0 star rating,7:00 am-5:00 pm,7:00 am-5:00 pm,7:00 am-5:00 pm,7:00 am-5:00 pm,7:00 am-5:00 pm,8:00 am-5:00 pm,8:00 am-5:00 pm,"785 8th AveSan Francisco, CA 94118",(415) 780-1579,Yes,Yes,Yes,Street,Yes,Yes,Free,,,,,,,,,,,,,
31,Roxie Food Center,https://www.yelp.com/ /biz/roxie-food-center-san-francisco,"Grocery,Sandwiches",Under $10,4.5 star rating,7:00 am-9:00 pm,7:00 am-9:00 pm,7:00 am-9:00 pm,7:00 am-9:00 pm,7:00 am-9:00 pm,7:00 am-9:00 pm,7:00 am-8:00 pm,"1901 San Jose AveSan Francisco, CA 94112",(415) 587-2345,Yes,Yes,No,Street,Yes,No,No,Yes,No,No,Lunch,Yes,No,Casual,Casual,Average,Full Bar,No,No,
32,El Farolito,https://www.yelp.com/ /biz/el-farolito-san-francisco-2,Mexican,Under $10,4.0 star rating,10:00 am-2:30 am,10:00 am-2:30 am,10:00 am-2:30 am,10:00 am-2:30 am,10:00 am-3:30 am,10:00 am-3:30 am,10:00 am-2:30 am,"2779 Mission StSan Francisco, CA 94110",(415) 824-7877,Yes,No,No,Street,Yes,No,No,No,No,No,"Lunch, Dinner, Late Night",Yes,Yes,Casual,Divey,Loud,Beer & Wine Only,No,No,
33,La Palma Mexicatessen,https://www.yelp.com/ /biz/la-palma-mexicatessen-san-francisco,Mexican,Under $10,4.5 star rating,8:00 am-6:00 pm,8:00 am-6:00 pm,8:00 am-6:00 pm,8:00 am-6:00 pm,8:00 am-6:00 pm,8:00 am-6:00 pm,8:00 am-5:00 pm,"2884 24th StSan Francisco, CA 94110",(415) 647-1500,Yes,Yes,No,Street,Yes,Yes,No,Yes,No,No,Lunch,Yes,No,Casual,Casual,Average,No,No,No,
34,Bayshore Taqueria,https://www.yelp.com/ /biz/bayshore-taqueria-san-francisco,Mexican,Under $10,4.5 star rating,10:00 am-10:00 pm,10:00 am-10:00 pm,10:00 am-10:00 pm,10:00 am-10:00 pm,10:00 am-10:00 pm,11:00 am-5:00 pm,Closed,"300 Bayshore BlvdSan Francisco, CA 94124",(415) 285-1100,Yes,Yes,No,"Street, Private Lot",Yes,Yes,No,Yes,No,No,"Lunch, Dinner",Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,No,
35,Lou’s Cafe,https://www.yelp.com/ /biz/lous-cafe-san-francisco,"Coffee & Tea,Sandwiches,Salad",Under $10,4.5 star rating,8:00 am-7:00 pm,8:00 am-7:00 pm,8:00 am-7:00 pm,8:00 am-7:00 pm,8:00 am-7:00 pm,8:00 am-4:00 pm,Closed,"5017 Geary BlvdSan Francisco, CA 94118",(415) 379-4429,Yes,Yes,No,Street,Yes,Yes,Free,Yes,No,No,Lunch,Yes,No,Casual,Casual,Average,No,Yes,No,
36,Wooly Pig Cafe,https://www.yelp.com/ /biz/wooly-pig-cafe-san-francisco,"Sandwiches,Coffee & Tea,Breakfast & Brunch",Under $10,4.5 star rating,7:00 am-3:00 pm,7:00 am-3:00 pm,7:00 am-3:00 pm,7:00 am-3:00 pm,7:00 am-3:00 pm,8:00 am-3:00 pm,8:00 am-3:00 pm,"205 Hugo StSan Francisco, CA 94122",(415) 592-8015,Yes,Yes,Yes,Street,Yes,Yes,Free,No,No,No,Lunch,Yes,No,Casual,Casual,Average,No,No,No,
37,Submarine Center,https://www.yelp.com/ /biz/submarine-center-san-francisco,Sandwiches,Under $10,4.5 star rating,10:00 am-7:30 pm,10:00 am-7:30 pm,10:00 am-7:30 pm,10:00 am-7:30 pm,10:00 am-7:30 pm,10:00 am-6:00 pm,11:00 am-5:00 pm,"820 Ulloa StSan Francisco, CA 94127",(415) 564-1455,Yes,Yes,No,Street,Yes,No,No,Yes,No,No,Lunch,Yes,No,Casual,Casual,Average,No,No,No,
38,New College Hill Market,https://www.yelp.com/ /biz/new-college-hill-market-san-francisco,"Convenience Stores,Bagels,Sandwiches",Under $10,4.5 star rating,8:00 am-11:00 pm,8:00 am-11:00 pm,8:00 am-11:00 pm,8:00 am-11:00 pm,8:00 am-12:00 am,8:00 am-12:00 am,8:00 am-11:00 pm,"3798 Mission StSan Francisco, CA 94110",(415) 285-2147,Yes,Yes,,Street,Yes,No,No,,No,No,Lunch,Yes,Yes,Casual,,,Beer & Wine Only,No,,
39,Saigon Sandwich,https://www.yelp.com/ /biz/saigon-sandwich-san-francisco,"Vietnamese,Sandwiches",Under $10,4.5 star rating,7:00 am-5:30 pm,7:00 am-5:30 pm,7:00 am-5:30 pm,7:00 am-5:30 pm,7:00 am-5:30 pm,7:00 am-5:30 pm,7:00 am-5:30 pm,"560 Larkin StSan Francisco, CA 94102",(415) 474-5698,Yes,No,No,Street,Yes,No,No,No,No,No,Lunch,Yes,No,Casual,Casual,Average,No,No,No,
40,Bernie’s,https://www.yelp.com/ /biz/bernies-san-francisco,Coffee & Tea,Inexpensive,4.5 star rating,5:30 am-7:00 pm,5:30 am-7:00 pm,5:30 am-7:00 pm,5:30 am-7:00 pm,5:30 am-7:00 pm,5:30 am-7:00 pm,5:30 am-7:00 pm,"3966 24th StSan Francisco, CA 94114",(415) 642-1192,Yes,Yes,No,Street,Yes,Yes,Free,No,,,,,,,,,,,,
41,Un Cafecito,https://www.yelp.com/ /biz/un-cafecito-san-francisco,"Coffee & Tea,Breakfast & Brunch,Sandwiches",Under $10,4.5 star rating,6:00 am-5:00 pm,6:00 am-5:00 pm,6:00 am-5:00 pm,6:00 am-5:00 pm,6:00 am-5:00 pm,7:00 am-1:00 pm,Closed,"335 Jones StSan Francisco, CA 94102",(415) 674-1769,Yes,Yes,No,,Yes,Yes,Free,Yes,No,No,Breakfast,Yes,Yes,Casual,Casual,Average,No,No,Yes,
42,The Bar On Dolores,https://www.yelp.com/ /biz/the-bar-on-dolores-san-francisco,Sports Bars,Inexpensive,5.0 star rating,8:00 am-2:00 am,8:00 am-2:00 am,8:00 am-2:00 am,8:00 am-2:00 am,8:00 am-2:00 am,10:00 am-2:00 am,10:00 am-2:00 am,"1600 Dolores StSan Francisco, CA 94110",(415) 695-1745,,No,No,Street,Yes,No,,,No,,,,Yes,,Casual,Average,Full Bar,Yes,,
43,Home,https://www.yelp.com/ /biz/home-san-francisco-16,"Coffee & Tea,Bakeries",Inexpensive,4.5 star rating,7:00 am-5:00 pm,7:00 am-5:00 pm,7:00 am-5:00 pm,7:00 am-5:00 pm,7:00 am-5:00 pm,8:00 am-5:00 pm,8:00 am-5:00 pm,"1222 Noriega  StSan Francisco, CA 94122",(415) 742-0038,Yes,Yes,No,Street,Yes,No,Free,No,,No,,,,,,,,,,
44,Arizmendi Bakery,https://www.yelp.com/ /biz/arizmendi-bakery-san-francisco-2,"Bakeries,Pizza",Under $10,4.5 star rating,7:00 am-7:00 pm,Closed,7:00 am-7:00 pm,7:00 am-7:00 pm,7:00 am-7:00 pm,8:00 am-7:00 pm,8:00 am-7:00 pm,"1268 Valencia StSan Francisco, CA 94110",(415) 826-9218,Yes,Yes,Yes,Street,Yes,No,No,Yes,No,No,"Breakfast, Lunch",Yes,No,Casual,Casual,Average,No,No,No,
45,Dinosaurs,https://www.yelp.com/ /biz/dinosaurs-san-francisco-4,"Vietnamese,Sandwiches",Under $10,4.0 star rating,9:00 am-10:00 pm,9:00 am-10:00 pm,9:00 am-10:00 pm,9:00 am-10:00 pm,9:00 am-10:00 pm,10:00 am-10:00 pm,10:00 am-10:00 pm,"2275 Market StSan Francisco, CA 94114",(415) 503-1421,Yes,Yes,No,Street,Yes,Yes,No,No,No,No,Lunch,Yes,No,Casual,Casual,Average,No,No,No,
46,Sugarfoot,https://www.yelp.com/ /biz/sugarfoot-san-francisco,"Southern,Pop-Up Restaurants",Under $10,5.0 star rating,Closed,Closed,Closed,Closed,Closed,Closed,11:00 am-4:00 pm,"2948 Folsom StSan Francisco, CA 94110",(615) 557-6392,Yes,Yes,,,Yes,Yes,Free,Yes,,,,,,Casual,,Average,No,Yes,No,
47,Rhea’s Deli &amp; Market,https://www.yelp.com/ /biz/rheas-deli-and-market-san-francisco,"Delis,Sandwiches",Under $10,4.0 star rating,11:30 am-5:00 pm,11:30 am-5:00 pm,11:30 am-5:00 pm,11:30 am-5:00 pm,11:30 am-6:00 pm,11:30 am-6:00 pm,11:30 am-6:00 pm,"800 Valencia StSan Francisco, CA 94110",(415) 282-5255,Yes,Yes,No,Street,Yes,No,No,No,Yes,Yes,Lunch,Yes,No,Casual,Casual,Average,Full Bar,No,No,
48,Handy Deli,https://www.yelp.com/ /biz/handy-deli-san-francisco,"Delis,Beer, Wine & Spirits",Under $10,4.5 star rating,9:00 am-2:00 am,9:00 am-2:00 am,9:00 am-2:00 am,9:00 am-2:00 am,9:00 am-2:00 am,9:00 am-2:00 am,9:00 am-2:00 am,"1815 Irving StSan Francisco, CA 94122",(415) 681-3323,Yes,Yes,,Street,Yes,Yes,Free,Yes,No,No,Lunch,Yes,No,Casual,Casual,Average,Full Bar,No,No,
49,Fresh Brew Coffee,https://www.yelp.com/ /biz/fresh-brew-coffee-san-francisco,"Coffee & Tea,Sandwiches,Vietnamese",Under $10,4.5 star rating,7:00 am-5:00 pm,7:00 am-5:00 pm,Closed,7:00 am-5:00 pm,7:00 am-5:00 pm,8:00 am-5:00 pm,8:00 am-5:00 pm,"882 Bush StSan Francisco, CA 94108",(415) 567-0915,Yes,Yes,No,Street,Yes,Yes,Free,No,No,No,"Breakfast, Lunch",Yes,No,Casual,Casual,Quiet,No,No,No,
50,Philz Coffee,https://www.yelp.com/ /biz/philz-coffee-san-francisco-8,Coffee & Tea,Inexpensive,4.5 star rating,6:00 am-7:30 pm,6:00 am-7:30 pm,6:00 am-7:30 pm,6:00 am-7:30 pm,6:00 am-7:30 pm,6:00 am-6:00 pm,6:00 am-6:00 pm,"399 Golden Gate AveSan Francisco, CA 94102",(415) 621-7000,Yes,Yes,Yes,Street,Yes,No,Free,Yes,,,,,,,,,,,,
51,Grandma’s Deli &amp; Cafe,https://www.yelp.com/ /biz/grandmas-deli-and-cafe-san-francisco,"Coffee & Tea,Sandwiches,Juice Bars & Smoothies",Under $10,4.5 star rating,7:30 am-5:00 pm,7:30 am-5:00 pm,7:30 am-5:00 pm,7:30 am-5:00 pm,7:30 am-3:00 pm,Closed,Closed,"1551 Mission StSan Francisco, CA 94103",(415) 252-0759,Yes,Yes,Yes,Street,No,No,Free,Yes,No,No,"Breakfast, Lunch",Yes,Yes,Casual,Casual,Average,No,Yes,No,
52,Jump Start Coffee &amp; Grocery,https://www.yelp.com/ /biz/jump-start-coffee-and-grocery-san-francisco,"Coffee & Tea,Sandwiches,Beer, Wine & Spirits",Under $10,4.5 star rating,7:00 am-9:00 pm,7:00 am-9:00 pm,7:00 am-9:00 pm,7:00 am-9:00 pm,7:00 am-9:00 pm,8:00 am-10:00 pm,8:00 am-8:00 pm,"1192 Guerrero StSan Francisco, CA 94110",(415) 642-7555,Yes,Yes,No,Street,Yes,Yes,Free,No,No,No,"Breakfast, Lunch",Yes,No,Casual,Casual,Quiet,Full Bar,Yes,Yes,
53,The Pizza Shop,https://www.yelp.com/ /biz/the-pizza-shop-san-francisco,Pizza,Under $10,4.5 star rating,11:00 am-10:00 pm,11:00 am-10:00 pm,11:00 am-10:00 pm,11:00 am-10:00 pm,11:00 am-10:00 pm,11:00 am-10:00 pm,11:00 am-10:00 pm,"3104 24th StSan Francisco, CA 94110",(415) 824-1840,Yes,No,No,Street,Yes,No,No,No,No,No,"Lunch, Dinner",Yes,Yes,Casual,Casual,Average,No,No,No,
54,Belly Good Cafe &amp; Crepes,https://www.yelp.com/ /biz/belly-good-cafe-and-crepes-san-francisco,"Ice Cream & Frozen Yogurt,Creperies",Under $10,4.5 star rating,11:30 am-8:00 pm,11:30 am-8:00 pm,11:30 am-8:00 pm,11:30 am-8:00 pm,11:30 am-9:00 pm,11:30 am-9:00 pm,11:30 am-8:00 pm,"1737 Post StSan Francisco, CA 94115",(415) 346-8383,Yes,No,No,"Garage, Street",No,No,No,No,No,No,Dessert,Yes,Yes,Casual,Casual,Average,No,No,No,
55,Philz Coffee,https://www.yelp.com/ /biz/philz-coffee-san-francisco-3,"Coffee & Tea,Sandwiches",Under $10,4.5 star rating,5:30 am-8:00 pm,5:30 am-8:00 pm,5:30 am-8:00 pm,5:30 am-8:00 pm,5:30 am-8:00 pm,6:30 am-8:00 pm,6:30 am-8:00 pm,"201 Berry StSan Francisco, CA 94158",(415) 875-9943,Yes,Yes,Yes,Street,Yes,Yes,Free,No,No,No,Breakfast,Yes,Yes,Casual,"Hipster, Casual, Trendy",Average,No,No,No,
