_id,ltable_id,rtable_id,ltable_title,ltable_cuisine,ltable_phone,ltable_feature,ltable_zipcode,ltable_street_addr,rtable_title,rtable_cuisine,rtable_phone,rtable_feature,rtable_zipcode,rtable_street_addr,gold
6331,1898,178,bender's bar & grill, thai,4158241800,,94110,806 s van ness ave,bender‰Û¡ÌÝå»s bar and grill," dive bars,american (traditional)",4158241800,"reservations, bikeparking, goodforgroups, outdoorseating, hastv",94110,806 s van ness ave,1
6529,1936,1169,a2 cafe, cafe,4152520180,,,1111 8th st at the california college of the arts,linea caffe, coffee & tea,4155903011,"takeout, creditcard, bikeparking, outdoorseating",94110,3417 18th st,0
6712,1940,2139,san buena taco truck, mexican,,,,sansome st. and sutter st.,hotel nikko san francisco - temp. closed, hotels,4153941111,creditcard,94102,222 mason st,0
6860,1953,1215,yield wine bar, wine bar,4154018984,,94107,2490 3rd st,yield wine bar, wine bars,4154018984,"creditcard, bikeparking, goodforgroups, outdoorseating",94107,2490 3rd st,1
13,1014,834,craftsman and wolves," american,cafe, contemporary,french",4158551414," accepts american express, accepts mastercard, accepts visa, accepts discover, seating, wheelchair accessible",94109,1643 pacific ave,craftsman and wolves - the den," coffee & tea,bakeries,sandwiches",4154233337,"takeout, creditcard, bikeparking, outdoorseating, caters",94124,1598 yosemite ave,0
43,1020,2424,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness ave,guitar center lessons, musical instruments & teachers,4154090350,creditcard,94109,1645 van ness ave,0
94,1028,998,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness ave,august 1 five," indian,cocktail bars,salad",4157715900,"reservations, takeout, creditcard, goodforkids, goodforgroups, waiterservice, caters",94102,524 van ness ave,0
95,1040,1190,manna," asian,korean",4156655969," takeout, seating, waitstaff",94122,845 irving st,manna, korean,4156655969,"takeout, creditcard, bikeparking, goodforkids, waiterservice",94122,845 irving st,1
123,1041,492,wayo sushi restaurant," sushi,asian,japanese",4154748369, seating,94109,1407 van ness ave,the little spot cafe," coffee & tea,bagels,sandwiches",4155501800,"takeout, creditcard, bikeparking, goodforkids, outdoorseating, waiterservice",94110,1199 s van ness ave,0
163,1085,1208,alborz," middle eastern,persian",4154404321," seating, waitstaff, serves alcohol, takeout, reservations",94109,1245 van ness ave,ho‰Û¡ÌÝå»s bootleg tavern," american (new),sports bars",4158727773,"reservations, takeout, creditcard, bikeparking, goodforgroups, hastv, waiterservice",94109,2360 van ness ave,0
170,1085,1456,alborz," middle eastern,persian",4154404321," seating, waitstaff, serves alcohol, takeout, reservations",94109,1245 van ness ave,san francisco symphony," performing arts,music venues",4158646000,"creditcard, bikeparking, goodforkids, goodforgroups",94102,201 van ness ave,0
176,1085,178,alborz," middle eastern,persian",4154404321," seating, waitstaff, serves alcohol, takeout, reservations",94109,1245 van ness ave,bender‰Û¡ÌÝå»s bar and grill," dive bars,american (traditional)",4158241800,"reservations, bikeparking, goodforgroups, outdoorseating, hastv",94110,806 s van ness ave,0
208,1122,1586,cafe 5, cafe,," seating, wheelchair accessible",94103,151 3rd st,sfmoma museum store," bookstores,cards & stationery",4153574000,"creditcard, bikeparking",94103,151 3rd st,0
228,1149,985,fat angel," american, bar,pub",4155253013," seating, waitstaff",94115,1740 o'farrell st,fat angel," wine bars,gastropubs",4155253013,"takeout, creditcard, bikeparking, outdoorseating, waiterservice",94115,1740 o&#39;farrell st,1
235,115,2241,mccormick & kuleto's," american,seafood,soups,gluten free options",4159291730," reservations, private dining, seating, waitstaff, wheelchair accessible, serves alcohol, full bar",94109,900 n point st,gary danko," american (new),french",4157492060,"reservations, creditcard, goodforgroups, waiterservice",94109,800 n point st,0
240,1152,1446,matterhorn restaurant," french,german, swiss,european",4158856116," reservations, seating, waitstaff, serves alcohol",94109,"2323 van ness ave,ste frnt",matterhorn restaurant," fondue,german",4158856116,"reservations, creditcard, goodforkids, goodforgroups, waiterservice",94109,2323 van ness ave,1
294,1192,966,wasabi & ginger," japanese,sushi,asian",4153451368," takeout, seating, waitstaff",94109,2299 van ness ave,urban putt," mini golf,american (new),bars",4153411080,"reservations, creditcard, bikeparking, goodforkids, goodforgroups, hastv, waiterservice",94110,1096 s van ness ave,0
335,1251,1747,transit cafe at the presidio," cafe,american,pizza",," takeout, seating, waitstaff, wheelchair accessible",94129,215 lincoln blvd,inn at the presidio," hotels,bed & breakfast",4158007356,creditcard,94129,42 moraga ave,0
338,1254,2154,fresca," peruvian,seafood,south american",4157598087," reservations, seating, waitstaff, serves alcohol",94127,24 w portal ave,edible arrangements," gift shops,chocolatiers & shops",4157313120,"creditcard, bikeparking",94127,312 w portal ave,0
339,1254,530,fresca," peruvian,seafood,south american",4157598087," reservations, seating, waitstaff, serves alcohol",94127,24 w portal ave,greenhouse cafe," coffee & tea,cafes,tea rooms",4157425545,"takeout, creditcard, bikeparking, goodforkids, goodforgroups, outdoorseating",94127,329 w portal ave,0
385,1316,1119,mozzarella di bufala pizzeria," italian,pizza",4156618900, seating,94127,69 w portal ave,trattoria da vittorio," italian,pizza",4157420300,"takeout, creditcard, bikeparking, goodforkids, goodforgroups, outdoorseating, hastv, waiterservice, caters",94127,150 w portal ave,0
388,1316,530,mozzarella di bufala pizzeria," italian,pizza",4156618900, seating,94127,69 w portal ave,greenhouse cafe," coffee & tea,cafes,tea rooms",4157425545,"takeout, creditcard, bikeparking, goodforkids, goodforgroups, outdoorseating",94127,329 w portal ave,0
421,1365,792,andale mexican family kitchen," mexican,fast food",4152438700," seating, wheelchair accessible",94103,"845 market st - concourse level,store fe7",united vip lounge, lounges,,"creditcard, goodforgroups, hastv",94103,845 market st,0
422,1368,2235,an japanese restaurant,,4152924886,,94115,"22 peace plz,#510",an japanese restaurant," sushi bars,japanese",4152924886,"reservations, creditcard, bikeparking, waiterservice",94115,22 peace plz,1
452,1414,947,marcella's lasagneria & cucina, italian,4159202225," seating, waitstaff, wheelchair accessible",94107,1099 tennessee st,marcella‰Û¡ÌÝå»s lasagneria, italian,4159202225,"takeout, creditcard, applepay, bikeparking, goodforkids, outdoorseating, waiterservice, caters",94107,1099 tennessee st,1
527,1529,2059,fuzio universal bistro," italian,american,international",4153927995," seating, waitstaff, serves alcohol, takeout",94111,1 embarcadero ctr,thrive cleanse, juice bars & smoothies,4158025131,creditcard,94111,1 embarcadero ctr,0
567,1558,2033,fort point beer co.," brew pub,pub",4158183993," wheelchair accessible, outdoor seating, serves alcohol, accepts american express, accepts mastercard, accepts visa, accepts discover",94111,1 ferry building,yogurt saint benoit, ice cream & frozen yogurt,,,94111,1 ferry building,0
580,1581,260,taqueria guadalajara, mexican,4154695480,,94112,4798 mission st,taqueria guadalajara, mexican,4154695480,"takeout, creditcard, bikeparking, goodforkids, goodforgroups, hastv",94112,4798 mission st,1
582,1585,835,gordo taqueria, mexican,4156688226,,94121,5450 geary blvd,gordo taqueria," fast food,mexican",4153874484,"takeout, creditcard, bikeparking, goodforkids",94121,2252 clement st,0
613,1599,2252,flying pig bistro pub, pub,4159341234,,94103,433 s van ness ave,harris‰Û¡ÌÝå» restaurant, steakhouses,4156731888,"reservations, creditcard, goodforgroups, waiterservice",94109,2100 van ness ave,0
652,1613,1261,mazza luna," lebanese,mediterranean,middle eastern,vegetarian friendly",4158292730," seating, waitstaff, reservations",94109,810 van ness ave,house of prime rib," american (traditional),steakhouses",4158854605,"reservations, creditcard, goodforkids, goodforgroups, waiterservice",94109,1906 van ness ave,0
665,1613,1796,mazza luna," lebanese,mediterranean,middle eastern,vegetarian friendly",4158292730," seating, waitstaff, reservations",94109,810 van ness ave,cafÌÎå© at the opera," cafes,american (traditional),sandwiches",4158618150,"reservations, creditcard, goodforgroups, waiterservice, caters",94102,301 van ness ave,0
678,1613,754,mazza luna," lebanese,mediterranean,middle eastern,vegetarian friendly",4158292730," seating, waitstaff, reservations",94109,810 van ness ave,kenny‰Û¡ÌÝå»s restaurant," diners,salad,breakfast & brunch",4156218902,"takeout, goodforkids, goodforgroups, hastv, waiterservice",94110,518 s van ness ave,0
683,1615,418,urban bread cafe,,4155528378,,94114,3901 18th st,cafÌÎå© ub," coffee & tea,cafes",4155528378,"takeout, creditcard, bikeparking, goodforkids, outdoorseating, caters",94114,3901 18th st,1
689,162,1715,cowgirl creamery sidekick, american,4153924000," takeout, wheelchair accessible",94111,1 ferry plz bldg 19,benedetta," skin care,cosmetics & beauty supply",7076653904,"creditcard, bikeparking",94111,1 ferry plz,0
695,162,572,cowgirl creamery sidekick, american,4153924000," takeout, wheelchair accessible",94111,1 ferry plz bldg 19,boccalone," italian,sandwiches",4154336500,"takeout, creditcard, bikeparking, goodforkids, caters",94111,1 ferry bldg,0
705,163,1281,octavia," american,gluten free options",4154087507," reservations, seating, waitstaff, wheelchair accessible, serves alcohol",94109,1701 octavia st,octavia, american (new),4154087507,"reservations, creditcard, bikeparking, waiterservice",94109,1701 octavia st,1
770,1680,2152,xiao loong restaurant," chinese,asian",4157535678," takeout, waitstaff, delivery, seating",94127,250 w portal ave,white rose boutique, women's clothing,4156815411,"creditcard, bikeparking",94127,242 w portal ave,0
771,1680,2154,xiao loong restaurant," chinese,asian",4157535678," takeout, waitstaff, delivery, seating",94127,250 w portal ave,edible arrangements," gift shops,chocolatiers & shops",4157313120,"creditcard, bikeparking",94127,312 w portal ave,0
786,1701,1040,la traviata, italian,4152820500," seating, waitstaff, serves alcohol, reservations",94110,2854 mission st,la traviata, italian,4152820500,"reservations, takeout, creditcard, bikeparking, goodforkids, goodforgroups, waiterservice",94110,2854 mission st,1
797,1721,1882,chipotle mexican grill," mexican,fast food",4155904199, wheelchair accessible,94108,211 sutter st,eduardo lazo, hair stylists,4153971177,creditcard,94108,211 sutter st,0
836,1769,73,hot press," american,delicatessen,vegetarian friendly",4158143814,,94110,2966 mission st,hot press," cafes,sandwiches,vegetarian",4158143814,"delivery, takeout, creditcard, applepay, bikeparking, goodforkids, goodforgroups, outdoorseating, hastv, caters",94110,2966 mission st,1
844,1789,1072,waystone,,,,94102,"992 market street,market at golden gate",waystone," salad,sandwiches,wine bars",6284443323,"takeout, creditcard, bikeparking, goodforgroups, outdoorseating",94102,992 market st,1
870,180,1779,ruth's chris steak house," american,steakhouse",4156730557," reservations, private dining, seating, waitstaff, valet parking, wheelchair accessible, serves alcohol, full bar",94109,1601 van ness ave,pacific plastic surgery group," cosmetic surgeons,skin care",4153799015,"creditcard, bikeparking",94102,77 van ness ave,0
883,180,585,ruth's chris steak house," american,steakhouse",4156730557," reservations, private dining, seating, waitstaff, valet parking, wheelchair accessible, serves alcohol, full bar",94109,1601 van ness ave,whiz burgers drive-in, burgers,4158245888,"takeout, creditcard, bikeparking, goodforkids, goodforgroups, outdoorseating",94110,700 s van ness ave,0
895,1812,810,bus stop pizza," italian,pizza",4153463515,,94115,1836 divisadero st ste 2,the city taqueria, mexican,4153463515,"takeout, creditcard, bikeparking, goodforkids, goodforgroups, hastv, caters",94115,1836 divisadero st,0
934,184,469,hot spud," american,fast food,gluten free options",4153991065," delivery, serves alcohol, takeout, seating, wheelchair accessible, wine and beer, highchairs available",94133,2640 mason st,hot spud," gluten-free,fast food",4153991065,"takeout, creditcard, bikeparking, goodforkids, goodforgroups, caters",94133,2640 mason st,1
942,1851,632,yonkers cafe,,4153794459,,94122,"3815 noriega street,b/t 45th ave & 46th ave outer sunseta street",yonkers cafe," cafes,wine bars",4153794459,"takeout, creditcard, goodforkids, hastv, caters",94122,3815 noriega st,1
966,1894,980,my thai,,,,94118,908 clement st,keeva indian kitchen, indian,4157424010,"delivery, takeout, creditcard, goodforkids, goodforgroups, waiterservice, caters",94118,908 clement st,0
1001,1898,966,bender's bar & grill, thai,4158241800,,94110,806 s van ness ave,urban putt," mini golf,american (new),bars",4153411080,"reservations, creditcard, bikeparking, goodforkids, goodforgroups, hastv, waiterservice",94110,1096 s van ness ave,0
1003,1898,998,bender's bar & grill, thai,4158241800,,94110,806 s van ness ave,august 1 five," indian,cocktail bars,salad",4157715900,"reservations, takeout, creditcard, goodforkids, goodforgroups, waiterservice, caters",94102,524 van ness ave,0
1007,190,1263,stones throw," american,gluten free options",4157962901," reservations, seating, waitstaff, wheelchair accessible, serves alcohol, full bar",94109,1896 hyde street,stones throw, american (new),4157962901,"reservations, creditcard, bikeparking, goodforgroups, waiterservice",94109,1896 hyde st,1
1014,1910,980,keeva indian kitchen, indian,4157424010,,94118,908 clement street,keeva indian kitchen, indian,4157424010,"delivery, takeout, creditcard, goodforkids, goodforgroups, waiterservice, caters",94118,908 clement st,1
1064,1999,1181,oasis cafe," cafe,mediterranean",4154744900, seating,94115,901 divisadero st,kava lounge sf, lounges,,"reservations, creditcard, bikeparking, goodforgroups",94115,901 divisadero st,0
1074,2014,900,hunan cafe 2," chinese,cafe",4157511283,,94121,4450 cabrillo st,hunan cafe 2," chinese,noodles,soup",4157511682,"delivery, takeout, creditcard, goodforkids, goodforgroups, waiterservice",94121,4450 cabrillo st,1
1091,2038,1006,cafe europa," german, austrian,polish,european,russian, czech,eastern european, central european,hungarian, slovenian",4153861000," reservations, waitstaff, seating",94118,4318 california st,cafe europa," german,comfort food,polish",4153861000,"reservations, takeout, creditcard, bikeparking, goodforkids, goodforgroups, waiterservice",94118,4318 california st,1
1109,207,1345,the rotunda at neiman marcus," american,gluten free options",4152492720," reservations, seating, waitstaff, serves alcohol, full bar, wheelchair accessible",94108,150 stockton street,the rotunda," american (new),tea rooms",4152492720,"reservations, creditcard, applepay, goodforgroups, waiterservice",94108,150 stockton st,1
1110,2071,845,mister bing's,,4153621545,,94133,201 columbus ave,mr. bing‰Û¡ÌÝå»s, dive bars,,"bikeparking, hastv",94133,201 columbus ave,1
1153,2091,54,osakaya restaurant," japanese,asian,sushi",4159222728," takeout, seating, waitstaff, serves alcohol, wheelchair accessible",94115,1737 post st,belly good cafe &amp; crepes," ice cream & frozen yogurt,creperies",4153468383,"takeout, goodforkids, goodforgroups",94115,1737 post st,0
1196,2148,2498,the butler & the chef bistro," french,cafe,european",4158962075," seating, waitstaff, outdoor seating, serves alcohol",94107,155a south park st,the butler &amp; the chef," antiques,home decor",4156269600,"creditcard, bikeparking",94103,1118 harrison st,0
1225,2202,1003,souvla," mediterranean,greek",4154005458,,94117,531 divisadero st,souvla," greek,mediterranean",4154005458,"takeout, creditcard, applepay, bikeparking, goodforkids, outdoorseating",94102,517 hayes st,0
1241,221,1717,limon rotisserie," peruvian,latin,south american",4158212134," wheelchair accessible, full bar, reservations, seating, waitstaff, serves alcohol, accepts mastercard, accepts visa, takeout, television, highchairs available",94110,1001 s van ness ave,"alyson mititieri, le"," medical spas,hair removal,skin care",4153799015,"creditcard, bikeparking",94102,77 van ness ave,0
1265,2216,1672,roots restaurant," american,mediterranean",4153999807," waitstaff, serves alcohol, reservations, seating",94108,466 bush st,roots restaurant," american (new),breakfast & brunch",4156590349,"reservations, takeout, creditcard, goodforgroups, outdoorseating, waiterservice",94108,466 bush st,1
1276,2236,672,steep brew,,4155521155,,94107,450 rhode island st,dos piÌÎå±as, mexican,4152528220,"takeout, creditcard, bikeparking, goodforkids, goodforgroups, outdoorseating, hastv, caters",94103,251 rhode island st,0
1309,2251,2252,whiz burgers drive-in,,4158245888,,94110,700 s van ness ave,harris‰Û¡ÌÝå» restaurant, steakhouses,4156731888,"reservations, creditcard, goodforgroups, waiterservice",94109,2100 van ness ave,0
1323,2251,998,whiz burgers drive-in,,4158245888,,94110,700 s van ness ave,august 1 five," indian,cocktail bars,salad",4157715900,"reservations, takeout, creditcard, goodforkids, goodforgroups, waiterservice, caters",94102,524 van ness ave,0
1350,2291,1391,the melt,,4156916536,,94105,115 new montgomery st,trou normand," cocktail bars,breakfast & brunch",4159750876,"reservations, takeout, creditcard, bikeparking, goodforgroups, waiterservice",94105,140 new montgomery st,0
1369,2319,1290,ayola, mediterranean,4153480808,,94105,118 new montgomery st,mourad restaurant," moroccan,american (new)",4156602500,"reservations, creditcard, goodforgroups, waiterservice",94105,140 new montgomery st,0
1392,2347,678,the stud bar,,4158636623,,94103,399 9th st,the stud," gay bars,dance clubs",4158636623,"bikeparking, goodforgroups",94103,399 9th st,1
1396,2356,136,hot sauce and panko,,4153591908,,94109,1468 hyde st,hot sauce and panko," chicken wings,specialty food",4153591908,"delivery, takeout, creditcard, applepay, bikeparking, goodforkids, caters",94109,1468 hyde st,1
1457,2444,839,bini's kitchen,,4153616911,,94110,2948 folsom st,bini‰Û¡ÌÝå»s kitchen," himalayan/nepalese,food stands",4153616911,"takeout, creditcard, bikeparking, goodforkids, goodforgroups, caters",94104,1 post plz,0
1465,2445,686,chipotle mexican grill," mexican,fast food,vegetarian friendly",4155128113," seating, wheelchair accessible",94105,126 new montgomery st,ayola," greek,mediterranean",4153480808,"takeout, creditcard, bikeparking, goodforkids, caters",94105,118 new montgomery st,0
