id,title,cuisine,phone,feature,zipcode,street_addr
2750,Elizabeth Charles, Women's Clothing,4154402100,creditCard,94115,2056 Fillmore street
2751,Biro &amp; Sons Silversmiths, Antiques,4154313480,bikeParking,94103,1160 Folsom street
2752,Chaps," Men's Clothing,Women's Clothing,Children's Clothing",4158631699,"creditCard, bikeParking",94114,4057 18th street
2753,Analog Tattoo Arts Kolectiv SF, Art Galleries,4159326250,"creditCard, bikeParking",94109,1038 Larkin street
2754,House of Music," Electronics,Home Theatre Installation",4152550888,"creditCard, bikeParking",,
2755,Hosfelt Gallery, Art Galleries,4154955454,"creditCard, goodForKids",94103,260 Utah street
2756,B&amp;B Italia," Home Decor,Furniture Stores,Furniture Assembly",4155650900,"delivery, creditCard, bikeParking",94103,2211 Alameda street
2757,Thos. Moser Cabinetmakers, Furniture Stores,4159318131,creditCard,94118,3395 Sacramento street
2758,Shreve &amp; Co.," Jewelry,Watches,Jewelry Repair",4154212600,"creditCard, bikeParking",94108,150 Post street
2759,Venezia Fine Arts &amp; Antiques," Antiques,Art Galleries",6284006004,creditCard,94108,430 Grant avenue
2760,St. John Boutique, Women's Clothing,4158560420,creditCard,94103,"767A Market Street, Suite B"
2761,Food Guru GraceAnn Walden’s Walking Tours," Tours,Food",4153025898,,94133,
2762,Sue Fisher King," Home Decor,Furniture Stores",4159227276,"creditCard, applePay",94115,3067 Sacramento street
2763,Park Plaza Fine Foods," Grocery,Delis",6284006077,"delivery, takeout, creditCard, bikeParking, goodForKids, goodForGroups, hasTV, caters",94132,111 Cambon Dr
2764,One Hour Cleaners, Dry Cleaning & Laundry,4155526035,creditCard,94114,2233 Market street
2765,Alexander McQueen," Women's Clothing,Men's Clothing",4159562721,"creditCard, bikeParking",94108,58 Geary street
2766,Montblanc," Accessories,Leather Goods,Watches",4154034000,"creditCard, bikeParking",94108,120 Grant Avenue
2767,Gallery 444, Art Galleries,4154344477,creditCard,,
2768,Ocularium The, Eyewear & Opticians,4155632475,creditCard,94123,2336 Chestnut street
2769,April In Paris, Leather Goods,4157509910,creditCard,94118,15 Clement street
2770,Vine Vera, Skin Care,,"creditCard, bikeParking",94108,60 Grant street
2771,Living Green Design," Nurseries & Gardening,Gardeners",4158642251,"creditCard, bikeParking",94124,1465 Custer avenue
2772,Verizon," Mobile Phones,Internet Service Providers,Mobile Phone Accessories",4156958400,"creditCard, bikeParking",94110,2654 Mission street
2773,Andy Goldsworthy’s Spire," Hiking,Art Galleries",4155615300,"applePay, bikeParking, goodForKids",94129,
2774,Caldwell Snyder Gallery, Art Galleries,4153922299,creditCard,94108,341 Sutter street
2775,The Art of Dr. Seuss - Dennis Rae Fine Art, Art Galleries,4153911948,"creditCard, goodForKids",94102,351-A Geary street
2776,Candace Barnes," Antiques,Interior Design",4154311018,"creditCard, bikeParking",94103,2013 17th street
2777,Will Leather Goods ‘Self Expression’," Leather Goods,Accessories",4156901188,"creditCard, bikeParking",94102,568 Hayes street
2778,Infinitel Communications," Mobile Phones,Mobile Phone Accessories,Mobile Phone Repair",4155049688,creditCard,,
2779,CK Contemporary, Art Galleries,4153970114,"creditCard, bikeParking",,
2780,Curve," Women's Clothing,Accessories",4158854200,creditCard,94115,2360 Fillmore street
2781,Giorgio Armani," Women's Clothing,Accessories,Children's Clothing",4154342500,,94102,166 Grant avenue
2782,Sunglass Hut," Eyewear & Opticians,Accessories",4153991606,creditCard,94108,250 Stockton street
2783,ScriptSite Pharmacy &amp; Compounding Lab, Drugstores,4158008060,creditCard,94102,490 Post street
2784,TSE," Women's Clothing,Men's Clothing",4153911112,creditCard,,
2785,Gadgetronics, Electronics,8583449297,creditCard,94133,Pier 39
2786,Berggruen Gallery, Art Galleries,4157814629,"creditCard, goodForKids",94105,10 Hawthorne street
2787,John Windle Antiquarian Bookseller," Antiques,Bookstores",4159865826,creditCard,94108,49 Geary street
2788,Tune Get Jewelry, Jewelry,4153973889,creditCard,94108,1060 Stockton Street
2789,Robert Berry Design, Women's Clothing,4155634211,creditCard,94123,2764 Octavia street
2790,Charisma Crafts," Antiques,Home Decor,Rugs",4153991799,creditCard,94108,950 Mason street
2791,Asian Arts Center, Art Galleries,4152968508,"creditCard, goodForKids",94108,45 Kearny street
2792,The Butler &amp; The Chef," Antiques,Home Decor",4156269600,"creditCard, bikeParking",94103,1118 Harrison street
2793,Cottage Market, Grocery,4159898121,"creditCard, bikeParking",94108,798 Bush Street
2794,Antiquities of California," Hobby Shops,Art Galleries",4154218400,"creditCard, bikeParking, goodForKids",94133,Pier 39
2795,Golden Skin Care, Cosmetics & Beauty Supply,8775541777,creditCard,94132,3251 20th avenue
2796,Ho Kee Market, Grocery,4158371489,creditCard,94133,1251 Stockton Street
2797,RED Valentino, Women's Clothing,4155434900,creditCard,,
2798,The Finest Watches," Watches,Watch Repair",4158643615,creditCard,94108,360 Post street
2799,The Other Artist, Framing,4155635641,,94123,3200 Buchanan street
2800,Kneedler-Fauchere," Interior Design,Furniture Stores",4154876180,creditCard,94103,101 Henry Adams street
2801,Fell Depot Cleaners," Dry Cleaning & Laundry,Sewing & Alterations",4157017788,"creditCard, bikeParking",94117,1263 Fell street
2802,Luckyrice Feast, Asian Fusion,,goodForGroups,94111,1 Ferry building
2803,Tangent Contemporary Art, Art Galleries,4159569999,creditCard,94102,373 Geary street
2804,Miele San Francisco Experience Center, Appliances,8008437231,creditCard,94103,680 8th street
2805,SS21, Office Equipment,,,94102,132 Eddy street
2806,Fendi, Leather Goods,4159860349,creditCard,94108,384 Post street
2807,Lombard Heights Market, Grocery,4157812480,creditCard,94133,1877 Stockton street
2808,"Body, Soul and Spirit Salon", Hair Salons,4153337261,creditCard,94134,222 Leland avenue
2809,Post Street Creamery, Ice Cream & Frozen Yogurt,,"takeout, creditCard, bikeParking",94103,428 11th street
2810,La Perla," Women's Clothing,Lingerie,Swimwear",4154450108,creditCard,94108,170 Geary street
2811,Escada, Women's Clothing,4153913500,creditCard,94108,135 Maiden Ln
2812,Valentino," Women's Clothing,Men's Clothing",4157729835,creditCard,94108,105 Grant avenue
2813,Orogold cosmetics," Skin Care,Cosmetics & Beauty Supply",4159511929,creditCard,94108,450 Powell street
2814,Taylor Pham," Makeup Artists,Hair Salons",,,,
2815,Christian Louboutin, Shoe Stores,4156589079,"creditCard, applePay",94108,29 Maiden Lane
2816,Cherish Yourself Massage Services, Massage,4158759510,creditCard,94114,4248 - 20th street
2817,Le Point," Women's Clothing,Men's Clothing,Accessories",4154004275,creditCard,94103,301 Valencia street
2818,Neiman Marcus," Men's Clothing,Women's Clothing,Shoe Stores",4153623900,creditCard,94108,150 Stockton street
2819,Hermès," Women's Clothing,Accessories,Leather Goods",4153917200,creditCard,94108,125 Grant avenue
2820,Saint Laurent, Accessories,4157650975,"creditCard, bikeParking",94108,108 Geary street
2821,Ritz Carlton Club," Venues & Event Spaces,Hotels",,creditCard,94105,658 Market street
2822,ROLO on Market, Men's Clothing,4154314545,creditCard,94114,2351 Market street
2823,Coup d’Etat, Antiques,4152419300,"creditCard, bikeParking",94103,111 Rhode Island street
2824,Empire Nuj, Dance Clubs,,"creditCard, bikeParking, goodForGroups, outdoorSeating, hasTV",94105,425 1st street
2825,ZenTreks Ltd, Outdoor Gear,4159677778,creditCard,94107,177 Townsend street
2826,Barcelino Per Donna," Women's Clothing,Accessories",4159125700,creditCard,,
2827,"Jim Avila, Consulting in Style and Image", Makeup Artists,4158612857,,94199,
2828,Casa Luna SF, Hotels,4157388121,creditCard,94114,4058 17th street
2829,ALNO San Francisco," Kitchen & Bath,Interior Design,Cabinetry",4155410754,creditCard,94107,243 Brannan street
2830,PIA The Store," Women's Clothing,Jewelry,Accessories",6282225713,creditCard,94111,414 Jackson street
2831,Sui Generis Consignment Womens," Women's Clothing,Used, Vintage & Consignment",4158007584,"creditCard, bikeParking",94123,2147 Union street
2832,Sarah Stocking Fine Vintage Posters," Art Galleries,Framing,Antiques",4159840700,"creditCard, goodForKids",94111,368 Jackson street
2833,Villa Aroma Spa," Massage,Day Spas",4153468884,creditCard,94109,801 Geary street
2834,Mason Liquor &amp; Deli," Convenience Stores,Beer, Wine & Spirits",4159568976,"creditCard, bikeParking",94102,530 Mason street
2835,Deep Sea Cosmetics 1 - Kiosk, Cosmetics & Beauty Supply,4158127277,"creditCard, bikeParking",,
2836,Ruti," Accessories,Women's Clothing,Jewelry",4154414412,creditCard,94115,2119 Fillmore street
2837,Wharf Outdoors," Sports Wear,Flowers & Gifts",4157755060,creditCard,94133,2801 Leavenworth street
2838,Gallery Paule Anglim, Art Galleries,4154332710,goodForKids,94108,14 Geary street
2839,Button Down," Women's Clothing,Men's Clothing,Sports Wear",4155631311,creditCard,94118,3415 Sacramento street
2840,Mo’s Seafood Mac Salad, Food,,,94105,SOMA 
2841,Sunglass Hut," Eyewear & Opticians,Accessories",4156654167,creditCard,94132,3251 20th Avenue
2842,Gallery 55," Jewelry,Home Decor",4158341872,creditCard,94133,51 Jefferson street
2843,Caviar, Food Delivery Services,,creditCard,94103,1455 Market street
2844,Grace Jewelry, Jewelry,4153981868,creditCard,94102,121 Ofarrell Street
2845,Alcatraz Mini Market, Grocery,4159319103,"creditCard, bikeParking",94109,757 Beach street
2846,Clean-X-Press, Dry Cleaning & Laundry,4156817830,,94122,401 Judah street
2847,Lakeshore Cleaners, Dry Cleaning & Laundry,4157535458,creditCard,94132,1557 Sloat boulevard
2848,Venusian Gardens West, Art Galleries,4156921952,,94103,1286 Folsom street
2849,Kiton, Bespoke Clothing,4159897000,creditCard,,
2850,Snow Skin Spa," Waxing,Skin Care,Cosmetics & Beauty Supply",4157026468,"creditCard, bikeParking",94121,3443 Balboa street
2851,Coiniop Washidry, Dry Cleaning & Laundry,,,94122,1101 Irving street
2852,Firenze Fine Arts Inc," Art Galleries,Framing",,creditCard,94133,235 Jefferson street
2853,Bosley - Hair Restoration," Cosmetic Surgeons,Medical Spas,Hair Loss Centers",8884396570,creditCard,94133,50 Francisco street
2854,Kindersport," Children's Clothing,Sports Wear",4155637778,creditCard,94118,3566 Sacramento street
2855,Surprise Party," Arts & Crafts,Antiques",4157718550,"creditCard, bikeParking",94115,1900A Fillmore street
2856,Mandarin Lounge, Lounges,4152769888,"goodForGroups, outdoorSeating, hasTV",94104,222 Sansome street
2857,Ealge Jewelry, Pawn Shops,4152855100,creditCard,94110,2255 Mission street
2858,Rent-A-Center," Furniture Stores,Appliances",4152822522,"creditCard, bikeParking",94110,2853 Mission street
2859,Mark Kai Company," Watches,Jewelry",4157517232,,94118,802 Clement street
2860,Gregory Lind Gallery, Art Galleries,4152969661,creditCard,94108,49 Geary Street
2861,Botanica Ibeyi, Home Decor,4155878001,creditCard,94112,205 Ocean avenue
2862,China Gem Company," Art Supplies,Jewelry",4153975070,,94108,500 Grant avenue
2863,Hair Club, Hair Loss Centers,9192050991,bikeParking,94105,221 Main street
2864,SOHO, Accessories,4155431021,creditCard,94105,865 Market street
2865,SuiteAmerica, Hotels,4153411738,creditCard,94105,680 Mission street
2866,Pacific Pulmonary Service, Medical Supplies,4156477544,,94124,2121 Evans avenue
2867,Vitra," Office Equipment,Furniture Stores",4152960711,creditCard,94133,557 Pacific avenue
2868,Daily Produce, Grocery,4152969598,,94133,1215 Stockton Street
2869,Unitfone Wireless, Mobile Phones,4157150118,creditCard,94134,2700 San Bruno avenue
2870,Ivy Hotel, Hotels,4158636388,creditCard,94102,539 Octavia Street
2871,Barneys New York," Men's Clothing,Women's Clothing,Shoe Stores",4152683500,"creditCard, applePay",94108,77 O&#39;Farrell street
2872,Van Cleef &amp; Arpels," Jewelry,Watches",4153623900,"creditCard, bikeParking",94108,150 Stockton street
2873,Kent Cleaners, Dry Cleaning & Laundry,4157515478,creditCard,94118,601 3rd avenue
2874,Saks Fifth Avenue," Women's Clothing,Accessories,Shoe Stores",4159864300,"creditCard, applePay, bikeParking",94108,384 Post street
2875,Adore Organic Innovations," Cosmetics & Beauty Supply,Skin Care",8443777753,"creditCard, bikeParking",94102,188 Ofarrell street
2876,Mi Lindo Peru, Peruvian,4156424897,"takeout, creditCard, bikeParking, goodForKids, goodForGroups, waiterService",94110,3226 Mission street
2877,Fable, American (New),4155902404,"reservations, creditCard, bikeParking, goodForGroups, outdoorSeating, waiterService",94114,558 Castro street
2878,Third Rail, Cocktail Bars,4152527966,"creditCard, applePay, bikeParking, goodForGroups, hasTV",94107,628 20th street
2879,Waystone," Salad,Sandwiches,Wine Bars",6284443323,"takeout, creditCard, bikeParking, goodForGroups, outdoorSeating",94102,992 Market street
2880,Garaje," Mexican,Burgers,Gastropubs",4156440838,"takeout, goodForGroups, hasTV",94107,475 3rd street
2881,PianoFight," Bars,American (New),Performing Arts",4158163691,"creditCard, bikeParking, goodForGroups",94102,144 Taylor street
2882,Etcetera Wine Bar," Wine Bars,American (New),Tapas/Small Plates",4159265477,"creditCard, bikeParking, goodForGroups, outdoorSeating, waiterService",94110,795 Valencia street
2883,New Eritrea Restaurant &amp; Bar," Ethiopian,Vegetarian",4156811288,"reservations, takeout, creditCard, bikeParking, goodForKids, goodForGroups, hasTV, waiterService, caters",94122,907 Irving street
2884,Nabe," Hot Pot,Japanese",4157312658,"reservations, takeout, creditCard, bikeParking, goodForKids, goodForGroups, waiterService",94122,1325 9th avenue
2885,Swan Oyster Depot, Seafood,4156731101,"takeout, bikeParking, waiterService",94109,1517 Polk street
2886,Molinari Delicatessen, Delis,4154212337,"takeout, creditCard, bikeParking, goodForKids, outdoorSeating, caters",94133,373 Columbus avenue
2887,Plow," Breakfast & Brunch,American (New)",4158217569,"takeout, creditCard, bikeParking, goodForKids, outdoorSeating, waiterService",94107,1299 18th street
2888,Gialina Pizzeria," Pizza,Italian",4152398500,"takeout, creditCard, bikeParking, goodForKids, waiterService",94131,2842 Diamond street
2889,Chloe’s Cafe, Breakfast & Brunch,4156484116,"takeout, creditCard, bikeParking, goodForKids, outdoorSeating, waiterService",94114,1399 Church street
2890,Chez Maman West," French,Burgers",4153559067,"takeout, creditCard, outdoorSeating, waiterService, caters",94102,401 Gough street
2891,La Mediterranee," Mediterranean,Middle Eastern,Breakfast & Brunch",4154317210,"delivery, takeout, creditCard, bikeParking, goodForKids, goodForGroups, outdoorSeating, waiterService, caters",94114,288 Noe street
2892,Topsy’s Fun House," Cocktail Bars,Lounges",4157570290,"reservations, creditCard, bikeParking, goodForGroups, outdoorSeating, hasTV",94108,260 Kearny street
2893,Modernist," Supper Clubs,Cocktail Bars,Social Clubs",,"reservations, creditCard, goodForGroups, waiterService",94105,139 Steuart street
2894,Martin Lawrence Galleries, Art Galleries,4159560345,creditCard,94102,366 Geary street
2895,Steven’s Manufacturing Jewelers," Gold Buyers,Watches,Jewelry Repair",4153988783,bikeParking,94102,490 Post street
2896,Golden Gate Needlepoint, Arts & Crafts,4153458779,creditCard,94118,3310 Sacramento street
2897,Christopher Clark Fine Art, Art Galleries,4153977781,"creditCard, bikeParking, goodForKids",,
2898,Uomo European Menswear, Men's Clothing,4159898666,"creditCard, bikeParking",94108,475 Sutter street
2899,Red Hill Station, Seafood,4157570480,"reservations, takeout, creditCard, bikeParking, goodForKids, goodForGroups, waiterService",94110,803 Cortland avenue
2900,The Residence, Lounges,4157978866,"bikeParking, goodForGroups, hasTV",94114,718 14th street
2901,BEL," Belgian,Bars,Modern European",4152061000,"reservations, takeout, creditCard, bikeParking, goodForGroups, waiterService",94110,3215 Mission street
2902,Taylor Street Coffee Shop," Breakfast & Brunch,Burgers,Sandwiches",4155674031,"takeout, creditCard, bikeParking, goodForKids, waiterService",94102,375 Taylor street
2903,Manora’s Thai Cuisine," Thai,Cocktail Bars",4158616224,"reservations, delivery, takeout, creditCard, bikeParking, goodForKids, goodForGroups, waiterService",94103,1600 Folsom street
2904,Delessio Market &amp; Bakery," Bakeries,Delis,Caterers",4155525559,"takeout, creditCard, bikeParking, goodForKids, goodForGroups, outdoorSeating",94103,1695 Market street
2905,Repose Coffee Bar," Coffee & Tea,Bakeries,Donuts",4158749110,"takeout, creditCard, applePay, bikeParking, outdoorSeating",94117,262 Divisadero street
2906,Okina Sushi," Sushi Bars,Japanese",4153878882,"reservations, takeout, bikeParking, waiterService",94118,776 Arguello boulevard
2907,Leopold’s," Austrian,Bars",4154742000,"creditCard, bikeParking, goodForGroups, waiterService",94109,2400 Polk street
2908,Mela Tandoori Kitchen," Indian,Pakistani,Halal",4154474041,"reservations, delivery, takeout, creditCard, goodForKids, goodForGroups, outdoorSeating, hasTV, waiterService, caters",94102,536 Golden Gate avenue
2909,Dottie’s True Blue Cafe," American (Traditional),Breakfast & Brunch,Cafes",4158852767,"takeout, creditCard, goodForKids, waiterService",94103,28 6th street
2910,Brenda’s Meat &amp; Three," Soul Food,Breakfast & Brunch,Southern",4159268657,"takeout, creditCard, bikeParking, goodForKids, goodForGroups, outdoorSeating, waiterService",94115,919 Divisadero street
2911,Little Baobab, Senegalese,4156433558,"reservations, takeout, bikeParking, goodForGroups, hasTV, waiterService",94110,3380 19th street
2912,Zam Zam, Bars,4158612545,bikeParking,94117,1633 Haight street
2913,Lers Ros, Thai,4159316917,"reservations, delivery, takeout, creditCard, bikeParking, goodForKids, goodForGroups, hasTV, waiterService, caters",94109,730 Larkin street
2914,Elmira Rosticceria," Italian,American (Traditional),Breakfast & Brunch",4155517332,"takeout, creditCard, bikeParking, goodForKids, goodForGroups, caters",94102,154 McAllister street
2915,The Sycamore, Gastropubs,4152527704,"takeout, creditCard, bikeParking, goodForGroups, outdoorSeating",94110,2140 Mission street
2916,Trattoria da Vittorio," Italian,Pizza",4157420300,"takeout, creditCard, bikeParking, goodForKids, goodForGroups, outdoorSeating, hasTV, waiterService, caters",94127,150 W Portal avenue
2917,Eno Wine Bar, Wine Bars,4156785321,"reservations, creditCard, bikeParking, goodForGroups",94102,320 Geary street
2918,La Mediterranee," Middle Eastern,Mediterranean,Armenian",4159212956,"delivery, takeout, creditCard, bikeParking, goodForKids, outdoorSeating, waiterService, caters",94115,2210 Fillmore street
2919,Rock Bar, Bars,4155506664,"creditCard, bikeParking, goodForGroups, hasTV",94110,80 29th street
2920,Regent Thai Restaurant, Thai,4156435893,"reservations, takeout, creditCard, bikeParking, goodForKids, goodForGroups, waiterService",94131,1700 Church street
2921,Pork Store Cafe," Breakfast & Brunch,Coffee & Tea",4158646981,"takeout, creditCard, bikeParking, goodForKids, waiterService",94117,1451 Haight street
2922,Betty Lou’s Seafood &amp; Grill, Seafood,4157570569,"reservations, takeout, creditCard, goodForKids, goodForGroups, hasTV, waiterService",94133,318 Columbus avenue
2923,Cha-Ya," Japanese,Vegetarian,Vegan",4152527825,"takeout, bikeParking, goodForKids, goodForGroups, waiterService",94110,762 Valencia street
2924,Blue Bottle Coffee, Coffee & Tea,5106533394,"takeout, creditCard, applePay, bikeParking, outdoorSeating",94103,1355 Market street
2925,Ritual Coffee Roasters, Coffee & Tea,4158650989,"takeout, creditCard, applePay, bikeParking, outdoorSeating",94102,432b Octavia street
2926,WesBurger ‘N’ More," Burgers,American (Traditional)",4157459371,"takeout, creditCard, bikeParking, goodForKids, goodForGroups, caters",94110,2240 Mission street
2927,Pacific Cocktail Haven, Cocktail Bars,4157445000,"creditCard, goodForGroups",94108,580 Sutter street
2928,Burberry," Women's Clothing,Accessories,Men's Clothing",4153922200,creditCard,94108,225 Post street
2929,NeoCocoa, Chocolatiers & Shops,,creditCard,94110,2948 Folsom street
2930,The Painters Place," Framing,Home Decor",4154319827,"creditCard, bikeParking",94103,283 9th street
2931,Gucci," Men's Clothing,Women's Clothing,Leather Goods",4153922808,"creditCard, applePay, bikeParking",94108,240 Stockton street
2932,Optica," Eyewear & Opticians,Accessories",4158961239,creditCard,,
2933,Shapur Mozaffarian Fine Jewelry," Jewelry,Watches",4153921200,creditCard,94108,272 Post street
2934,Goyard," Leather Goods,Luggage,Accessories",4155238200,"creditCard, applePay, bikeParking",94108,118 Grant avenue
2935,Xetum, Watches,8003856238,creditCard,94102,760 Market street
2936,Maybeck’s," American (New),Italian,Cocktail Bars",4154008500,"reservations, creditCard, bikeParking, goodForGroups, outdoorSeating, hasTV, waiterService",94123,3213 Scott street
2937,Venticello Ristorante, Italian,4159222545,"reservations, creditCard, bikeParking, waiterService",94108,1257 Taylor street
2938,Tadich Grill," Seafood,American (Traditional)",4153911849,"takeout, creditCard, goodForGroups, waiterService",94111,240 California street
2939,Dainese D-Store," Motorcycle Gear,Ski & Snowboard Shops",4156265478,"creditCard, applePay, bikeParking",94103,131 S Van Ness avenue
2940,Leo’s Oyster Bar," Bars,Seafood",4158729982,"reservations, takeout, creditCard, waiterService",94111,568 Sacramento street
2941,Seventh Son Tattoo, Tattoo,4155517766,bikeParking,94103,765 Clementina street
2942,Music Exchange, Musical Instruments & Teachers,4155520445,creditCard,94102,700 Van Ness avenue
2943,Tawla," Mediterranean,Tapas/Small Plates",4158142704,"reservations, takeout, creditCard, bikeParking, goodForGroups, waiterService",94103,206 Valencia street
2944,Cotogna, Italian,4157758508,"reservations, takeout, creditCard, bikeParking, goodForGroups, waiterService",94133,490 Pacific avenue
2945,Pabu," Japanese,Sushi Bars,Cocktail Bars",4156687228,"reservations, creditCard, bikeParking, goodForGroups, outdoorSeating, waiterService, caters",94111,101 California street
2946,The Lounge at The Ritz-Carlton," Lounges,American (New)",4152967465,"reservations, creditCard, goodForGroups, hasTV, waiterService, caters",94108,600 Stockton street
2947,SF Guitarworks," Musical Instruments & Teachers,Electronics Repair,Musical Instrument Services",4158655424,"creditCard, bikeParking",94103,323 Potrero avenue
2948,Dark Garden," Lingerie,Bridal",4154317684,"creditCard, bikeParking",94102,321 Linden street
2949,Tsunami Panhandle," Sushi Bars,Japanese",4155677664,"reservations, takeout, creditCard, bikeParking, goodForGroups, waiterService",94117,1306 Fulton street
2950,Pak Oriental Rug," Carpet Cleaning,Rugs",4158639910,"creditCard, bikeParking",,
2951,Roy’s Restaurant," Seafood,Steakhouses,Asian Fusion",4157770277,"reservations, creditCard, applePay, bikeParking, goodForGroups, hasTV, waiterService, caters",94105,575 Mission street
2952,Luce," American (New),Desserts,Wine Bars",4156166566,"reservations, creditCard, goodForGroups, waiterService",,
