title,phone,tags,price,yelp_rating,food_rating,service_rating,value_rating,atmosphere_rating,feature,street_address,zipcode,zipcode_extension,monday,tuesday,wednesday,thursday,friday,saturday,sunday,webpage
Morton's - The Steakhouse,(415) 986-5830,"American, Steakhouse, Steakhouses",$50-$80,3.5,4/5,4/5,4/5,3/5,"Serves Alcohol, Waitstaff, Hastv, Ambience, Bikeparking, Television, Private Dining, Reservations, Wheelchair Accessible, Takeout, Noiselevel, Parking, Seating, Full Bar",400 Post street Lower Level,94102,,4:00 PM-11:00 PM,4:00 PM-11:00 PM,4:00 PM-11:00 PM,4:00 PM-11:00 PM,2:00 PM-11:00 PM,2:00 PM-11:00 PM,5:00 PM-10:00 PM,https://www.yelp.com/biz/mortons-the-steakhouse-san-francisco
Mister Jius,(415) 857-9688,"Chinese, Contemporary, Asian",$61-$61,4.0,4/5,4/5,,3/5,"Serves Alcohol, Waitstaff, Hastv, Ambience, Bikeparking, Reservations, Wheelchair Accessible, Takeout, Noiselevel, Seating",28 Waverly Pl,94108,2119,,5:30 PM-10:30 PM,5:30 PM-10:30 PM,5:30 PM-10:30 PM,5:30 PM-10:30 PM,5:30 PM-10:30 PM,,https://www.yelp.com/biz/mister-jius-san-francisco
El Sol Taqueria,(415) 441-0405,"Mexican, Latin, Spanish",$10-$10,3.5,4.5/5,4.5/5,3/5,4.5/5,"Delivery, Wifi, Bikeparking, Takeout, Seating",595 Geary street,94102,1651,10:00 AM-11:00 PM,10:00 AM-11:00 PM,10:00 AM-11:00 PM,10:00 AM-12:00 AM,10:00 AM-12:00 AM,10:00 AM-12:00 AM,10:00 AM-11:00 PM,https://www.yelp.com/biz/el-sol-taqueria-san-francisco
Manna,(415) 665-5969,"Asian, Korean",$11-$30,4.0,4.5/5,4.5/5,3.5/5,4.5/5,"Waitstaff, Delivery, Wifi, Ambience, Bikeparking, Takeout, Seating",845 Irving street,94122,2310,,11:00 AM-9:30 PM,11:00 AM-9:30 PM,11:00 AM-9:30 PM,11:00 AM-9:30 PM,11:00 AM-9:30 PM,11:00 AM-9:30 PM,https://www.yelp.com/biz/manna-san-francisco
August 1 Five,(415) 771-5900,"Indian, Cocktail Bars, Salad",$5-$30,4.5,5/5,5/5,,5/5,"Delivery, Hastv, Wifi, Ambience, Reservations, Takeout, Attire, Noiselevel",524 Van Ness Avenue,94102,,"11:30 AM-2:30 PM, 5:00 PM-9:30 PM","11:30 AM-2:30 PM, 5:00 PM-9:30 PM","11:30 AM-2:30 PM, 5:00 PM-9:30 PM","11:30 AM-2:30 PM, 5:00 PM-9:30 PM","11:30 AM-2:30 PM, 5:00 PM-10:30 PM","11:30 AM-2:30 PM, 5:00 PM-10:30 PM",,https://www.yelp.com/biz/august-1-five-san-francisco
La Palma Mexicatessen,(415) 647-1500,"Mexican, Latin, Spanish",$8-$10,4.5,4.5/5,4/5,3.5/5,4.5/5,"Goodforkids, Delivery, Wifi, Bikeparking, Takeout, Attire, Seating",2884 24th street,94110,4233,8:00 AM-6:00 PM,8:00 AM-6:00 PM,8:00 AM-6:00 PM,8:00 AM-6:00 PM,8:00 AM-6:00 PM,8:00 AM-6:00 PM,8:00 AM-5:00 PM,https://www.yelp.com/biz/la-palma-mexicatessen-san-francisco
Golden Gate Meat Company,,"American, Meat Shops, Delis",$10-$10,4.0,4/5,3.5/5,3.5/5,4/5,"Goodforkids, Delivery, Hastv, Wifi, Bikeparking, Takeout",1 Ferry Building,94111,4209,6:30 AM-7:00 PM,6:30 AM-7:00 PM,6:30 AM-7:00 PM,6:30 AM-7:00 PM,6:30 AM-7:00 PM,7:00 AM-5:30 PM,11:00 AM-5:00 PM,https://www.yelp.com/biz/golden-gate-meat-company-san-francisco
Ginza Sushi Amp Sake,(415) 742-0552,"Japanese, Sushi, Contemporary, Asian, Sushi Bars",$5-$30,4.0,4/5,5/5,,4/5,"Accepts Visa, Serves Alcohol, Waitstaff, Delivery, Highchairs Available, Accepts Discover, Alcohol, Accepts Mastercard, Wifi, Hastv, Ambience, Bikeparking, Television, Accepts American Express, Wine And Beer, Takeout, Reservations, Noiselevel, Parking, Seating",1793 Haight street,94117,2807,12:00 PM-10:00 PM,12:00 PM-10:00 PM,12:00 PM-10:00 PM,12:00 PM-10:00 PM,12:00 PM-10:00 PM,12:00 PM-10:00 PM,12:00 PM-10:00 PM,https://www.yelp.com/biz/ginza-sushi-and-sake-san-francisco
Bar Agricole,(415) 355-9400,"Bars, American (New)",$30-$60,3.5,4/5,4.5/5,4.5/5,3.5/5,"Serves Alcohol, Waitstaff, Goodforkids, Hastv, Ambience, Bikeparking, Reservations, Takeout, Noiselevel, Outdoor Seating, Seating, Full Bar",355 11th street Ste 100,94103,4343,5:00 PM-10:00 PM,5:00 PM-10:00 PM,5:00 PM-10:00 PM,5:00 PM-10:00 PM,5:00 PM-11:00 PM,"10:00 AM-2:00 PM, 5:00 PM-11:00 PM","10:00 AM-2:00 PM, 5:00 PM-9:00 PM",http://www.yelp.com/biz/bar-agricole-san-francisco
Wayfare Tavern,(415) 772-9060,"American, Bar, American (Traditional)",$29-$60,4.0,4/5,4/5,4.5/5,3.5/5,"Serves Alcohol, Waitstaff, Delivery, Goodforkids, Hastv, Ambience, Private Dining, Reservations, Takeout, Wheelchair Accessible, Noiselevel, Seating, Full Bar",558 Sacramento street,94111,3034,11:00 AM-10:30 PM,11:00 AM-10:30 PM,11:00 AM-10:30 PM,11:00 AM-11:00 PM,11:00 AM-11:00 PM,11:30 AM-11:00 PM,11:30 AM-10:00 PM,http://www.yelp.com/biz/wayfare-tavern-san-francisco-2
Taqueria Los Coyotes,(415) 861-3708,"Mexican, Latin, Spanish",$10-$10,4.0,4.5/5,4/5,3.5/5,4.5/5,"Delivery, Hastv, Wifi, Bikeparking, Wheelchair Accessible, Takeout, Attire, Noiselevel, Parking, Seating",3036 16th street,94103,3403,9:30 AM-10:00 PM,9:30 AM-10:00 PM,9:30 AM-10:00 PM,9:30 AM-10:00 PM,9:30 AM-3:00 AM,9:00 AM-3:00 AM,9:00 AM-12:00 AM,https://www.yelp.com/biz/taqueria-los-coyotes-san-francisco
Cafe International,(415) 552-7390,"Cafe, Vegetarian Friendly, Coffee & Tea, Sandwiches, Desserts",$10-$10,4.0,4/5,4/5,4/5,4/5,"Goodforkids, Delivery, Hastv, Wifi, Bikeparking, Takeout, Seating",508 Haight street,94117,,7:00 AM-3:00 PM,7:00 AM-11:00 PM,7:00 AM-11:00 PM,7:00 AM-11:00 PM,7:00 AM-11:00 PM,7:30 AM-11:00 PM,8:00 AM-10:00 PM,https://www.yelp.com/biz/cafe-international-san-francisco
Red Jade,(415) 621-3020,"Chinese, Asian",$10-$10,3.5,4.5/5,4.5/5,4/5,4.5/5,"Alcohol, Waitstaff, Delivery, Hastv, Wifi, Ambience, Bikeparking, Wheelchair Accessible, Takeout, Attire, Noiselevel, Seating",245 Church Street,94114,,11:00 AM-9:30 PM,11:00 AM-9:30 PM,11:00 AM-9:30 PM,11:00 AM-9:30 PM,11:00 AM-10:00 PM,11:00 AM-10:00 PM,12:00 PM-9:30 PM,https://www.yelp.com/biz/red-jade-san-francisco
Cafe La Vie,,"Cafe, Coffee & Tea, Bagels",Inexpensive,4.0,4/5,5/5,4.5/5,5/5,"Delivery, Goodforkids, Bikeparking, Wheelchair Accessible, Takeout, Seating",514 Octavia street,94102,4314,7:00 AM-6:00 PM,7:00 AM-6:00 PM,7:00 AM-6:00 PM,7:00 AM-6:00 PM,7:00 AM-6:00 PM,7:00 AM-6:00 PM,8:00 AM-6:00 PM,https://www.yelp.com/biz/cafe-la-vie-san-francisco
Atlas Cafe,(415) 648-1047,"American, Cafe, Pizza, Sandwiches, Breakfast & Brunch, Cafes",$7-$20,4.0,4.5/5,4/5,4.5/5,4.5/5,"Delivery, Goodforkids, Hastv, Wifi, Bikeparking, Wheelchair Accessible, Takeout, Outdoor Seating, Seating",3049 20th avenue,94132,1510,6:30 AM-10:00 PM,6:30 AM-10:00 PM,6:30 AM-10:00 PM,6:30 AM-10:00 PM,6:30 AM-10:00 PM,8:00 AM-8:00 PM,8:00 AM-8:00 PM,https://www.yelp.com/biz/atlas-cafe-san-francisco
Betty Lou's Seafood and Grill,(415) 757-0569,Seafood,$11-$45,5.0,5/5,5/5,,5/5,"Accepts Visa, Serves Alcohol, Waitstaff, Delivery, Highchairs Available, Accepts Discover, Wifi, Accepts Mastercard, Hastv, Ambience, Television, Accepts American Express, Reservations, Takeout, Wheelchair Accessible, Wine And Beer, Noiselevel, Parking, Seating, Free Wifi",318 Columbus avenue,94133,,11:00 AM-10:00 PM,11:00 AM-10:00 PM,11:00 AM-10:00 PM,11:00 AM-10:00 PM,11:00 AM-10:00 PM,11:00 AM-10:00 PM,11:00 AM-10:00 PM,https://www.yelp.com/biz/betty-lous-seafood-and-grill-san-francisco
Kiki Japanese Restaurant,(415) 661-5522,"Sushi, Asian, Japanese, Sushi Bars",$10-$10,3.5,4.5/5,4.5/5,3/5,5/5,"Waitstaff, Delivery, Hastv, Wifi, Ambience, Bikeparking, Takeout, Attire",1269 9th avenue,94122,2306,11:30 AM-9:00 PM,11:30 AM-9:00 PM,11:30 AM-9:00 PM,11:30 AM-9:00 PM,11:30 AM-9:00 PM,11:30 AM-9:00 PM,11:30 AM-9:00 PM,https://www.yelp.com/biz/kiki-japanese-restaurant-san-francisco
North Beach Restaurant,(415) 392-1700,Italian,$31-$80,3.5,4.5/5,4.5/5,4/5,3.5/5,"Serves Alcohol, Waitstaff, Delivery, Goodforkids, Hastv, Ambience, Bikeparking, Private Dining, Reservations, Wheelchair Accessible, Valet Parking, Takeout, Noiselevel, Seating, Full Bar",1512 Stockton street,94133,3354,11:30 AM-11:30 PM,11:30 AM-11:30 PM,11:30 AM-11:30 PM,11:30 AM-11:30 PM,11:30 AM-11:30 PM,11:30 AM-11:30 PM,11:30 AM-11:30 PM,http://www.yelp.com/biz/north-beach-restaurant-san-francisco
The Sentinel,(415) 284-9960,"Fast Food, Sandwiches",$10-$10,4.0,4.5/5,4.5/5,3/5,4/5,"Takeout, Attire, Delivery, Bikeparking",37 New Montgomery street at Stevenson Alley,94105,3438,7:30 AM-2:30 PM,7:30 AM-2:30 PM,7:30 AM-2:30 PM,7:30 AM-2:30 PM,7:30 AM-2:30 PM,,,https://www.yelp.com/biz/the-sentinel-san-francisco
Toma,,"Mexican, Latin, Fast Food, Spanish",$10-$10,4.0,4.5/5,4.5/5,3.5/5,4.5/5,"Alcohol, Goodforkids, Delivery, Wifi, Bikeparking, Takeout, Attire, Seating",3318 Steiner street,94123,2707,11:00 AM-10:00 PM,11:00 AM-10:00 PM,11:00 AM-10:00 PM,11:00 AM-10:00 PM,11:00 AM-2:30 AM,10:30 AM-2:30 AM,10:30 AM-9:00 PM,https://www.yelp.com/biz/toma-san-francisco
The Spice Jar,(415) 829-3668,"Asian, Korean, Asian Fusion, Seafood, Vegan",$11-$30,4.5,5/5,4.5/5,,5/5,"Delivery, Goodforkids, Hastv, Ambience, Bikeparking, Takeout","2500 Bryant Street,Cross street is 23rd sTreet",94110,,,"11:30 AM-2:30 PM, 5:00 PM-10:00 PM","11:30 AM-2:30 PM, 5:00 PM-10:00 PM","11:30 AM-2:30 PM, 5:00 PM-10:00 PM","11:30 AM-2:30 PM, 5:00 PM-10:00 PM","11:30 AM-2:30 PM, 5:00 PM-10:00 PM",5:00 PM-10:00 PM,https://www.yelp.com/biz/the-spice-jar-san-francisco
Lime Tree Southeast Asian Kitchen,(415) 665-1415,"Asian, Malaysian, Singaporean, Indonesian",$5-$10,4.0,4.5/5,4.5/5,4/5,4.5/5,"Waitstaff, Delivery, Hastv, Wifi, Ambience, Bikeparking, Takeout, Seating",450 Irving street,94122,2553,11:00 AM-9:30 PM,"11:00 AM-3:00 PM, 5:00 PM-9:30 PM","11:00 AM-3:00 PM, 5:00 PM-9:30 PM","11:00 AM-3:00 PM, 5:00 PM-9:30 PM","11:00 AM-3:00 PM, 5:00 PM-9:30 PM",12:00 PM-9:00 PM,12:00 PM-9:00 PM,https://www.yelp.com/biz/lime-tree-southeast-asian-kitchen-san-francisco
Manzoni,(415) 334-2251,Italian,$11-$30,4.0,5/5,5/5,4.5/5,4.5/5,"Waitstaff, Delivery, Hastv, Wifi, Ambience, Bikeparking, Reservations, Wheelchair Accessible, Takeout, Noiselevel, Seating",2788 Diamond street Glen Park,94131,,,5:30 PM-10:00 PM,5:30 PM-10:00 PM,5:30 PM-10:00 PM,5:30 PM-10:00 PM,5:30 PM-10:00 PM,5:30 PM-10:00 PM,https://www.yelp.com/biz/manzoni-san-francisco-2
Tempest Bar,(415) 495-1863,"Bar, Pub, American (Traditional), Dive Bars",$10-$10,4.0,4.5/5,4/5,4/5,4/5,"Delivery, Hastv, Bikeparking, Takeout, Parking, Seating",431 Natoma street,94103,2910,11:00 AM-2:00 AM,11:00 AM-2:00 AM,11:00 AM-2:00 AM,11:00 AM-2:00 AM,11:00 AM-2:00 AM,12:00 PM-2:00 AM,12:00 PM-2:00 AM,https://www.yelp.com/biz/tempest-san-francisco
Campton Place Restaurant,(415) 955-5555,"Indian, Gluten Free Options, American (New), Bars",$61-$80,4.0,4.5/5,4.5/5,4.5/5,4/5,"Serves Alcohol, Waitstaff, Hastv, Ambience, Reservations, Wheelchair Accessible, Valet Parking, Takeout, Noiselevel, Seating, Full Bar",340 Stockton street,94108,4691,"7:00 AM-10:30 AM, 11:30 AM-2:00 PM, 6:00 PM-8:30 PM","7:00 AM-10:30 AM, 11:30 AM-2:00 PM, 6:00 PM-8:30 PM","7:00 AM-10:30 AM, 11:30 AM-2:00 PM, 6:00 PM-8:30 PM","7:00 AM-10:30 AM, 11:30 AM-2:00 PM, 6:00 PM-8:30 PM","7:00 AM-10:30 AM, 11:30 AM-2:00 PM, 6:00 PM-9:30 PM","7:00 AM-10:30 AM, 12:00 PM-2:00 PM, 6:00 PM-9:30 PM","7:00 AM-11:00 AM, 11:30 AM-2:00 PM, 6:00 PM-8:30 PM",https://www.yelp.com/biz/campton-place-restaurant-san-francisco
De Afghanan Kabob House,(415) 929-1124,"Middle Eastern, Afghani, Halal, Afghan",$11-$30,4.5,4.5/5,4/5,3.5/5,4.5/5,"Waitstaff, Delivery, Hastv, Wifi, Ambience, Bikeparking, Wheelchair Accessible, Takeout, Seating",1035 Geary street,94109,6902,,"11:30 AM-3:00 PM, 5:00 PM-9:30 PM","11:30 AM-3:00 PM, 5:00 PM-9:30 PM","11:30 AM-3:00 PM, 5:00 PM-9:30 PM","11:30 AM-3:00 PM, 5:00 PM-10:00 PM","11:30 AM-3:00 PM, 4:00 PM-10:00 PM","11:30 AM-3:00 PM, 4:00 PM-9:30 PM",https://www.yelp.com/biz/de-afghanan-kabob-house-san-francisco-2
Thai Time Restaurant,(415) 831-3663,"Asian, Thai",$7-$15,4.0,4.5/5,4.5/5,3.5/5,4.5/5,"Alcohol, Waitstaff, Delivery, Wifi, Ambience, Bikeparking, Takeout, Seating",315 8th avenue,94118,2117,,11:30 AM-10:00 PM,11:30 AM-10:00 PM,11:30 AM-10:00 PM,11:30 AM-10:00 PM,11:30 AM-10:00 PM,11:30 AM-10:00 PM,https://www.yelp.com/biz/thai-time-restaurant-san-francisco
Kingdom of Dumpling,(415) 566-6143,"Chinese, Asian, Dim Sum",$10-$10,3.5,4/5,3.5/5,2.5/5,4.5/5,"Waitstaff, Delivery, Wifi, Ambience, Bikeparking, Takeout",1713 Taraval street,94116,2308,"11:30 AM-3:30 PM, 5:00 PM-9:30 PM","11:30 AM-3:30 PM, 5:00 PM-9:30 PM","11:30 AM-3:30 PM, 5:00 PM-9:30 PM","11:30 AM-3:30 PM, 5:00 PM-9:30 PM","11:30 AM-3:30 PM, 5:00 PM-10:00 PM",11:30 AM-10:00 PM,11:30 AM-9:30 PM,https://www.yelp.com/biz/kingdom-of-dumpling-san-francisco-2
The Perennial,(415) 500-7788,"American, Vegetarian Friendly, American (New)",$31-$60,3.5,4/5,4/5,,3.5/5,"Waitstaff, Delivery, Hastv, Ambience, Bikeparking, Reservations, Wheelchair Accessible, Takeout, Noiselevel, Seating",59 9th street,94103,1401,5:30 PM-9:00 PM,5:30 PM-9:00 PM,5:30 PM-9:00 PM,5:30 PM-9:00 PM,5:30 PM-10:00 PM,5:30 PM-10:00 PM,,http://www.yelp.com/biz/the-perennial-san-francisco
Hog and Rocks,(415) 550-8627,"American, Bar, Seafood, Pub, Gastropubs, Breakfast & Brunch, Cocktail Bars",$11-$50,4.0,4/5,4/5,4.5/5,3.5/5,"Serves Alcohol, Waitstaff, Delivery, Goodforkids, Hastv, Ambience, Bikeparking, Reservations, Wheelchair Accessible, Takeout, Noiselevel, Parking, Seating",3413 19th street,94110,1726,5:00 PM-1:00 AM,5:00 PM-1:00 AM,5:00 PM-1:00 AM,5:00 PM-1:00 AM,5:00 PM-1:30 AM,11:00 AM-1:30 AM,11:00 AM-10:00 PM,https://www.yelp.com/biz/hog-and-rocks-san-francisco
Bar 888,(415) 616-6565,"American, Bar, Pub, Lounges, Cocktail Bars, Wine Bars",Pricey,3.5,4.5/5,4/5,3/5,3/5,"Serves Alcohol, Waitstaff, Hastv, Bikeparking, Wheelchair Accessible, Takeout, Noiselevel, Parking, Seating, Full Bar",888 Howard street,94103,3011,12:00 AM-12:00 AM,12:00 AM-12:00 AM,12:00 AM-12:00 AM,12:00 AM-12:00 AM,12:00 AM-12:00 AM,12:00 AM-12:00 AM,12:00 AM-12:00 AM,http://www.yelp.com/biz/bar-888-san-francisco
Kiss Restaurant,(415) 474-2866,"Japanese, Sushi, Asian, Sushi Bars, Seafood",$41-$80,4.0,5/5,4.5/5,4/5,4.5/5,"Waitstaff, Ambience, Bikeparking, Reservations, Takeout, Noiselevel, Seating",1700 Laguna street,94115,,,,5:30 PM-9:30 PM,5:30 PM-9:30 PM,5:30 PM-9:30 PM,5:30 PM-9:30 PM,,https://www.yelp.com/biz/kiss-seafood-san-francisco
Kasa Indian Eatery,(415) 621-6940,"Street Food, Indian, Gluten Free Options, Vegetarian Friendly, Vegan Options",$10-$12,3.5,4.5/5,4/5,,4/5,"Accepts Visa, Serves Alcohol, Alcohol, Delivery, Goodforkids, Accepts Discover, Wifi, Accepts Mastercard, Hastv, Bikeparking, Parking Available, Wheelchair Accessible, Takeout, Wine And Beer, Outdoor Seating, Accepts American Express, Attire, Seating, Highchairs Available, Free Wifi",4001 18th street,94114,2501,11:00 AM-10:00 PM,11:00 AM-10:00 PM,11:00 AM-10:00 PM,11:00 AM-10:00 PM,11:00 AM-10:00 PM,11:00 AM-10:00 PM,11:00 AM-10:00 PM,https://www.yelp.com/biz/kasa-indian-eatery-san-francisco
Fat Angel,(415) 525-3013,"American, Bar, Pub, Wine Bars, Gastropubs",$11-$30,4.0,4.5/5,4.5/5,4/5,4/5,"Waitstaff, Delivery, Goodforkids, Ambience, Bikeparking, Takeout, Seating",1740 O'Farrell street,94115,,4:00 PM-11:00 PM,4:00 PM-12:00 AM,4:00 PM-12:00 AM,4:00 PM-12:00 AM,4:00 PM-1:00 AM,4:00 PM-1:00 AM,4:00 PM-11:00 PM,https://www.yelp.com/biz/fat-angel-san-francisco
El Toro Taqueria,(415) 431-3351,"Mexican, Latin, Fast Food, Spanish, South American, Central American, Vegetarian Friendly",$10-$20,3.5,4.5/5,4.5/5,3.5/5,4.5/5,"Serves Alcohol, Alcohol, Delivery, Hastv, Wifi, Bikeparking, Wheelchair Accessible, Takeout, Attire, Seating",598 Valencia street,94110,1115,10:00 AM-10:00 PM,10:00 AM-10:00 PM,10:00 AM-10:00 PM,10:00 AM-10:00 PM,10:00 AM-10:00 PM,10:00 AM-10:00 PM,10:00 AM-10:00 PM,https://www.yelp.com/biz/el-toro-taqueria-san-francisco
Hollow,(415) 242-4119,"Cafe, Coffee & Tea, Gift Shops",Inexpensive,4.0,4.5/5,4.5/5,5/5,4.5/5,"Goodforkids, Delivery, Bikeparking, Takeout, Seating",1435 Irving street,94122,2015,8:00 AM-5:00 PM,8:00 AM-5:00 PM,8:00 AM-5:00 PM,8:00 AM-5:00 PM,8:00 AM-5:00 PM,9:00 AM-5:00 PM,9:00 AM-5:00 PM,https://www.yelp.com/biz/hollow-san-francisco
Matterhorn Restaurant,(415) 885-6116,"French, German, Swiss, European, Fondue",$31-$80,3.5,4.5/5,4/5,4/5,4/5,"Serves Alcohol, Waitstaff, Hastv, Wifi, Ambience, Reservations, Takeout, Noiselevel, Seating",2323 Van Ness avenue Ste FRNT,94109,1829,5:00 PM-9:00 PM,5:00 PM-9:00 PM,5:00 PM-9:00 PM,5:00 PM-9:00 PM,5:00 PM-9:00 PM,5:00 PM-9:00 PM,,http://www.yelp.com/biz/matterhorn-restaurant-san-francisco
Box Kitchen,(415) 580-7170,"Bar, Pub, Food Stands, Burgers",$10-$10,4.5,5/5,5/5,5/5,5/5,"Delivery, Hastv, Bikeparking, Wheelchair Accessible, Takeout",431 Natoma street,94103,2910,"11:00 AM-3:00 PM, 4:30 PM-1:00 AM","11:00 AM-3:00 PM, 4:30 PM-1:00 AM","11:00 AM-3:00 PM, 4:30 PM-1:00 AM","11:00 AM-3:00 PM, 4:30 PM-1:00 AM","11:00 AM-3:00 PM, 4:30 PM-1:00 AM",4:30 PM-1:00 AM,4:30 PM-1:00 AM,https://www.yelp.com/biz/box-kitchen-san-francisco
Golden Gate Market Deli,,"Delis, Beer, Wine & Spirits",$10-$10,4.5,5/5,5/5,,5/5,"Takeout, Delivery, Wifi, Bikeparking",2767 Lombard street,94123,,9:00 AM-10:00 PM,9:00 AM-10:00 PM,9:00 AM-10:00 PM,9:00 AM-10:00 PM,9:00 AM-11:00 PM,9:00 AM-11:00 PM,10:00 AM-10:00 PM,https://www.yelp.com/biz/golden-gate-market-deli-and-liquor-san-francisco-2
