A_id,A_title,A_popularity,A_rating,A_price,A_cuisine,A_phone,A_food_rating,A_service_rating,A_value_rating,A_atmosphere_rating,A_price_range,A_feature,A_mon,A_tue,A_wed,A_thu,A_fri,A_sat,A_sun,A_address,A_description,B_id,B_title,B_yelpPage,B_categories,B_price,B_rating,B_mon,B_tue,B_wed,B_thu,B_fri,B_sat,B_sun,B_addr,B_phone,B_takeout,B_creditCard,B_applePay,B_parking,B_bikeParking,B_outdoorSeating,B_wifi,B_caters,B_reservations,B_delivery,B_goodFor,B_goodForKids,B_goodForGroups,B_attire,B_ambience,B_noiseLevel,B_alcohol,B_hasTV,B_waiterService,B_driveThrough
1311,Paprika,"#1,312 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$ - $$$,"German,European, Czech,Eastern European, Central European,Hungarian",+1 415-375-1477,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,4.5 of 5 bubbles,,"Seating, Reservations, Waitstaff",5:00 pm - 10:30 pm,5:00 pm - 10:30 pm,5:00 pm - 10:30 pm,5:00 pm - 10:30 pm,5:00 pm - 11:00 pm,12:00 am - 11:00 pm,3:00 pm - 10:00 pm,"3324 24th St,San Francisco, CA 94110-3825","Address:3324 24th St,San Francisco, CA 94110-3825Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Mission DistrictNeighborhood: Mission DistrictPhone Number:+1 415-375-1477trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk",930,Paprika,https://www.yelp.com/ /biz/paprika-san-francisco,"Czech,German,Hungarian",$11-30,4.5 star rating,5:00 pm-10:30 pm,5:00 pm-10:30 pm,5:00 pm-10:30 pm,5:00 pm-10:30 pm,5:00 pm-10:30 pm,12:00 pm-11:00 pm,3:00 pm-10:00 pm,"3324 24th StSan Francisco, CA 94110",(415) 375-1477,Yes,No,No,Street,Yes,No,No,No,Yes,No,Dinner,No,Yes,Casual,Casual,Average,Beer & Wine Only,No,Yes,
1313,Alamo Square Cafe,"#1,314 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$,Cafe,+1 415-447-8636,5 of 5 bubbles,4.5 of 5 bubbles,4.5 of 5 bubbles,,,"Seating, Wheelchair Accessible",6:30 am - 5:00 pm,6:30 am - 5:00 pm,6:30 am - 5:00 pm,6:30 am - 5:00 pm,6:30 am - 5:00 pm,7:30 am - 5:00 pm,7:30 am - 5:00 pm,"711 Fillmore St,San Francisco, CA 94117-2612","Address:711 Fillmore St,San Francisco, CA 94117-2612Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San FranciscoPhone Number:+1 415-447-8636trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk",791,Alamo Square Cafe,https://www.yelp.com/ /biz/alamo-square-cafe-san-francisco,"Sandwiches,Coffee & Tea",Under $10,3.5 star rating,6:30 am-4:00 pm,6:30 am-4:00 pm,6:30 am-4:00 pm,6:30 am-4:00 pm,6:30 am-4:00 pm,7:30 am-4:00 pm,7:30 am-4:00 pm,"711 Fillmore StSan Francisco, CA 94117",(415) 447-8636,Yes,Yes,Yes,Street,Yes,No,Free,No,No,No,Breakfast,Yes,No,Casual,Casual,Quiet,No,No,No,
1315,Zona Rosa,"#1,316 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$,"Mexican,Latin,Spanish",+1 415-668-7717,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,4 of 5 bubbles,$8,"Seating, Wheelchair Accessible",11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,12:00 pm - 9:00 pm,11:00 am - 9:00 pm,"1797 Haight St,San Francisco, CA 94117-2807","Address:1797 Haight St,San Francisco, CA 94117-2807Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Haight-AshburyNeighborhood: Haight-AshburyPhone Number:+1 415-668-7717trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk",605,Zona Rosa,https://www.yelp.com/ /biz/zona-rosa-san-francisco,Mexican,Under $10,3.5 star rating,11:00 am-9:00 pm,11:00 am-9:00 pm,11:00 am-9:00 pm,11:00 am-9:00 pm,11:00 am-9:00 pm,12:00 pm-9:00 pm,11:00 am-9:00 pm,"1797 Haight StSan Francisco, CA 94117",(415) 668-7717,Yes,No,No,Street,Yes,No,No,No,No,No,Lunch,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,No,
1318,Hayes Valley Bakeworks,"#1,319 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$ - $$$,,+1 415-864-2688,,,,,$7 -$20,,7:00 am - 7:00 pm,7:00 am - 7:00 pm,7:00 am - 7:00 pm,7:00 am - 7:00 pm,7:00 am - 7:00 pm,8:00 am - 3:00 pm,,"550 Gough St,San Francisco, CA 94102-4496","Address:550 Gough St,San Francisco, CA 94102-4496Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Hayes ValleyNeighborhood: Hayes ValleyPhone Number:+1 415-864-2688trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk",716,Hayes Valley Bakeworks,https://www.yelp.com/ /biz/hayes-valley-bakeworks-san-francisco,"Bakeries,Coffee & Tea,American (New)",Under $10,3.5 star rating,7:00 am-6:00 pm,7:00 am-6:00 pm,7:00 am-6:00 pm,7:00 am-6:00 pm,7:00 am-6:00 pm,8:00 am-3:00 pm,Closed,"550 Gough StSan Francisco, CA 94102",(415) 864-2688,Yes,Yes,Yes,Street,Yes,No,Free,Yes,No,No,Breakfast,Yes,Yes,Casual,Casual,Quiet,No,No,No,
1322,Yummy Yummy,"#1,323 of 4,344 Restaurants in San Francisco",4 of 5 bubbles,$,"Asian,Vietnamese",+1 415-566-4722,4.5 of 5 bubbles,4 of 5 bubbles,4.5 of 5 bubbles,3.5 of 5 bubbles,$10,"Seating, Waitstaff, Takeout",10:00 am - 9:00 pm,,10:00 am - 9:00 pm,10:00 am - 9:00 pm,10:00 am - 9:00 pm,10:00 am - 9:00 pm,10:00 am - 9:00 pm,"1015 Irving St,San Francisco, CA 94122-2215","Address:1015 Irving St,San Francisco, CA 94122-2215Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;SunsetNeighborhood: SunsetPhone Number:+1 415-566-4722trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk",1149,Yummy Yummy,https://www.yelp.com/ /biz/yummy-yummy-san-francisco,"Vietnamese,Chinese,Noodles",$11-30,4.0 star rating,10:00 am-3:00 pm5:00 pm-9:00 pm,Closed,10:00 am-3:00 pm5:00 pm-9:00 pm,10:00 am-3:00 pm5:00 pm-9:00 pm,10:00 am-3:00 pm5:00 pm-9:00 pm,10:00 am-3:00 pm5:00 pm-9:00 pm,10:00 am-3:00 pm5:00 pm-9:00 pm,"1015 Irving StSan Francisco, CA 94122",(415) 566-4722,Yes,Yes,No,Street,Yes,No,No,No,No,No,"Lunch, Dinner",Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,Yes,
1324,Mission Bowling Club,"#1,325 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$ - $$$,"Bar,Pub",+1 415-863-2695,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,5 of 5 bubbles,,"Seating, Waitstaff",3:00 pm - 11:00 pm,3:00 pm - 11:00 pm,3:00 pm - 11:00 pm,3:00 pm - 12:00 am,3:00 pm - 12:00 am,11:00 am - 12:00 am,11:00 am - 11:00 pm,"3176 17th St,San Francisco, CA 94110-1331","Address:3176 17th St,San Francisco, CA 94110-1331Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Mission DistrictNeighborhood: Mission DistrictPhone Number:+1 415-863-2695trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk",1201,Mission Bowling Club,https://www.yelp.com/ /biz/mission-bowling-club-san-francisco,"Bowling,Breakfast & Brunch,Cocktail Bars",$11-30,4.0 star rating,3:00 pm-11:00 pm,3:00 pm-11:00 pm,3:00 pm-11:00 pm,3:00 pm-12:00 am,3:00 pm-12:00 am,11:00 am-12:00 am,11:00 am-11:00 pm,"3176 17th StSan Francisco, CA 94110",(415) 863-2695,No,Yes,No,Street,Yes,Yes,No,No,Yes,No,Dinner,No,Yes,Casual,Hipster,Loud,Full Bar,Yes,Yes,
1327,Takara Restaurant,"#1,328 of 4,344 Restaurants in San Francisco",4 of 5 bubbles,$$ - $$$,"Japanese,Sushi,Asian",+1 415-921-2000,3.5 of 5 bubbles,3.5 of 5 bubbles,4 of 5 bubbles,3.5 of 5 bubbles,,"Reservations, Seating, Waitstaff, Serves Alcohol, Takeout, Wheelchair Accessible",11:30 am - 2:00 pm,11:30 am - 2:00 pm,11:30 am - 2:00 pm,11:30 am - 2:00 pm,11:30 am - 2:00 pm,11:30 am - 2:00 pm,11:30 am - 2:00 pm,"22 Peace Plz Ste 202,San Francisco, CA 94115-3611","Address:22 Peace Plz Ste 202,San Francisco, CA 94115-3611Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;JapantownNeighborhood: JapantownPhone Number:+1 415-921-2000trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk",2235,An Japanese Restaurant,https://www.yelp.com/ /biz/an-japanese-restaurant-san-francisco-2,"Sushi Bars,Japanese",Above $61,4.5 star rating,Closed,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,Closed,"22 Peace PlzSan Francisco, CA 94115",(415) 292-4886,No,Yes,No,Garage,Yes,No,No,No,Yes,No,Dinner,No,No,Casual,Intimate,Quiet,Beer & Wine Only,No,Yes,
1328,Sai Jai Thai Restaurant,"#1,329 of 4,344 Restaurants in San Francisco",4 of 5 bubbles,$,"Asian,Thai",+1 415-673-5774,4 of 5 bubbles,4 of 5 bubbles,4.5 of 5 bubbles,3.5 of 5 bubbles,$20,"Takeout, Seating, Waitstaff, Reservations",11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,"771 Ofarrell St,San Francisco, CA 94109-7114","Address:771 Ofarrell St,San Francisco, CA 94109-7114Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San FranciscoPhone Number:+1 415-673-5774trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk",441,Sai Jai Thai Restaurant,https://www.yelp.com/ /biz/sai-jai-thai-restaurant-san-francisco,Thai,Under $10,4.0 star rating,11:00 am-10:30 pm,11:00 am-10:30 pm,11:00 am-10:30 pm,11:00 am-10:30 pm,11:00 am-10:30 pm,11:00 am-10:30 pm,11:00 am-10:30 pm,"771 O&#39;Farrell StSan Francisco, CA 94109",(415) 673-5774,Yes,Yes,No,Street,Yes,No,No,No,No,Yes,"Lunch, Dinner",Yes,Yes,Casual,Casual,Average,No,No,Yes,
134,Absinthe Brasserie & Bar,"#135 of 4,344 Restaurants in San Francisco",4 of 5 bubbles,$$ - $$$,"French,American, Bar,European, Contemporary,Gluten Free Options",+1 415-551-1590,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,4.5 of 5 bubbles,$31 -$40,"Reservations, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol, Full Bar",11:30 am - 11:00 pm,11:30 am - 11:00 pm,11:30 am - 11:00 pm,11:30 am - 12:00 am,11:30 am - 12:00 am,11:00 am - 3:00 pm,5:00 pm - 10:00 pm,"398 Hayes St,San Francisco, CA 94102-4421","Address:398 Hayes St,San Francisco, CA 94102-4421(Gough)Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Hayes ValleyNeighborhood: Hayes ValleyPhone Number:+1 415-551-1590trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk",1262,Absinthe Brasserie &amp; Bar,http://www.yelp.com/ /biz/absinthe-brasserie-and-bar-san-francisco-2,"French,Breakfast & Brunch,Bars",$31-60,4.0 star rating,11:30 am-11:00 pm,11:30 am-11:00 pm,11:30 am-11:00 pm,11:30 am-12:00 am,11:30 am-12:00 am,11:00 am-12:00 am,11:00 am-10:00 pm,"398 Hayes StSan Francisco, CA 94102",(415) 551-1590,Yes,Yes,No,"Valet, Garage, Street",Yes,Yes,Free,No,Yes,No,Dinner,No,Yes,Casual,Classy,Average,Full Bar,No,Yes,
1340,NoNo Burger,"#1,341 of 4,344 Restaurants in San Francisco",5 of 5 bubbles,,"Street Food,Vegetarian Friendly",+1 206-384-5426,5 of 5 bubbles,4 of 5 bubbles,5 of 5 bubbles,,,,,,,,,,,"428 11th St,San Francisco, CA 94103-4316","Address:428 11th St,San Francisco, CA 94103-4316Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;SoMaNeighborhood: SoMaPhone Number:+1 206-384-5426trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk",932,No No Burger,https://www.yelp.com/ /biz/no-no-burger-san-francisco,"Burgers,Food Stands,Vegan",$11-30,4.5 star rating,Closed,11:00 am-3:00 pm5:00 pm-9:00 pm,11:00 am-3:00 pm5:00 pm-9:00 pm,11:00 am-3:00 pm5:00 pm-9:00 pm,11:00 am-3:00 pm5:00 pm-9:00 pm,11:00 am-3:00 pm5:00 pm-9:00 pm,11:00 am-5:00 pm,"428 11th StSan Francisco, CA 94103",(415) 710-9280,Yes,Yes,Yes,"Garage, Street",Yes,Yes,No,Yes,No,No,"Lunch, Dinner",Yes,Yes,Casual,Casual,Average,No,No,No,No
1342,I'a Poke,"#1,343 of 4,344 Restaurants in San Francisco",5 of 5 bubbles,,,4158298030,5 of 5 bubbles,5 of 5 bubbles,5 of 5 bubbles,,,,,,,,,,,"314 Church Street,San Francisco, CA","Address:314 Church Street,San Francisco, CALocation:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;The CastroNeighborhood: The CastroPhone Number:4158298030trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk",1168,I’a Poke,https://www.yelp.com/ /biz/ia-poke-san-francisco-2,"Asian Fusion,Poke",$11-30,4.0 star rating,11:30 am-8:00 pm,11:30 am-8:00 pm,11:30 am-8:00 pm,11:30 am-8:00 pm,11:30 am-9:00 pm,11:30 am-9:00 pm,11:30 am-7:00 pm,"314 Church StSan Francisco, CA 94114",(415) 829-8030,Yes,Yes,No,Street,Yes,No,No,No,No,No,Lunch,Yes,No,Casual,Casual,Average,No,No,No,
1343,The Morris,"#1,344 of 4,344 Restaurants in San Francisco",5 of 5 bubbles,,,4156128480,5 of 5 bubbles,5 of 5 bubbles,5 of 5 bubbles,,,,,,,,,,,"2501 Mariposa Street,San Francisco, CA","Address:2501 Mariposa Street,San Francisco, CALocation:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Mission DistrictNeighborhood: Mission DistrictPhone Number:4156128480trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk",1257,The Morris,http://www.yelp.com/ /biz/the-morris-san-francisco,American (New),$31-60,4.5 star rating,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:30 pm,5:00 pm-10:30 pm,Closed,"2501 Mariposa StSan Francisco, CA 94110",(415) 612-8480,No,Yes,,,Yes,No,,,Yes,No,,No,Yes,Casual,"Classy, Upscale",Average,Full Bar,No,Yes,
1344,Sushi Taka,"#1,345 of 4,344 Restaurants in San Francisco",5 of 5 bubbles,$,Sushi,+1 415-362-4800,4.5 of 5 bubbles,5 of 5 bubbles,5 of 5 bubbles,,,,11:00 am - 4:00 pm,11:00 am - 4:00 pm,11:00 am - 4:00 pm,11:00 am - 4:00 pm,11:00 am - 4:00 pm,,,"600 Kearny St,San Francisco, CA 94108-1805","Address:600 Kearny St,San Francisco, CA 94108-1805Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Financial DistrictNeighborhood: Financial DistrictPhone Number:+1 415-362-4800trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk",575,Sushi Taka,https://www.yelp.com/ /biz/sushi-taka-san-francisco-2,"Sushi Bars,Japanese",Under $10,4.0 star rating,11:00 am-4:00 pm,11:00 am-4:00 pm,11:00 am-4:00 pm,11:00 am-4:00 pm,11:00 am-4:00 pm,Closed,Closed,"600 Kearny StSan Francisco, CA 94108",,Yes,Yes,No,Street,No,Yes,No,Yes,No,No,Lunch,Yes,No,Casual,Casual,Average,No,No,No,
1345,Tsubasa Sushi,"#1,346 of 4,344 Restaurants in San Francisco",5 of 5 bubbles,,"Japanese,Sushi",+1 415-551-9688,5 of 5 bubbles,5 of 5 bubbles,5 of 5 bubbles,,,,,,,,,,,"429 Gough St,San Francisco, CA 94102-4415","Address:429 Gough St,San Francisco, CA 94102-4415Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Hayes ValleyNeighborhood: Hayes ValleyPhone Number:+1 415-551-9688trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk",1247,Tsubasa Sushi,http://www.yelp.com/ /biz/tsubasa-sushi-san-francisco,"Sushi Bars,Japanese",$31-60,4.5 star rating,Closed,11:30 am-2:15 pm5:30 pm-9:45 pm,11:30 am-2:15 pm5:30 pm-9:45 pm,11:30 am-2:15 pm5:30 pm-9:45 pm,11:30 am-2:15 pm5:30 pm-10:45 pm,12:00 pm-2:30 pm5:30 pm-10:45 pm,5:30 pm-9:45 pm,"429 Gough StSan Francisco, CA 94102",(415) 551-9688,No,Yes,No,"Garage, Street",No,No,No,No,Yes,No,Dinner,No,Yes,Casual,Casual,Average,Beer & Wine Only,No,Yes,
1350,Ju-Ni,"#1,351 of 4,344 Restaurants in San Francisco",5 of 5 bubbles,$$$$,"Japanese,Sushi",+1 415-655-9924,5 of 5 bubbles,5 of 5 bubbles,4.5 of 5 bubbles,,,,5:30 pm - 10:30 pm,5:30 pm - 10:30 pm,5:30 pm - 10:30 pm,5:30 pm - 10:30 pm,5:30 pm - 11:30 pm,5:30 pm - 11:30 pm,,"1335 Fulton St,San Francisco, CA 94117-5405","Address:1335 Fulton St,San Francisco, CA 94117-5405Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San FranciscoPhone Number:+1 415-655-9924trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk",2236,jū-ni,https://www.yelp.com/ /biz/j%C5%AB-ni-san-francisco-5,"Japanese,Sushi Bars",Above $61,4.5 star rating,6:00 pm-10:30 pm,6:00 pm-10:30 pm,6:00 pm-10:30 pm,6:00 pm-10:30 pm,6:00 pm-10:30 pm,6:00 pm-10:30 pm,6:00 pm-10:30 pm,"1335 Fulton StSan Francisco, CA 94117",(415) 655-9924,No,Yes,No,Street,No,No,No,No,Yes,No,Dinner,No,No,Casual,Classy,Quiet,Beer & Wine Only,No,Yes,
1351,Tortas Los Picudos,"#1,352 of 4,344 Restaurants in San Francisco",5 of 5 bubbles,$,Mexican,,5 of 5 bubbles,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,$5 -$10,,7:00 am - 7:00 pm,7:00 am - 7:00 pm,7:00 am - 7:00 pm,7:00 am - 7:00 pm,7:00 am - 7:00 pm,7:00 am - 7:00 pm,7:00 am - 7:00 pm,"2969 24th Street,San Francisco, CA","Address:2969 24th Street,San Francisco, CALocation:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Mission DistrictNeighborhood: Mission DistricttrkP:waypoint_for_poiPLACEMENT waypoint_for_poietk",99,Tortas Los Picudos,https://www.yelp.com/ /biz/tortas-los-picudos-san-francisco,"Mexican,Juice Bars & Smoothies,Sandwiches",Under $10,4.5 star rating,7:00 am-8:00 pm,7:00 am-8:00 pm,7:00 am-8:00 pm,7:00 am-8:00 pm,7:00 am-8:00 pm,7:00 am-8:00 pm,7:00 am-8:00 pm,"2969 24th StSan Francisco, CA 94110",(415) 824-4199,Yes,Yes,No,Street,Yes,No,No,No,No,No,Lunch,Yes,No,Casual,Casual,Average,No,No,No,
1354,Red Door Cafe,"#1,355 of 4,344 Restaurants in San Francisco",4 of 5 bubbles,$$ - $$$,"American,Cafe",+1 415-441-4647,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,4 of 5 bubbles,,Seating,11:00 am - 1:00 pm,,,11:00 am - 1:00 pm,11:00 am - 1:00 pm,10:00 am - 2:00 pm,10:00 am - 2:00 pm,"1608 Bush St,San Francisco, CA 94109-5308","Address:1608 Bush St,San Francisco, CA 94109-5308Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San FranciscoPhone Number:+1 415-441-4647trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk",1134,Red Door Cafe,https://www.yelp.com/ /biz/red-door-cafe-san-francisco-3,"Breakfast & Brunch,Vegetarian,Latin American",$11-30,4.0 star rating,Closed,Closed,6:00 pm-9:00 pm,6:00 pm-9:00 pm,10:00 am-1:30 pm,10:00 am-1:30 pm,10:00 am-1:30 pm,"1608 Bush StSan Francisco, CA 94108",(415) 441-1564,Yes,Yes,No,Street,No,No,No,No,No,No,"Breakfast, Brunch",No,No,Casual,Casual,Average,Beer & Wine Only,No,Yes,
1359,Hai KY Mi Gia,"#1,360 of 4,344 Restaurants in San Francisco",5 of 5 bubbles,,"Chinese,Vietnamese,Asian",+1 415-771-2577,5 of 5 bubbles,3.5 of 5 bubbles,5 of 5 bubbles,3 of 5 bubbles,,,8:00 am - 6:00 pm,8:00 am - 6:00 pm,,8:00 am - 6:00 pm,8:00 am - 6:00 pm,8:00 am - 6:00 pm,8:00 am - 6:00 pm,"707 Ellis St,San Francisco, CA 94109-7908","Address:707 Ellis St,San Francisco, CA 94109-7908Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San FranciscoPhone Number:+1 415-771-2577trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk",126,Hai Ky Mi Gia,https://www.yelp.com/ /biz/hai-ky-mi-gia-san-francisco,"Chinese,Vietnamese,Noodles",Under $10,4.0 star rating,8:00 am-6:00 pm,8:00 am-6:00 pm,Closed,8:00 am-6:00 pm,8:00 am-6:00 pm,8:00 am-6:00 pm,8:00 am-6:00 pm,"707 Ellis StSan Francisco, CA 94109",(415) 771-2577,Yes,No,No,Street,No,No,No,No,No,No,Lunch,Yes,Yes,Casual,Casual,Average,No,No,Yes,
136,John's Grill,"#137 of 4,344 Restaurants in San Francisco",4 of 5 bubbles,$$ - $$$,"Steakhouse,American,Seafood,Soups",+1 415-986-0069,4 of 5 bubbles,4 of 5 bubbles,3.5 of 5 bubbles,4 of 5 bubbles,$30 -$40,"Takeout, Serves Alcohol, Full Bar, Reservations, Seating, Waitstaff, Highchairs Available, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Discover",11:00 am - 9:45 pm,11:00 am - 9:45 pm,11:00 am - 9:45 pm,11:00 am - 9:45 pm,11:00 am - 9:45 pm,11:00 am - 9:45 pm,12:00 pm - 9:45 pm,"63 Ellis St,San Francisco, CA 94102-2207","Address:63 Ellis St,San Francisco, CA 94102-2207(Powell Street)Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Union SquareNeighborhood: Union SquarePhone Number:+1 415-986-0069trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk",1480,John’s Grill,http://www.yelp.com/ /biz/johns-grill-san-francisco,"Steakhouses,Seafood",$31-60,3.5 star rating,11:00 am-9:30 pm,11:00 am-9:30 pm,11:00 am-9:30 pm,11:00 am-9:30 pm,11:00 am-9:30 pm,11:00 am-9:30 pm,12:00 pm-9:30 pm,"63 Ellis StSan Francisco, CA 94102",(415) 986-0069,Yes,Yes,No,"Garage, Street",No,No,No,No,Yes,No,Dinner,No,Yes,Casual,,Average,Full Bar,No,Yes,
1362,Shotwell's,"#1,363 of 4,344 Restaurants in San Francisco",5 of 5 bubbles,,"Bar,Pub",+1 415-648-4104,1 of 5 bubbles,4.5 of 5 bubbles,4.5 of 5 bubbles,,,,,,,,,,,"3349 20th St,San Francisco, CA 94110-2617","Address:3349 20th St,San Francisco, CA 94110-2617Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Mission DistrictNeighborhood: Mission DistrictPhone Number:+1 415-648-4104trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk",76,Shotwell’s,https://www.yelp.com/ /biz/shotwells-san-francisco,Pubs,Inexpensive,4.5 star rating,4:30 pm-2:00 am,4:30 pm-2:00 am,4:30 pm-2:00 am,4:30 pm-2:00 am,4:30 pm-2:00 am,4:30 pm-2:00 am,4:00 pm-1:00 am,"3349 20th StSan Francisco, CA 94110",(415) 648-4104,,No,No,Street,Yes,No,,,No,,,,Yes,,Casual,Average,Beer & Wine Only,Yes,,
1363,Yamo Thai Kitchen,"#1,364 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$,"Asian,Thai,Burmese",+1 415-553-8911,4.5 of 5 bubbles,3.5 of 5 bubbles,4.5 of 5 bubbles,2.5 of 5 bubbles,,Delivery,10:30 am - 9:30 pm,10:30 am - 9:30 pm,10:30 am - 9:30 pm,10:30 am - 9:30 pm,10:30 am - 10:00 pm,10:30 am - 10:00 pm,,"3406 18th St,San Francisco, CA 94110-1725","Address:3406 18th St,San Francisco, CA 94110-1725Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Mission DistrictNeighborhood: Mission DistrictPhone Number:+1 415-553-8911trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk",296,Yamo,https://www.yelp.com/ /biz/yamo-san-francisco,"Burmese,Chinese",Under $10,3.5 star rating,11:00 am-9:30 pm,11:00 am-9:30 pm,11:00 am-9:30 pm,11:00 am-9:30 pm,11:00 am-9:30 pm,11:00 am-9:30 pm,Closed,"3406 18th StSan Francisco, CA 94110",(415) 553-8911,Yes,No,No,Street,Yes,No,No,No,No,No,"Lunch, Dinner",No,No,Casual,Divey,Average,No,No,No,
